EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
"ETA","4R70W Transmission",,"7000","RH side of transmission","C111","004","F10",,,"29","4",,
"ETA","A/C Clutch Cycling Pressure Switch",,"19E561","RH rear of engine compartment, on A/C accumulator","C155","003","A3",,,,,,
"ETA","A/C Clutch Diode",,"14A604","Lower RH front of engine, taped in fuel charge harness, near A/C compressor clutch",,"001","E1",,,,,,
"ETA","A/C Compressor Clutch",,"19703","Lower RH front of engine","C156","001","E1",,,,,,
"ETA","A/C WOT Cutout Relay",,"14B192","LH side of engine compartment, in relay center","C110","001","B10",,,"23","10",,
"ETA","A/C High Pressure Cut Out Switch",,"19D594","RH side of engine compartment, near fuse box","C150","002","D1",,,,,,
"ETA","A/C-Heater Mode Switch",,"19980","Center of I/P","C2018","005","E1",,,"54","4",,
"ETA","A/C-Heater Mode Switch Illumination",,"13411","Center of I/P","C2012","005","F4",,,,,,
"ETA","Air Bag Diagnostic Connector",,"N/A","Behind RH side of I/P","C213",,,,,,,,
"ETA","Air Bag Diagnostic Monitor",,"14B056","Behind RH side of I/P, above glove box","C277","005","C1",,,"46","3",,
"ETA","Air Bag Diagnostic Monitor",,"14B056","Behind RH side of I/P, above glove box","C276","005","C1",,,"46","3",,
"ETA","Air Suspension Compressor Motor and Vent Solenoid",,"5319","Lower LH front of engine compartment, below air cleaner assembly","C158","003","C10",,,,,,
"ETA","Air Suspension Switch",,"5K761","RH side of trunk, on support","C458","008","C10",,,,,,
"ETA","Air Suspension Test Connector",,"14489","RH side of trunk","C459","008","D10",,,"41","4",,
"ETA","Air Suspension/EVO Steering Module",,"3B494/5A919","Behind RH side of I/P, above glove box","C216","005","B1",,,"41","3",,
"ETA","Air Suspension/EVO Steering Module",,"3B494/5A919","Behind RH side of I/P, above glove box","C215","005","B1",,,"41","3",,
"ETA","Ambient Temperature Sensor",,"19E702","Center front of vehicle, on front of upper radiator support","C160","001","F4",,,,,,
"ETA","Anti-lock Brake Module",,"2C219","LH front of vehicle, on front of upper radiator support","C162","001","F7",,,"42","4",,
"ETA","Auxiliary Power",,"N/A","Behind RH side of I/P","C2006","006","F3",,,,,,
"ETA","Battery",,"N/A","Right front of engine compartment",,,,,,,,,
"ETA","Blend Door Actuator","with EATC","19E616","Behind RH side of I/P, top of A/C plenum","C282","004","A8",,,"55","6",,
"ETA","Blower Motor",,"19805","Top RH side of safety wall","C167","003","A1",,,,,,
"ETA","Blower Motor Resistor Assembly",,"19A706","Top RH center of safety wall, on evaporator assembly","C166","001","A3",,,,,,
"ETA","Blower Motor Speed Controller",,"19E624","Top RH center of safety wall, on evaporator assembly","C169","001","A3",,,"55","6",,
"ETA","Blower Motor Switch",,"18578","Center of I/P","C2019","005","A10",,,,,,
"ETA","Brake Fluid Level Switch",,"2L414","LH rear of engine compartment, on brake fluid reservoir","C170","001","A8",,,,,,
"ETA","Brake On/Off (BOO) Switch",,"13480","Behind I/P, top of brake pedal support","C2002","004","F4",,,"90","5",,
"ETA","Brake Pressure Switch",,"2B264","LH rear of engine compartment, below brake fluid reservoir","C235","003","A7",,,,,,
"ETA","Camshaft Position (CMP) Sensor",,"6B288","LH front of engine, below left ignition coil","C178","002","F7",,,,,,
"ETA","CD Changer",,"N/A","Rear of vehicle, in trunk","C453",,,,,,,,
"ETA","Clock",,"15000","Top center of I/P","C2009","006","A6",,,"44","3",,
"ETA","Clockspring Assembly",,"14A664","Top of steering column, below steering wheel","C283","005","F6",,,,,,
"ETA","Clockspring Assembly",,"14A664","Top of steering column, below steering wheel","C236","005","F6",,,,,,
"ETA","Compressor Relay",,"14N089","RH front of engine compartment, in engine compartment fuse box",,"003","D1",,,,,,
