EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
"ETA","010","001","Battery",,,
"ETA","010","001","Powertrain Control Module (PCM)","Gasoline",,
"ETA","010","001","Camshaft Position (CMP) Sensor Shield",,,
"ETA","010","001","Crankshaft Position (CKP) Sensor Shield",,,
"ETA","010","001","A/C Compressor Clutch",,,
"ETA","010","001","A/C Clutch Diode",,,
"ETA","010","001","Fuel Rail Cutoff Solenoid",,,
"ETA","010","002","Right Lo Beam Headlamp",,,
"ETA","010","002","Right Hi Beam Headlamp",,,
"ETA","010","002","Engine Compartment Fuse Box",,,
"ETA","010","002","Cooling Fan",,,
"ETA","010","002","Right Front Side Marker Lamp","Grand Marquis",,
"ETA","010","002","Right Front Park/Turn Lamp","Grand Marquis",,
"ETA","010","002","Right Front Park/Turn/Side Marker Lamp","Crown Victoria",,
"ETA","010","002","Right Cornering Lamp",,,
"ETA","010","003","Anti-lock Brake Module",,,
"ETA","010","003","EVAC and Fill Connector",,,
"ETA","010","003","Air Suspension Compressor Motor and Vent Solenoid",,,
"ETA","010","003","Windshield Washer Low Fluid Switch",,,
"ETA","010","003","Windshield Washer Pump",,,
"ETA","010","003","Horn Assembly",,,
"ETA","010","003","Left Hi Beam Headlamp",,,
"ETA","010","003","Left Lo Beam Headlamp",,,
"ETA","010","003","Fuel Indicator Module (FIM)",,,
"ETA","010","004","Left Front Park/Turn Lamp","Grand Marquis",,
"ETA","010","004","Left Front Side Marker Lamp","Grand Marquis",,
"ETA","010","004","Left Front Park/Turn/Side Marker Lamp","Crown Victoria",,
"ETA","010","004","Left Cornering Lamp",,,
"ETA","010","004","Powertrain Control Module (PCM)","Gasoline",,
"ETA","010","004","Mass Air Flow (MAF) Sensor",,,
"ETA","010","004","Relay Center",,,
"ETA","010","004","PCM Power Relay",,,
"ETA","010","004","Fuel Indicator Module (FIM)",,,
"ETA","010","005","Drivers Door Module",,,
"ETA","010","005","Drivers Seat Module",,,
"ETA","010","005","Air Bag Diagnostic Monitor",,,
"ETA","010","005","Blend Door Actuator","without EATC",,
"ETA","010","005","Lighting Control Module (LCM)",,,
"ETA","010","005","Auxiliary Power",,,
"ETA","010","005","Left I/P Courtesy Lamp",,,
"ETA","010","005","Right I/P Courtesy Lamp",,,
"ETA","010","005","Headlamp Switch Assembly",,,
"ETA","010","005","Data Link Connector (DLC)",,,
"ETA","010","006","Clock",,,
"ETA","010","006","A/C-Heater Mode Switch Illumination",,,
"ETA","010","006","Electronic Automatic Temperature Control (EATC) Module",,,
"ETA","010","006","Front Control Unit","LUX",,
"ETA","010","006","Rear Window Defrost Control",,,
"ETA","010","006","Lighting Control Module (LCM)",,,
"ETA","010","006","I/P Cigar Lighter Lamp",,,
"ETA","010","006","I/P Cigar Lighter",,,
"ETA","010","006","Instrument Cluster","Analog",,
"ETA","010","006","Day/Night Sensor/Amplifier",,,
"ETA","010","007","Air Suspension/EVO Steering Module",,,
"ETA","010","007","Electronic Variable Orifice (EVO) Steering Module",,,
"ETA","010","007","Fuel Tank Assembly",,,
"ETA","010","007","Instrument Cluster","Analog",,
"ETA","010","007","Vehicle Speed Sensor (VSS)",,,
"ETA","010","007","Powertrain Control Module (PCM)","Gasoline",,
"ETA","010","007","Engine Coolant Temperature Sender","Gasoline",,
"ETA","010","007","Message Center Switch Assembly",,,
"ETA","010","007","Front Control Unit","M100",,
"ETA","010","008","Shift Lock Actuator",,,
"ETA","010","008","Windshield Wiper Motor",,,
"ETA","010","008","Wiper Control Module",,,
"ETA","010","008","Blower Motor Speed Controller",,,
"ETA","010","008","Blower Motor Resistor Assembly",,,
"ETA","010","008","Blower Motor Switch",,,
"ETA","010","008","Headlamp Switch Assembly",,,
"ETA","010","008","Lighting Control Module (LCM)",,,
"ETA","010","008","Brake Fluid Level Switch",,,
"ETA","010","008","Ignition Switch",,,
"ETA","010","008","Message Center Switch Assembly",,,
"ETA","010","008","Warning Lamps Module",,,
"ETA","010","008","Instrument Cluster","Analog",,
"ETA","010","009","Steering Wheel Rotation Sensor",,,
"ETA","010","009","Left Rear Window Control Switch",,,
"ETA","010","009","Air Bag Diagnostic Connector",,,
"ETA","010","009","Trunk Lid Lamp",,,
"ETA","010","009","Electronic Day/Night Mirror",,,
"ETA","010","009","Right Rear Window Control Switch",,,
"ETA","010","009","Air Suspension/EVO Steering Module",,,
"ETA","010","009","Electronic Variable Orifice (EVO) Steering Module",,,
"ETA","010","009","Passengers Power Lumbar Compressor",,,
"ETA","010","009","Right Power/Heated Mirror",,,
"ETA","010","010","Power Mirror Switch",,,
"ETA","010","010","One Touch Window Down Module",,,
"ETA","010","010","Left Lock Cylinder Lamp",,,
"ETA","010","010","Left Front Door Courtesy Lamp",,,
"ETA","010","010","Trunk Lid Release Switch",,,
"ETA","010","010","Master Window/Door Lock Control Switch",,,
"ETA","010","010","Remote Keyless Entry Switch Assembly",,,
"ETA","010","010","Drivers Seat Control Switch","W/Power Recliner",,
"ETA","010","010","Memory Switch",,,
"ETA","010","010","Left Power/Heated Mirror",,,
"ETA","010","010","Drivers Door Module",,,
"ETA","010","010","Left Front Door Latch Switch",,,
"ETA","010","010","Left Rear Door Latch Switch",,,
"ETA","010","011","Passengers Seat Control Switch",,,
"ETA","010","011","Right Power/Heated Mirror",,,
"ETA","010","011","Right Front Door Courtesy Lamp",,,
"ETA","010","011","Right Lock Cylinder Lamp",,,
"ETA","010","011","Right Front Window/Door Lock Control Switch",,,
"ETA","010","011","Right Rear Door Latch Switch",,,
"ETA","010","011","Right Front Door Latch Switch",,,
"ETA","010","012","Drivers Seat Module",,,
"ETA","010","012","Drivers Power Lumbar Compressor",,,
"ETA","010","012","Seat Belt Switch",,,
"ETA","010","012","Seat Switch",,,
"ETA","010","012","Drivers Seat Control Switch","W/Power Recliner",,
"ETA","010","012","Dome Lamp",,,
"ETA","010","012","Front Dome/Reading Lamp",,,
"ETA","010","012","Rear Dome/Reading Lamp",,,
"ETA","010","012","Police Map Lamp Assembly",,,
"ETA","010","013","Fuel Tank Assembly",,,
