EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
"ETA","C100",,"RH side of trunk Top of engine, on fuel rail","011","C1",,,,,"BK","4",,,
"ETA","C101",,"LH rear of engine compartment, below brake fluid reservoir","003","A6",,,"150","001",,"16",,,
"ETA","C102",,"LH rear corner of engine compartment, rear of wheel well","003","A10",,,"150","001",,"16",,,
"ETA","C103",,"LH rear corner of engine compartment, rear of wheel well","003","B10",,,,,"BK","4",,,
"ETA","C104",,"LH rear corner of engine compartment, rear of wheel well","003","A10",,,,,,"4",,,
"ETA","C105",,"LH rear of engine compartment","002","A7",,,,,"BK","4",,,
"ETA","C106",,"RH side of engine compartment, behind engine compartment fuse box","001","D1",,,,,"GY","4",,,
"ETA","C107",,"RH rear of engine compartment","003","A2",,,"150","002",,"16",,,
"ETA","C108",,"Rear center of engine compartment, on evaporative emission (EVAP) Canister Purge Valve","002","A5",,,,,,"2",,,
"ETA","C109",,"Front of engine compartment, on cooling fan","002","F5",,,,,"BK","2",,,
"ETA","C110",,"LH side of engine compartment, inside relay center","001","B10",,,"021","003","BK","17",,,
"ETA","C111",,"RH side of transmission, on 4R70W transmission","004","F10",,,"029","004",,"10",,,
"ETA","C112",,"LH rear of transmission, on output shaft speed sensor","004","F7",,,,,"BK","2",,,
"ETA","C113",,"On top of engine","011","A3",,,,,,"2",,,
"ETA","C114",,"On top of engine","011","A4",,,,,,"2",,,
"ETA","C115",,"Lower LH front of engine compartment, on evac and fill connector","001","C10",,,"042","005",,"8",,,
"ETA","C116",,"On top of engine","011","A1",,,,,,"4",,,
"ETA","C117",,"Inside front of LH front fender","003","E10",,,,,"BK","4",,,
"ETA","C118",,"Inside front of RH front fender","003","F3",,,,,"BK","4",,,
"ETA","C119",,"LH rear corner of engine compartment, rear of wheel well","003","B10",,,"150","002",,"16",,,
"ETA","C120",,"LH rear corner of engine compartment, rear of wheel well","003","B10",,,,,,"4",,,
"ETA","C121",,"LH side of engine compartment, near octain adjust plug",,,,,"150","004","GY","16",,,
"ETA","C123",,"Right rear of engine compartment","003","A2",,,,,,"4",,,
"ETA","C124",,"Front of engine compartment","011","F3",,,,,,"60",,,
"ETA","C127",,"LH rear of engine compartment, below brake fluid reservoir","011","A5",,,"150","003",,"42",,,
"ETA","C150",,"RH side of engine compartment, on A/C high pressure cut out switch","002","D1",,,,,"BK","4",,,
"ETA","C151",,"Top LH side of safety wall, on windshield wiper motor","001","A7",,,"081","003","BK","7",,,
"ETA","C153",,"Top front of engine, on generator voltage regulator","001","F6",,,,,"GY","1",,,
"ETA","C154",,"Top front of engine, on generator voltage regulator","001","F6",,,,,"BK","3",,,
"ETA","C155",,"RH rear of engine compartment, on A/C clutch cycling pressure switch","003","A3",,,,,"BK","4",,,
"ETA","C156",,"Lower RH front of engine, on A/C compressor clutch","001","E1",,,,,"BK","2",,,
"ETA","C157",,"LH front of engine compartment, on intake air temperature (IAT) sensor","002","E10",,,,,"BK","2",,,
"ETA","C158",,"Lower LH front of engine compartment, on air suspension compressor motor and vent solenoid","003","C10",,,,,"BK","4",,,
"ETA","C160",,"Center front of vehicle, on ambient temperature sensor","001","F4",,,,,"BR","2",,,
"ETA","C162",,"LH front of vehicle, on anti-lock brake module","001","F7",,,"042","004","GY","28",,,
"ETA","C166",,"Top RH center of safety wall, on blower motor resistor assembly","001","A3",,,,,"BK","4",,,
"ETA","C167",,"Top RH side of safety wall, on blower motor","003","A1",,,,,"BK","2",,,
"ETA","C168",,"LH side of transmission, on transmission range (TR) sensor","004","F6",,,"093","002","BK","8",,,
"ETA","C169",,"Top RH center of safety wall, on blower motor speed controller","001","A3",,,"055","006","GY","5",,,
"ETA","C170",,"LH rear of engine compartment, on brake fluid level switch","001","A8",,,,,"GY","3",,,
"ETA","C171",,"Lower LH side of engine compartment, below air cleaner assembly","001","D10",,,,,"BK","2",,,
"ETA","C172",,"Lower RH side of engine compartment, below battery","002","E1",,,,,"BK","2",,,
"ETA","C175","Digital Cluster","Top RH front of engine, on engine coolant temperature sender","001","A6",,,,,"BR","2",,,
"ETA","C177",,"Lower RH front of engine, on crankshaft position (CKP) sensor","003","B1",,,,,,"2",,,
"ETA","C178",,"LH front of engine, on camshaft position (CMP) sensor","002","F7",,,,,,"2",,,
"ETA","C179",,"Top center rear of engine, on EGR vacuum regulator (EVR) solenoid","003","A5",,,,,"BK","2",,,
"ETA","C180","With Daytime Running Lamps (DRL)","Center front of vehicle, on daytime running lamps (DRL) module","001","F5",,,"097","004","BK","8",,,
"ETA","C180","Without Daytime Running Lamps (DRL)","Center front of vehicle, on DRL module jumper","001","F5",,,"097","004","BK","8",,,
"ETA","C181",,"Center rear of engine, on differential pressure feedback EGR (DPFE) sensor","002","A6",,,,,"BK","3",,,
"ETA","C183",,"Top LH front of engine, on engine coolant temperature (ECT) sensor","002","F6",,,,,"BR","2",,,
"ETA","C184",,"Lower LH front of engine compartment, on EVO actuator","001","C10",,,,,"BK","2",,,
"ETA","C185","Gasoline","LH rear of engine compartment, on powertrain control module (PCM)","002","A9",,,"023","008","GY","104",,,
"ETA","C187",,"LH side of engine compartment","002","D10",,,,,"BK","2",,,
"ETA","C189","Analog Cluster","Top RH front of engine, taped to harness","011","B1",,,,,"BK","1",,,
"ETA","C190",,"Top of cylinder #1, on fuel injector #1","002","C1",,,,,"BK","2",,,
"ETA","C191",,"Top of cylinder #2, on fuel injector #2","002","C1",,,,,"BK","2",,,
"ETA","C192",,"Top of cylinder #3, on fuel injector #3","002","C1",,,,,"BK","2",,,
"ETA","C193",,"Top of cylinder #4, on fuel injector #4","002","C1",,,,,"BK","2",,,
"ETA","C194",,"Top of cylinder #5, on fuel injector #5","002","C1",,,,,"BK","2",,,
"ETA","C195",,"Top of cylinder #6, on fuel injector #6","002","C1",,,,,"BK","2",,,
"ETA","C196",,"Top of cylinder #7, on fuel injector #7","002","C1",,,,,"BK","2",,,
"ETA","C197",,"Top of cylinder #8, on fuel injector #8","002","C1",,,,,"BK","2",,,
"ETA","C200",,"Behind RH cowl panel","006","F2",,,,,"BL","1",,,
"ETA","C201",,"Bottom of steering column, on shift lock actuator","005","F7",,,,,,"3",,,
"ETA","C202",,"Bottom of steering column, on transmission control switch","006","F8",,,,,,"2",,,
"ETA","C203",,"Behind RH cowl panel, on connector bracket","004","D10",,,"150","004","GY","14",,,
"ETA","C206",,"Behind LH cowl panel, on connector bracket","004","D1",,,"150","004","BK","16",,,
"ETA","C208",,"At base of LH ""A"" pillar",,,,,,,,"1",,,
"ETA","C209",,"At base of RH ""A"" pillar",,,,,,,,"1",,,
"ETA","C210",,"Behind top RH side of I/P, on sunload sensor","006","A2",,,,,,"2",,,
"ETA","C211",,"Behind LH cowl panel, on connector bracket","004","D1",,,"150","005",,"16",,,
"ETA","C212",,"Behind RH cowl panel, on connector bracket","004","D10",,,"150","005","BK","12",,,
"ETA","C213",,"Behind RH side of I/P, near grommet",,,,,,,"GY","3",,,
"ETA","C214",,"Behind RH side of I/P, on EVO steering module","010","F7",,,"043","003","GY","14",,,
"ETA","C215",,"Behind RH side of I/P, on air suspension/EVO steering module","005","B1",,,"041","003","W","13",,,
"ETA","C216",,"Behind RH side of I/P, on air suspension/EVO steering module","005","B1",,,"041","003","W","13",,,
"ETA","C218",,"Behind RH side of I/P, on connector bracket",,,,,,,"GY","4",,,
"ETA","C219",,"Behind RH cowl panel, on connector bracket","004","C10",,,"150","006","BL","6",,,
"ETA","C222",,"Behind LH side of I/P","004","A2",,,,,"BK","4",,,
"ETA","C223",,"Behind LH cowl panel, on connector bracket","004","F3",,,,,,"3",,,
"ETA","C224",,"Behind RH side of I/P, on connector bracket, near grommet","004","E10",,,"150","006","GY","8",,,
"ETA","C226",,"Behind RH side of I/P, on connector bracket, near grommet","004","A6",,,,,"GY","3",,,
"ETA","C227",,"Behind center of I/P, on EATC control module","006","F4",,,"055","005","BK","13",,,
"ETA","C228",,"Behind center of I/P, on EATC control module","006","F4",,,"055","005","BK","13",,,
"ETA","C234",,"LH rear of engine compartment, inside speed control servo assembly","001","A9",,,"031","003",,"10",,,
"ETA","C235",,"LH rear of engine compartment, on brake pressure switch","003","A7",,,,,"BK","2",,,
"ETA","C236",,"Lower RH side of steering column, on connector bracket","005","F6",,,,,"GY","3",,,
"ETA","C237",,"Top of steering column, near drivers air bag","004","A5",,,,,"BK","3",,,
