EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
"ETA","010","001","C185","Gasoline",,
"ETA","010","001","C127",,,
"ETA","010","001","C156",,,
"ETA","010","001","C100",,,
"ETA","010","001","C106",,,
"ETA","010","002","C1031",,,
"ETA","010","002","C1033",,,
"ETA","010","002","C109",,,
"ETA","010","002","C1029","Grand Marquis",,
"ETA","010","002","C1037","Grand Marquis",,
"ETA","010","002","C1027",,,
"ETA","010","002","C1025",,,
"ETA","010","003","C162",,,
"ETA","010","003","C115",,,
"ETA","010","003","C158",,,
"ETA","010","003","C1021",,,
"ETA","010","003","C1022",,,
"ETA","010","003","C1000",,,
"ETA","010","003","C1032",,,
"ETA","010","003","C1030",,,
"ETA","010","003","C124",,,
"ETA","010","004","C1036","Grand Marquis",,
"ETA","010","004","C1028","Grand Marquis",,
"ETA","010","004","C1026",,,
"ETA","010","004","C1024",,,
"ETA","010","004","C117",,,
"ETA","010","004","C185","Gasoline",,
"ETA","010","004","C1012",,,
"ETA","010","004","C110",,,
"ETA","010","004","C124",,,
"ETA","010","004","C104",,,
"ETA","010","004","C119",,,
"ETA","010","004","C2021",,,
"ETA","010","005","C519",,,
"ETA","010","005","C303",,,
"ETA","010","005","C277",,,
"ETA","010","005","C276",,,
"ETA","010","005","C211",,,
"ETA","010","005","C245",,,
"ETA","010","005","C282","without EATC",,
"ETA","010","005","C203",,,
"ETA","010","005","C2026",,,
"ETA","010","005","C200",,,
"ETA","010","005","C2006",,,
"ETA","010","005","C2007",,,
"ETA","010","005","C2008",,,
"ETA","010","005","C262",,,
"ETA","010","005","C2021",,,
"ETA","010","006","C2009",,,
"ETA","010","006","C2012",,,
"ETA","010","006","C228",,,
"ETA","010","006","C257","M100",,
"ETA","010","006","C2000",,,
"ETA","010","006","C2029",,,
"ETA","010","006","C2005",,,
"ETA","010","006","C2011",,,
"ETA","010","006","C2013",,,
"ETA","010","006","C250","Analog",,
"ETA","010","006","C286",,,
"ETA","010","007","C216",,,
"ETA","010","007","C214",,,
"ETA","010","007","C211",,,
"ETA","010","007","C464",,,
"ETA","010","007","C206",,,
"ETA","010","007","C250","Analog",,
"ETA","010","007","C251","Analog",,
"ETA","010","007","C256","Digital",,
"ETA","010","007","C255","Digital",,
"ETA","010","007","C1020",,,
"ETA","010","007","C101",,,
"ETA","010","007","C185","Gasoline",,
"ETA","010","007","C175","Digital Cluster",,
"ETA","010","007","C127",,,
"ETA","010","007","C102",,,
"ETA","010","007","C189","Analog Cluster",,
"ETA","010","007","C106",,,
"ETA","010","007","C119",,,
"ETA","010","007","C264",,,
"ETA","010","007","C257","M100",,
"ETA","010","008","C201",,,
"ETA","010","008","C151",,,
"ETA","010","008","C294",,,
"ETA","010","008","C169",,,
"ETA","010","008","C166",,,
"ETA","010","008","C2019",,,
"ETA","010","008","C249",,,
"ETA","010","008","C251","Analog",,
"ETA","010","008","C2029",,,
"ETA","010","008","C170",,,
"ETA","010","008","C292",,,
"ETA","010","008","C264",,,
"ETA","010","008","C2004",,,
"ETA","010","009","C2001",,,
"ETA","010","009","C212",,,
"ETA","010","009","C706",,,
"ETA","010","009","C213",,,
"ETA","010","009","C479",,,
"ETA","010","009","C900",,,
"ETA","010","009","C222",,,
