EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
"ETA","G100",,"Lower RH front of engine","003","D1",,
"ETA","G101",,"Rear of LH front fender apron","003","B10",,
"ETA","G102",,"Front of RH front fender apron, RH side of battery","003","E1",,
"ETA","G103",,"Front of RH front fender apron, RH side of battery","003","E1",,
"ETA","G104",,"LH rear of engine compartment","002","A10",,
"ETA","G105",,"Top of engine, near fuel injector #1","001","A5",,
"ETA","G200",,"Behind RH cowl panel, near door sill","004","C10",,
"ETA","G201",,"Behind RH cowl panel, near door sill","004","C10",,
"ETA","G203",,"Behind LH cowl panel, near door sill","004","F3",,
"ETA","G400",,"Center rear of trunk, on support","008","E10",,
"ETA","G401",,"Center rear of trunk, on support","008","A10",,
"ETA","G402",,"Center rear of trunk, on support","008","E10",,
"ETA","G403",,"RH side of trunk",,,,
