EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
"ETA","010","001","G100",,,
"ETA","010","001","G103",,,
"ETA","010","001","G101",,,
"ETA","010","001","G105",,,
"ETA","010","002","G102",,,
"ETA","010","004","G102",,,
"ETA","010","005","G201",,,
"ETA","010","007","G201",,,
"ETA","010","008","G203",,,
"ETA","010","009","G200",,,
"ETA","010","013","G400",,,
"ETA","010","015","G402",,,
"ETA","012","001","G100",,,
"ETA","012","001","G103",,,
"ETA","013","001","G100",,,
"ETA","013","001","G103",,,
"ETA","013","017","G201",,,
"ETA","013","017","G203",,,
"ETA","020","001","G100",,,
"ETA","020","001","G103",,,
"ETA","021","001","G102",,,
"ETA","021","002","G101",,,
"ETA","023","001","G102",,,
"ETA","023","001","G101",,,
"ETA","023","002","G102",,,
"ETA","023","004","G201",,,
"ETA","023","006","G101",,,
"ETA","023","007","G400",,,
"ETA","023","007","G201",,,
"ETA","024","001","G102",,,
"ETA","024","001","G101",,,
"ETA","024","002","G102",,,
"ETA","024","006","G101",,,
"ETA","024","007","G201",,,
"ETA","024","008","G105",,,
"ETA","024","008","G400",,,
"ETA","029","001","G102",,,
"ETA","029","001","G101",,,
"ETA","031","002","G201",,,
"ETA","031","002","G104",,,
"ETA","033","001","G102",,,
"ETA","037","001","G203",,,
"ETA","041","002","G201",,,
"ETA","041","002","G200",,,
"ETA","042","001","G102",,,
"ETA","043","001","G201",,,
"ETA","043","001","G200",,,
"ETA","043","002","G201",,,
"ETA","043","002","G200",,,
"ETA","044","001","G102",,,
"ETA","046","001","G201",,,
"ETA","046","002","G200",,,
"ETA","054","002","G201",,,
"ETA","054","002","G203",,,
"ETA","054","003","G105",,,
"ETA","055","001","G203",,,
"ETA","055","002","G201",,,
"ETA","055","003","G105",,,
"ETA","056","001","G201",,,
"ETA","056","001","G200",,,
"ETA","057","001","G201",,,
"ETA","057","001","G200",,,
"ETA","058","001","G203",,,
"ETA","058","001","G201",,,
"ETA","058","003","G200",,,
"ETA","060","001","G400",,,
"ETA","060","001","G201",,,
"ETA","060","002","G201",,,
"ETA","060","003","G201",,,
"ETA","060","005","G203",,,
"ETA","060","007","G201",,,
"ETA","060","007","G203",,,
"ETA","063","001","G400",,,
"ETA","063","001","G201",,,
"ETA","063","002","G203",,,
"ETA","063","003","G400",,,
"ETA","063","004","G102",,,
"ETA","064","001","G201",,,
"ETA","064","002","G104",,,
"ETA","065","001","G203",,,
"ETA","065","002","G203",,,
"ETA","066","001","G200",,,
"ETA","066","001","G203",,,
"ETA","066","002","G200",,,
"ETA","071","001","G201",,,
"ETA","071","002","G201",,,
"ETA","081","001","G203",,,
"ETA","081","002","G102",,,
"ETA","087","001","G201",,,
"ETA","087","002","G201",,,
"ETA","087","002","G102",,,
"ETA","089","001","G200",,,
"ETA","089","001","G201",,,
"ETA","089","002","G200",,,
"ETA","089","003","G200",,,
"ETA","089","003","G201",,,
"ETA","089","004","G200",,,
"ETA","090","001","G401",,,
"ETA","090","002","G201",,,
"ETA","090","002","G102",,,
"ETA","090","003","G400",,,
"ETA","091","001","G102",,,
"ETA","092","002","G102",,,
"ETA","092","003","G400",,,
"ETA","092","004","G400",,,
"ETA","093","001","G400",,,
"ETA","093","002","G400",,,
"ETA","095","001","G400",,,
"ETA","095","002","G400",,,
"ETA","096","001","G102",,,
"ETA","096","001","G201",,,
"ETA","096","001","G200",,,
"ETA","096","002","G200",,,
"ETA","096","004","G400",,,
"ETA","097","001","G201",,,
"ETA","097","001","G102",,,
"ETA","097","002","G203",,,
"ETA","100","001","G200",,,
"ETA","100","002","G200",,,
"ETA","100","003","G200",,,
"ETA","110","001","G200",,,
"ETA","111","001","G200",,,
"ETA","111","002","G400",,,
"ETA","111","003","G200",,,
"ETA","113","001","G400",,,
"ETA","113","002","G400",,,
"ETA","113","002","G200",,,
"ETA","116","001","G400",,,
"ETA","120","001","G200",,,
"ETA","120","002","G200",,,
"ETA","120","003","G200",,,
"ETA","121","001","G200",,,
"ETA","122","001","G200",,,
"ETA","123","002","G200",,,
"ETA","123","002","G201",,,
"ETA","124","001","G200",,,
"ETA","125","001","G200",,,
"ETA","130","001","G402",,,
"ETA","130","001","G201",,,
"ETA","130","002","G402",,,
"ETA","130","003","G402",,,
"ETA","130","004","G201",,,
"ETA","041","001","G102",,,
"ETA","044","002","G201",,,
