EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
"ETA","151","004","F10","4R70W Transmission",,"COM",,
"ETA","151","003","A3","A/C Clutch Cycling Pressure Switch",,"COM",,
"ETA","151","001","E1","A/C Clutch Diode",,"COM",,
"ETA","151","001","E1","A/C Compressor Clutch",,"COM",,
"ETA","151","002","D1","A/C High Pressure Cut Out Switch",,"COM",,
"ETA","151","001","B10","A/C WOT Cutout Relay",,"COM",,
"ETA","151","005","E1","A/C-Heater Mode Switch",,"COM",,
"ETA","151","005","F4","A/C-Heater Mode Switch Illumination",,"COM",,
"ETA","151","005","C1","Air Bag Diagnostic Monitor",,"COM",,
"ETA","151","003","C10","Air Suspension Compressor Motor and Vent Solenoid",,"COM",,
"ETA","151","008","C10","Air Suspension Switch",,"COM",,
"ETA","151","008","D10","Air Suspension Test Connector",,"COM",,
"ETA","151","005","B1","Air Suspension/EVO Steering Module",,"COM",,
"ETA","151","001","F4","Ambient Temperature Sensor",,"COM",,
"ETA","151","001","F7","Anti-lock Brake Module",,"COM",,
"ETA","151","006","F3","Auxiliary Power",,"COM",,
"ETA","151","004","A8","Blend Door Actuator","with EATC","COM",,
"ETA","151","004","A8","Blend Door Actuator","without EATC","COM",,
"ETA","151","003","A1","Blower Motor",,"COM",,
"ETA","151","001","A3","Blower Motor Resistor Assembly",,"COM",,
"ETA","151","001","A3","Blower Motor Speed Controller",,"COM",,
"ETA","151","005","A10","Blower Motor Switch",,"COM",,
"ETA","151","001","A8","Brake Fluid Level Switch",,"COM",,
"ETA","151","004","F4","Brake On/Off (BOO) Switch",,"COM",,
"ETA","151","003","A7","Brake Pressure Switch",,"COM",,
"ETA","151","011","C1","C100",,"CON",,
"ETA","151","001","F8","C1000",,"CON",,
"ETA","151","003","F6","C1003",,"CON",,
"ETA","151","003","F7","C1004",,"CON",,
"ETA","151","003","F5","C1005",,"CON",,
"ETA","151","002","B10","C1006",,"CON",,
"ETA","151","002","A4","C1007",,"CON",,
"ETA","151","002","F7","C1008",,"CON",,
"ETA","151","002","F4","C1009",,"CON",,
"ETA","151","003","A6","C101",,"CON",,
"ETA","151","002","F9","C1010",,"CON",,
"ETA","151","002","F3","C1011",,"CON",,
"ETA","151","002","F10","C1012",,"CON",,
"ETA","151","002","D10","C1013",,"CON",,
"ETA","151","001","E10","C1014",,"CON",,
"ETA","151","002","B1","C1018",,"CON",,
"ETA","151","002","E10","C1019",,"CON",,
"ETA","151","003","A10","C102",,"CON",,
"ETA","151","004","F8","C1020",,"CON",,
"ETA","151","003","D10","C1021",,"CON",,
"ETA","151","003","D10","C1022",,"CON",,
"ETA","151","003","F10","C1024",,"CON",,
"ETA","151","003","F2","C1025",,"CON",,
"ETA","151","001","F8","C1026",,"CON",,
"ETA","151","001","F3","C1027",,"CON",,
"ETA","151","003","E10","C1028","Grand Marquis","CON",,
"ETA","151","003","E1","C1029","Grand Marquis","CON",,
"ETA","151","003","B10","C103",,"CON",,
"ETA","151","003","F9","C1030",,"CON",,
"ETA","151","003","F3","C1031",,"CON",,
"ETA","151","003","F8","C1032",,"CON",,
"ETA","151","003","F4","C1033",,"CON",,
"ETA","151","001","F10","C1036","Grand Marquis","CON",,
"ETA","151","001","F2","C1037","Grand Marquis","CON",,
"ETA","151","001","A1","C1038",,"CON",,
"ETA","151","004","F9","C1039",,"CON",,
"ETA","151","003","A10","C104",,"CON",,
"ETA","151","004","E10","C1040",,"CON",,
"ETA","151","002","A7","C105",,"CON",,
"ETA","151","001","D1","C106",,"CON",,
"ETA","151","003","A2","C107",,"CON",,
"ETA","151","002","A5","C108",,"CON",,
"ETA","151","002","F5","C109",,"CON",,
"ETA","151","001","B10","C110",,"CON",,
"ETA","151","004","F10","C111",,"CON",,
"ETA","151","004","F7","C112",,"CON",,
