EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
"ETA","010","001","Powertrain Control Module (PCM)","Gasoline","023","001",,,,,
"ETA","010","001","Camshaft Position (CMP) Sensor Shield",,"023","006",,,,,
"ETA","010","001","Camshaft Position (CMP) Sensor Shield",,"024","006",,,,,
"ETA","010","001","Crankshaft Position (CKP) Sensor Shield",,"021","002",,,,,
"ETA","010","001","S114",,"010","004","M",,,,
"ETA","010","001","A/C Compressor Clutch",,"054","003",,,,,
"ETA","010","001","A/C Compressor Clutch",,"055","003",,,,,
"ETA","010","001","A/C Clutch Diode",,"054","003",,,,,
"ETA","010","001","A/C Clutch Diode",,"055","003",,,,,
"ETA","010","001","Fuel Rail Cutoff Solenoid",,"024","008",,,,,
"ETA","010","001","S113",,"010","002","A",,,,
"ETA","010","002","C106",,"010","001","A",,,,
"ETA","010","002","Right Lo Beam Headlamp",,"087","002",,,,,
"ETA","010","002","Right Lo Beam Headlamp",,"097","001",,,,,
"ETA","010","002","Right Hi Beam Headlamp",,"087","002",,,,,
"ETA","010","002","Right Hi Beam Headlamp",,"097","001",,,,,
"ETA","010","002","Police Power Relay",,"096","001",,,,,
"ETA","010","002","Cooling Fan",,"033","001",,,,,
"ETA","010","002","Right Front Side Marker Lamp","Grand Marquis","092","002",,,,,
"ETA","010","002","Right Front Park/Turn Lamp","Grand Marquis","090","002",,,,,
"ETA","010","002","Right Front Park/Turn Lamp","Grand Marquis","092","002",,,,,
"ETA","010","002","Right Front Park/Turn/Side Marker Lamp","Crown Victoria","090","002",,,,,
"ETA","010","002","Right Front Park/Turn/Side Marker Lamp","Crown Victoria","092","002",,,,,
"ETA","010","002","Right Cornering Lamp",,"091","001",,,,,
"ETA","010","002","S112",,"010","003","B",,,,
"ETA","010","003","S113",,"010","002","B",,,,
"ETA","010","003","Anti-lock Brake Module",,"042","001",,,,,
"ETA","010","003","EVAC and Fill Connector",,"042","001",,,,,
"ETA","010","003","Air Suspension Compressor Motor and Vent Solenoid",,"041","001",,,,,
"ETA","010","003","Windshield Washer Low Fluid Switch",,"063","004",,,,,
"ETA","010","003","Windshield Washer Pump",,"081","002",,,,,
"ETA","010","003","Horn Assembly",,"044","001",,,,,
"ETA","010","003","Left Hi Beam Headlamp",,"087","002",,,,,
"ETA","010","003","Left Hi Beam Headlamp",,"097","001",,,,,
"ETA","010","003","Left Lo Beam Headlamp",,"087","002",,,,,
"ETA","010","003","Left Lo Beam Headlamp",,"097","001",,,,,
"ETA","010","003","Fuel Indicator Module (FIM)",,"024","001",,,,,
"ETA","010","003","C117",,"010","004","C",,,,
"ETA","010","004","Left Front Park/Turn Lamp","Grand Marquis","092","002",,,,,
"ETA","010","004","Left Front Side Marker Lamp","Grand Marquis","092","002",,,,,
"ETA","010","004","Left Front Park/Turn/Side Marker Lamp","Crown Victoria","090","002",,,,,
"ETA","010","004","Left Front Park/Turn/Side Marker Lamp","Crown Victoria","092","002",,,,,
"ETA","010","004","Left Cornering Lamp",,"091","001",,,,,
"ETA","010","004","S112",,"010","003","C",,,,
"ETA","010","004","Powertrain Control Module (PCM)","Gasoline","023","001",,,,,
"ETA","010","004","Mass Air Flow (MAF) Sensor",,"023","002",,,,,
"ETA","010","004","PCM Power Relay",,"021","001",,,,,
"ETA","010","004","PCM Power Relay",,"023","001",,,,,
"ETA","010","004","Fuel Indicator Module (FIM)",,"024","001",,,,,
"ETA","010","004","G101",,"010","001","M",,,,
"ETA","010","004","Data Link Connector (DLC)",,"023","001",,,,,
"ETA","010","004","Data Link Connector (DLC)",,"024","001",,,,,
"ETA","010","005","Drivers Door Module",,"057","001",,,,,
"ETA","010","005","Drivers Seat Module",,"123","002",,,,,
"ETA","010","005","Air Bag Diagnostic Monitor",,"046","001",,,,,
"ETA","010","005","Blend Door Actuator","without EATC","054","002",,,,,
"ETA","010","005","Blend Door Actuator","with EATC","055","002",,,,,
"ETA","010","005","Lighting Control Module (LCM)",,"058","001",,,,,
"ETA","010","005","Auxiliary Power",,"044","002",,,,,
"ETA","010","005","Left I/P Courtesy Lamp",,"089","003",,,,,
"ETA","010","005","Right I/P Courtesy Lamp",,"089","003",,,,,
"ETA","010","005","Headlamp Switch Assembly",,"013","017",,,,,
"ETA","010","005","Data Link Connector (DLC)",,"058","001",,,,,
"ETA","010","005","S204",,"010","006","D",,,,
"ETA","010","006","Clock",,"044","002",,,,,
"ETA","010","006","A/C-Heater Mode Switch Illumination",,"071","002",,,,,
"ETA","010","006","Electronic Automatic Temperature Control (EATC) Module",,"055","002",,,,,
"ETA","010","006","Front Control Unit","LUX","130","001",,,,,
"ETA","010","006","Front Control Unit","M100","130","004",,,,,
"ETA","010","006","Rear Window Defrost Control",,"056","001",,,,,
"ETA","010","006","Lighting Control Module (LCM)",,"058","001",,,,,
"ETA","010","006","I/P Cigar Lighter Lamp",,"071","002",,,,,
"ETA","010","006","I/P Cigar Lighter",,"044","002",,,,,
"ETA","010","006","Instrument Cluster","Analog","060","007",,,,,
"ETA","010","006","Day/Night Sensor/Amplifier",,"087","001",,,,,
"ETA","010","006","S206",,"010","005","D",,,,
"ETA","010","007","Air Suspension/EVO Steering Module",,"041","002",,,,,
"ETA","010","007","Air Suspension/EVO Steering Module",,"043","001",,,,,
"ETA","010","007","Electronic Variable Orifice (EVO) Steering Module",,"043","002",,,,,
"ETA","010","007","Instrument Cluster","Analog","060","001",,,,,
"ETA","010","007","Instrument Cluster","Analog","060","003",,,,,
"ETA","010","007","Instrument Cluster","Digital","063","001",,,,,
"ETA","010","007","Instrument Cluster","Digital","063","001",,,,,
"ETA","010","007","Vehicle Speed Sensor (VSS)",,"064","001",,,,,
"ETA","010","007","Powertrain Control Module (PCM)","Gasoline","023","004",,,,,
"ETA","010","007","Engine Coolant Temperature Sender","Gasoline","063","001",,,,,
"ETA","010","007","Instrument Cluster","Analog","060","003",,,,,
"ETA","010","007","Message Center Switch Assembly",,"063","002",,,,,
"ETA","010","007","Front Control Unit","M100","130","004",,,,,
"ETA","010","008","Shift Lock Actuator",,"037","001",,,,,
"ETA","010","008","Windshield Wiper Motor",,"081","001",,,,,
"ETA","010","008","Wiper Control Module",,"081","001",,,,,
"ETA","010","008","Blower Motor Speed Controller",,"055","001",,,,,
"ETA","010","008","Blower Motor Resistor Assembly",,"054","002",,,,,
"ETA","010","008","Blower Motor Switch",,"054","002",,,,,
"ETA","010","008","Headlamp Switch Assembly",,"013","017",,,,,
"ETA","010","008","Lighting Control Module (LCM)",,"058","001",,,,,
"ETA","010","008","Brake Fluid Level Switch",,"060","005",,,,,
"ETA","010","008","Brake Fluid Level Switch",,"065","002",,,,,
"ETA","010","008","Ignition Switch",,"060","005",,,,,
"ETA","010","008","Ignition Switch",,"065","002",,,,,
"ETA","010","008","Message Center Switch Assembly",,"063","002",,,,,
"ETA","010","008","Warning Lamps Module",,"065","001",,,,,
"ETA","010","008","Instrument Cluster","Analog","060","007",,,,,
"ETA","010","009","Steering Wheel Rotation Sensor",,"043","001",,,,,
"ETA","010","009","Left Rear Window Control Switch",,"100","003",,,,,
"ETA","010","009","Air Bag Diagnostic Connector",,"046","002",,,,,
"ETA","010","009","Trunk Lid Lamp",,"089","001",,,,,
"ETA","010","009","Electronic Day/Night Mirror",,"125","001",,,,,
"ETA","010","009","Right Rear Window Control Switch",,"100","003",,,,,
"ETA","010","009","Air Suspension/EVO Steering Module",,"041","002",,,,,
"ETA","010","009","Air Suspension/EVO Steering Module",,"043","001",,,,,
"ETA","010","009","Electronic Variable Orifice (EVO) Steering Module",,"043","002",,,,,
"ETA","010","009","Passengers Power Lumbar Compressor",,"122","001",,,,,
"ETA","010","009","Right Power/Heated Mirror",,"124","001",,,,,
"ETA","010","009","S500",,"010","010","E",,,,
"ETA","010","009","S600",,"010","011","F",,,,
"ETA","010","009","C323",,"010","012","G",,,,
"ETA","010","009","C308",,"010","012","H",,,,
"ETA","010","010","Power Mirror Switch",,"124","001",,,,,
"ETA","010","010","One Touch Window Down Module",,"100","002",,,,,
"ETA","010","010","Left Lock Cylinder Lamp",,"089","003",,,,,
"ETA","010","010","Left Front Door Courtesy Lamp",,"089","003",,,,,
"ETA","010","010","Trunk Lid Release Switch",,"113","002",,,,,
"ETA","010","010","Master Window/Door Lock Control Switch",,"100","001",,,,,
"ETA","010","010","Master Window/Door Lock Control Switch",,"110","001",,,,,
"ETA","010","010","Master Window/Door Lock Control Switch",,"111","001",,,,,
"ETA","010","010","Remote Keyless Entry Switch Assembly",,"111","003",,,,,
"ETA","010","010","Drivers Seat Control Switch","W/Power Recliner","120","001",,,,,
"ETA","010","010","Memory Switch",,"123","002",,,,,
"ETA","010","010","Left Power/Heated Mirror",,"124","001",,,,,
"ETA","010","010","Drivers Door Module",,"057","001",,,,,
"ETA","010","010","S208",,"010","009","E",,,,
"ETA","010","010","Left Front Door Latch Switch",,"066","002",,,,,
"ETA","010","010","Left Rear Door Latch Switch",,"066","002",,,,,
"ETA","010","011","Passengers Seat Control Switch",,"120","002",,,,,
"ETA","010","011","Right Power/Heated Mirror",,"124","001",,,,,
"ETA","010","011","Right Front Door Courtesy Lamp",,"089","003",,,,,
"ETA","010","011","Right Lock Cylinder Lamp",,"089","003",,,,,
"ETA","010","011","Right Front Window/Door Lock Control Switch",,"100","003",,,,,
"ETA","010","011","Right Front Window/Door Lock Control Switch",,"111","001",,,,,
"ETA","010","011","Right Rear Door Latch Switch",,"066","002",,,,,
"ETA","010","011","Right Front Door Latch Switch",,"066","002",,,,,
"ETA","010","011","S208",,"010","009","F",,,,
"ETA","010","012","Drivers Seat Module",,"123","002",,,,,
"ETA","010","012","Drivers Power Lumbar Compressor",,"122","001",,,,,
"ETA","010","012","Seat Belt Switch",,"066","001",,,,,
"ETA","010","012","Seat Switch",,"111","001",,,,,
"ETA","010","012","Drivers Seat Control Switch","W/O Power Recliner","120","003",,,,,
"ETA","010","012","S208",,"010","009","H",,,,
"ETA","010","012","Dome Lamp",,"089","004",,,,,
"ETA","010","012","Front Dome/Reading Lamp",,"089","004",,,,,
"ETA","010","012","Rear Dome/Reading Lamp",,"089","004",,,,,
"ETA","010","012","Police Map Lamp Assembly",,"096","001",,,,,
"ETA","010","012","S208",,"010","009","G",,,,
"ETA","010","013","Fuel Filler Door Release Solenoid",,"116","001",,,,,
"ETA","010","013","Fuel Tank Solenoid Valve #3",,"024","008",,,,,
"ETA","010","013","Fuel Tank Solenoid Valve #4",,"024","008",,,,,
"ETA","010","013","Left Rear Running Lamp",,"092","003",,,,,
"ETA","010","013","Left Backup Lamp","Crown Victoria","093","002",,,,,
"ETA","010","013","Left Rear Park/Stop/Turn Lamps",,"090","003",,,,,
"ETA","010","013","Left Rear Park/Stop/Turn Lamps",,"092","003",,,,,
"ETA","010","013","Right Rear Park/Stop/Turn Lamps",,"090","003",,,,,
"ETA","010","013","Right Rear Park/Stop/Turn Lamps",,"092","004",,,,,
"ETA","010","013","Right Backup Lamp","Crown Victoria","093","002",,,,,
"ETA","010","013","Right Rear Running Lamp",,"092","004",,,,,
"ETA","010","013","C408",,"010","014","I",,,,
"ETA","010","013","S404",,"010","014","J",,,,
"ETA","010","013","C421",,"010","015","K",,,,
"ETA","010","013","Trailer/Camper Adapter",,"095","002",,,,,
"ETA","010","014","Left Backup Lamp","Grand Marquis","093","001",,,,,
"ETA","010","014","Right Backup Lamp","Grand Marquis","093","001",,,,,
"ETA","010","014","Trunk Lid Release Solenoid/Ajar Switch",,"113","001",,,,,
"ETA","010","014","Trunk Lid Release Solenoid/Ajar Switch",,"113","002",,,,,
"ETA","010","014","Left License Lamp",,"092","004",,,,,
"ETA","010","014","Right License Lamp",,"092","004",,,,,
