EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
"ETA","010","001","S101",,,
"ETA","010","002","S113",,,
"ETA","010","003","S112",,,
"ETA","010","004","S108",,,
"ETA","010","004","S114",,,
"ETA","010","004","S106",,,
"ETA","010","004","S141",,,
"ETA","010","005","S229",,,
"ETA","010","005","S206",,,
"ETA","010","005","S200",,,
"ETA","010","006","S204",,,
"ETA","010","007","S210",,,
"ETA","010","007","S105",,,
"ETA","010","008","S203",,,
"ETA","010","008","S207",,,
"ETA","010","009","S208",,,
"ETA","010","010","S500",,,
"ETA","010","010","S503",,,
"ETA","010","011","S600",,,
"ETA","010","012","S304",,,
"ETA","010","012","S312",,,
"ETA","010","012","S902",,,
"ETA","010","013","S405",,,
"ETA","010","013","S402",,,
"ETA","010","013","S400",,,
"ETA","010","013","S401",,,
"ETA","010","014","S403",,,
"ETA","010","014","S404",,,
"ETA","010","015","S428",,,
"ETA","010","015","S417",,,
"ETA","012","001","S231",,,
"ETA","012","001","S127",,,
"ETA","013","001","S425",,,
"ETA","013","002","S407",,,
"ETA","013","002","S283",,,
"ETA","013","002","S282",,,
"ETA","013","003","S245",,,
"ETA","013","003","S310",,,
"ETA","013","003","S311",,,
"ETA","013","004","S144",,,
"ETA","013","004","S411",,,
"ETA","013","004","S406",,,
"ETA","013","005","S124",,,
"ETA","013","005","S100",,,
"ETA","013","005","S151",,,
"ETA","013","005","S146",,,
"ETA","013","005","S149",,,
"ETA","013","006","S119",,,
"ETA","013","006","S252",,,
"ETA","013","007","S127",,,
"ETA","013","007","S272",,,
"ETA","013","007","S270",,,
"ETA","013","008","S219",,,
"ETA","013","008","S225",,,
"ETA","013","008","S221",,,
"ETA","013","009","S227",,,
"ETA","013","009","S228",,,
"ETA","013","010","S103",,,
"ETA","013","010","S102",,,
"ETA","013","011","S253",,,
"ETA","013","011","S285",,,
"ETA","013","011","S211",,,
"ETA","013","011","S218",,,
"ETA","013","012","S263",,,
"ETA","013","012","S265",,,
"ETA","013","012","S254",,,
"ETA","013","012","S201",,,
"ETA","013","012","S262",,,
"ETA","013","012","S294",,,
"ETA","013","012","S426",,,
"ETA","013","013","S269",,,
"ETA","013","013","S231",,,
"ETA","013","014","S226",,,
"ETA","013","014","S274",,,
"ETA","013","015","S276",,,
"ETA","013","016","S266",,,
"ETA","013","016","S224",,,
"ETA","013","016","S278",,,
"ETA","013","017","S278",,,
"ETA","013","017","S285",,,
"ETA","013","017","S276",,,
"ETA","013","017","S262",,,
"ETA","013","017","S201",,,
"ETA","013","017","S200",,,
"ETA","013","017","S207",,,
"ETA","020","001","S313",,,
"ETA","020","001","S267",,,
"ETA","020","001","S128",,,
"ETA","021","001","S129",,,
"ETA","021","001","S114",,,
"ETA","021","001","S106",,,
"ETA","021","001","S141",,,
"ETA","021","001","S103",,,
"ETA","021","001","S102",,,
"ETA","021","002","S101",,,
"ETA","023","001","S100",,,
"ETA","023","001","S106",,,
"ETA","023","001","S141",,,
"ETA","023","001","S114",,,
"ETA","023","001","S110",,,
"ETA","023","001","S101",,,
"ETA","023","002","S276",,,
"ETA","023","002","S129",,,
"ETA","023","002","S148",,,
"ETA","023","002","S106",,,
"ETA","023","003","S131",,,
"ETA","023","003","S296",,,
"ETA","023","003","S297",,,
