EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
"ETA","S100",,"In 12A581, near T/O to inline C102M",,
"ETA","S101",,"In 12A581, in T/O to G101",,
"ETA","S102",,"In 12A522, in T/O to C1009 right ignition coil",,
"ETA","S103",,"In 12A522 or 9D930, near T/O to C178 camshaft position sensor",,
"ETA","S105",,"In 12A581, near T/O to inline C101F",,
"ETA","S106",,"In 12A581, in T/O to inline C104M",,
"ETA","S107",,"In 15A219, near T/O to C1025 right cornering lamp",,
"ETA","S108",,"In 15A219, near T/O to C1024 left cornering lamp",,
"ETA","S109",,"In 12A581, in T/O to inline C102M",,
"ETA","S110",,"In 12A581, near T/O to inline C127M",,
"ETA","S112",,"In 14290, near T/O to C1004 left primary crash sensor",,
"ETA","S113",,"In 14290, near T/O to inline C118M",,
"ETA","S114",,"In 12A581, near T/O to inline C104M",,
"ETA","S119",,"In 14290, in T/O to engine compartment fuse panel",,
"ETA","S120",,"In 14290, near T/O to C1000 horn assembly",,
"ETA","S121",,"In 13234, near T/O to inline C117",,
"ETA","S122",,"In 13234, near T/O to inline C118",,
"ETA","S123",,"In 9D930, near T/O to C197 fuel injector #8",,
"ETA","S124",,"In 12A581, near T/O to C187 fuel pump prime",,
"ETA","S125",,"In 7C078, near T/O to inline C105M",,
"ETA","S126",,"In 9D930, near T/O to C1007 right heated oxygen sensor #1",,
"ETA","S127",,"In 14290, near T/O to engine compartment fuse panel",,
"ETA","S128",,"In 7C078, near T/O to C168 transmission range sensor",,
"ETA","S129",,"In 12A581, near T/O to C104M",,
"ETA","S130",,"In 12A581, near T/O to inline C102M",,
"ETA","S131",,"In 9D930, near T/O to C197 fuel injector #8",,
"ETA","S136",,"In 14290, in T/O to C115 EVAC and fill connector",,
"ETA","S138",,"In 14290, near T/O to C1000 horn assembly",,
"ETA","S140",,"In 14290, near T/O to C1005 primary crash sensor",,
"ETA","S141",,"In 14290, in T/O to Ground G201",,
"ETA","S143",,"In 9D930, near T/O to C181 differential pressure feedback EGR sensor",,
"ETA","S144",,"In 14290, near T/O to engine compartment fuse box",,
