EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVK,4R44E Automatic Transmission,3.0L,7000,"Under center of vehicle, behind engine,LH side of automatic transm",C158,003,F9,,,,,,
EVK,5R55E Automatic Transmission,4.0L,7000,"Under center of vehicle, behind engine,LH side of automatic transmission",C158,004,D10,,,,,,
EVK,A/C Clutch Diode,3.0L,14A604,"Lower RH front of engine, taped in harness,near A/C compressor assembly",,002,F3,,,,,,
EVK,A/C Clutch Diode,4.0L,14A604,"Top LH front of engine, taped in harness,near A/C compressor assembly",,001,A5,,,,,,
EVK,A/C Clutch Field Coil,3.0L,19703,"Lower RH front of engine, part of A/C compressor assembly",C160,002,F4,,,,,,
EVK,A/C Clutch Field Coil,4.0L,19703,"Top LH front of engine, part of A/C compressor assembly",C160,001,A4,,,,,,
EVK,A/C WOT Cutout Relay,,N/A,In engine compartment relay box,C171,001,B10,,,,,,
EVK,A/C-Heater Control Assembly,,19980,Top center of I/P,C287,005,A7,,,,,,
EVK,A/C-Heater Control Illumination,,18541,"Behind top center of I/P, part of A/C-heater control assembly",C241,005,A6,,,,,,
EVK,Air Bag Diagnostic Monitor,,14B056,"Behind LH side of I/P, near top of cowl panel",C233,006,B1,,,,,,
EVK,Air Bag Diagnostic Monitor,,14B056,"Behind LH side of I/P, near top of cowl panel",C232,006,B1,,,,,,
EVK,Air Bag Safing Sensor,,14B007,Behind LH cowl panel,C263,008,E1,,,,,,
EVK,Ashtray Lamp,,13A726,"Behind lower center of I/P, in ashtray",C220,006,B10,,,,,,
EVK,Auxiliary A/C System Refrigerant Valve Solenoid,,19E653,"Behind LH ""B"" pillar, near auxiliary blower motor",C323,007,F4,,,,,,
EVK,Auxiliary Blower Motor,,18527,"Behind LH ""B"" pillar",C324,007,F3,,,,,,
EVK,Auxiliary Blower Motor Relay,,9845,"Behind LH ""B"" pillar, near auxiliary blower motor",C330,009,F2,,,,,,
EVK,Auxiliary Blower Motor Resistor Assembly,,19A706,"Behind LH ""B"" pillar, above auxiliary blower motor",C325,007,F6,,,,,,
EVK,Backup Lamps Relay,,13A435,"LH rear of cargo area, part of trailer tow relay module",C412,009,A7,,,,,,
EVK,Battery,,N/A,RH side of engine,,,,,,,,,
EVK,Blower Motor,,18527,Top RH side of safety wall,C272,001,B1,,,,,,
EVK,Blower Motor Resistor Assembly,,19A706,"Top RH side of safety wall, near blower motor",C273,001,A2,,,,,,
EVK,Blower Motor Switch,,18578,Top center of I/P,C270,005,A5,,,,,,
EVK,Brake Fluid Level Switch,,2K478,"LH rear of engine compartment, on brake master cylinder",C165,001,A9,,,,,,
EVK,Brake On/Off (BOO) Switch,,13480,"Behind LH side of I/P, on brake pedal support",C252,006,A3,,,,,,
EVK,Brake Warning Resistor/Diode Assembly,,14A601,"Behind LH side of I/P, taped to main harness, near G200",,,,,,,,,
EVK,Button Connectors,,14A568,In front of sliding door,C807,007,A7,,,,,,
EVK,Button Connectors,,14A568,In front of sliding door,C810,007,A7,,,,,,
EVK,Button Connectors,,14A658,"Rear of RH ""B"" pillar",C332,007,A5,,,,,,
EVK,Button Connectors,,14A658,"Rear of RH ""B"" pillar",C331,007,A5,,,,,,
EVK,Button Connectors,,14A658,"Rear of RH ""B"" pillar",C806,007,A5,,,,,,
EVK,Button Connectors,,14A658,"Rear of RH ""B"" pillar",C805,007,A5,,,,,,
EVK,Button Connectors,,14A568,In front of sliding door,C808,007,A7,,,,,,
EVK,Button Connectors,,14A568,In front of sliding door,C809,007,A7,,,,,,
EVK,Camshaft Position (CMP) Sensor,3.0L,N/A,Top rear of engine,C110,003,C10,,,,,,
EVK,Camshaft Position (CMP) Sensor,4.0L,N/A,Top rear of engine,C110,004,A10,,,,,,
EVK,Cargo Lamp,,13K706,Center rear of roof,C475,009,A9,,,,,,
