EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVK,C100,,"RH rear of engine compartment, near safety wall",002,A3,,,150,001,,42,,,
EVK,C101,3.0L,"Top center rear of engine, above front of transmission",003,F6,,,150,002,GY,8,,,
EVK,C101,4.0L,"Top center rear of engine, above front of transmission",004,C1,,,150,002,GY,8,,,
EVK,C103,,"RH rear of engine compartment, near safety wall",002,A2,,,150,002,,8,,,
EVK,C104,,"RH front of engine compartment, below air cleaner",002,C1,,,,,GY,4,,,
EVK,C105,,"RH front of engine compartment, below air cleaner",002,C1,,,,,BK,4,,,
EVK,C106,,"LH rear of engine compartment, behind battery",001,D10,,,,,BK,1,,,
EVK,C107,,"LH front of engine compartment, to center radiator crash sensor",001,F9,,,,,N,2,,,
EVK,C108,,"Near T/O a/c clutch field coil, on high pressure cutoff switch",001,A6,,,,,,4,,,
EVK,C109,3.0L,LH rear of engine compartment,003,F7,,,,,BK,16,,,
EVK,C109,4.0L,LH rear of engine compartment,004,F10,,,,,BK,16,,,
EVK,C110,3.0L,"Top rear of engine, on camshaft position (CMP) sensor",003,C10,,,,,,3,,,
EVK,C110,4.0L,"Top rear of engine, on camshaft position (CMP) sensor",004,A10,,,,,,,,,
EVK,C111,,"Center of LH fender apron, on starter relay",002,B10,,,,,,1,,,
EVK,C112,,"LH rear of engine compartment, on PCM inline fuse",001,C10,,,,,,2,,,
EVK,C113,,On overdrive drum speed sensor,004,E10,,,030,006,,2,,,
EVK,C114,,On output shaft speed sensor,004,D10,,,030,006,,2,,,
EVK,C120,,Top center front of engine,002,C1,,,,,,4,,,
EVK,C125,,"Top RH front of engine, on generator/voltage regulator",001,F5,,,012,002,GY,1,,,
EVK,C136,,"On top LH side of transfer case, on front axle speed sensor",008,C10,,,,,,3,,,
EVK,C137,DSS Test Connector,"LH rear of engine compartment, on safety wall",002,A5,,,,,BK,2,,,
EVK,C138,,"LH front corner of vehicle, on left front park/turn lamp",002,F10,,,,,BK,3,,,
EVK,C139,,"RH front corner of vehicle, on right front park/turn lamp",002,E1,,,,,BK,3,,,
EVK,C140,,"RH front of vehicle, on right headlamp",002,E1,,,,,BK,3,,,
EVK,C141,,"LH front of vehicle, on left headlamp",002,F8,,,,,BK,3,,,
EVK,C142,3.0L,"On LH side of engine, on EGR vacuum regulator (EVR) solenoid",003,B10,,,,,,2,,,
EVK,C142,4.0L,"On LH side of engine, on EGR vacuum regulator (EVR) solenoid",004,F6,,,,,,2,,,
EVK,C143,3.0L,"Top RH side of engine, on ignition coil",003,A6,,,,,BK,4,,,
EVK,C143,4.0L,"Top RH side of engine, on ignition coil",004,A6,,,,,BK,4,,,
EVK,C144,,"Lower LH front of engine compartment, on windshield washer pump motor",001,F8,,,,,BK,2,,,
EVK,C145,Tach Test Connector,"LH rear of engine compartment, taped to engine control sensor harness",002,A6,,,,,,1,,,
EVK,C146,3.0L,"Lower RH front of engine, on crankshaft position (CKP) sensor",003,A1,,,,,BK,2,,,
EVK,C146,4.0L,"Lower RH front of engine, on crankshaft position (CKP) sensor",004,A1,,,,,BK,2,,,
EVK,C147,,"On top RH side of transfer case, on transfer case clutch solenoid",008,A9,,,,,,2,,,
EVK,C148,3.0L,"Top LH front of engine, on differential pressure feedback EGR (DPFE) sensor",003,F8,,,,,,3,,,
EVK,C148,4.0L,"Top LH front of engine, on differential pressure feedback EGR (DPFE) sensor",004,F7,,,,,,3,,,
EVK,C149,3.0L,"Top center front of engine, on throttle position (TP) sensor",003,D1,,,,,BK,3,,,
