EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EVK,151,001,A10,C171,,CON,,
EVK,151,001,A10,Engine Compartment Relay Box,,COM,,
EVK,151,001,A2,C273,,CON,,
EVK,151,001,A2,Blower Motor Resistor Assembly,,COM,,
EVK,151,001,A4,C160,4.0L,CON,,
EVK,151,001,A4,A/C Clutch Field Coil,4.0L,COM,,
EVK,151,001,A5,A/C Clutch Diode,4.0L,COM,,
EVK,151,001,A6,C108,,CON,,
EVK,151,001,A6,High Pressure Cutoff Switch,4.0L,COM,,
EVK,151,001,A7,C151,,CON,,
EVK,151,001,A7,C152,,CON,,
EVK,151,001,A7,Windshield Wiper Motor,,COM,,
EVK,151,001,A8,C173,,CON,,
EVK,151,001,A8,Octane Adjust,,COM,,
EVK,151,001,A8,G103,,GRD,,
EVK,151,001,A9,C212,,CON,,
EVK,151,001,A9,C165,,CON,,
EVK,151,001,A9,Brake Fluid Level Switch,,COM,,
EVK,151,001,B1,C167,,CON,,
EVK,151,001,B1,Clutch Cycling Pressure Switch,,COM,,
EVK,151,001,B1,C272,,CON,,
EVK,151,001,B1,Blower Motor,,COM,,
EVK,151,001,B10,PCM Power Relay Diode,,COM,,
EVK,151,001,B10,PCM Power Relay,,COM,,
EVK,151,001,B10,Fuel Pump Relay,,COM,,
EVK,151,001,B10,A/C WOT Cutout Relay,,COM,,
EVK,151,001,C1,G100,,GRD,,
EVK,151,001,C10,C112,,CON,,
EVK,151,001,C10,PCM Inline Fuse,,COM,,
EVK,151,001,D1,High Pressure Cutoff Switch,3.0L,COM,,
EVK,151,001,D10,C106,,CON,,
EVK,151,001,D10,C197,,CON,,
EVK,151,001,D10,Speed Control Servo/Amplifier Assembly,,COM,,
EVK,151,001,F10,C159,,CON,,
EVK,151,001,F10,RABS Proportioning Valve Switch Assembly,,COM,,
EVK,151,001,F3,C156,,CON,,
EVK,151,001,F3,Low Pitch Horn,,COM,,
EVK,151,001,F4,C155,,CON,,
EVK,151,001,F4,High Pitch Horn,,COM,,
EVK,151,001,F5,C125,,CON,,
EVK,151,001,F5,C153,,CON,,
EVK,151,001,F5,C154,,CON,,
EVK,151,001,F5,Generator/Voltage Regulator,,COM,,
EVK,151,001,F6,Center Radiator Primary Crash Sensor,,COM,,
EVK,151,001,F7,G107,,GRD,,
EVK,151,001,F8,C144,,CON,,
EVK,151,001,F8,Windshield Washer Pump Motor,,COM,,
EVK,151,001,F9,C107,,CON,,
EVK,151,002,A1,C192,,CON,,
EVK,151,002,A1,Mass Air Flow (MAF) Sensor,,COM,,
EVK,151,002,A2,C103,,CON,,
EVK,151,002,A3,C100,,CON,,
EVK,151,002,A4,Fuse Link G,,COM,,
EVK,151,002,A5,C137,DSS Test Connector,CON,,
EVK,151,002,A5,DSS Test Connector,,COM,,
EVK,151,002,A6,C145,Tach Test Connector,CON,,
EVK,151,002,A6,Tach Test Connector,,COM,,
EVK,151,002,A7,C172,3.0L,CON,,
EVK,151,002,A7,Powertrain Control Module (PCM),3.0L,COM,,
EVK,151,002,A7,C172,4.0L,CON,,
EVK,151,002,A7,Powertrain Control Module (PCM),4.0L,COM,,
EVK,151,002,B10,Starter Relay,,COM,,
EVK,151,002,B10,C111,,CON,,
EVK,151,002,B10,C164,,CON,,
