EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVY,A/C Compressor Clutch,,2884,"Lower RH front of engine, on A/C compressor",C151,003,F3,,,,,,
EVY,A/C Condenser Fan Switch,,N/A,LH front of engine,C119,002,F6,,,,,,
EVY,A/C Evaporator De-icing Switch,,14A606,Center of I/P,C230,004,A6,,,,,,
EVY,A/C Evaporator De-icing Switch,,14A606,Center of I/P,C229,004,A6,,,,,,
EVY,A/C Pressure Cutoff Switch,,19D594,Lower LH front of engine compartment,C122,003,F8,,,,,,
EVY,A/C Relay,,19E594,Center rear of engine compartment,C150,001,A5,,,,,,
EVY,ABS Main Relay,,2C013,LH rear of engine compartment,C140,001,A9,,,042,005,,
EVY,Air Bag Diagnostic Module,,2C219,Behind front of console,C222,004,F7,,,046,004,,
EVY,Air Bag Diagnostic Module,,2C219,Behind front of console,C221,004,F7,,,046,004,,
EVY,Air Bag Safing Sensor,,14B007,Behind center of I/P,C252,005,A5,,,,,,
EVY,Air Bag Safing Sensor,,14B007,Behind center of I/P,C248,005,A5,,,,,,
EVY,Anti-lock Brake (ABS) Control Module,,2B373,Behind LH side of I/P,C220,005,E1,,,042,007,,
EVY,Anti-lock Brake (ABS) Control Module,,2B373,Behind LH side of I/P,C219,005,E1,,,042,006,,
EVY,Anti-lock Brake (ABS) Hydraulic Actuator Unit,,2C257,Lower LH front of engine compartment,C139,003,B10,,,042,005,,
EVY,Anti-lock Brake (ABS) Hydraulic Actuator Unit,,2C257,Lower LH front of engine compartment,C138,003,B10,,,042,005,,
EVY,Backup Lamp Switch,,15520,Top of transaxle,C171,002,A3,,,,,,
EVY,Battery,,N/A,LH front of engine compartment,C183,001,B10,,,,,,
EVY,Battery,,N/A,LH front of engine compartment,C182,001,B10,,,,,,
EVY,Blower Motor,,19805,Behind RH side of I/P,C231,004,E10,,,,,,
EVY,Blower Motor Relay,,19E703,LH front of engine compartment,C154,001,F9,,,,,,
EVY,Blower Motor Resistors,,19A706,Behind RH side of I/P,C232,004,F9,,,,,,
EVY,Brake Fluid Level Switch,,2L414,"LH rear of engine compartment, in brake fluid reservoir",C180,003,A9,,,,,,
EVY,Brake On/Off (BOO) Switch,,9A837,"Behind I/P, top of brake pedal",C211,005,F7,,,090,004,,
EVY,Canister Purge (CANP) Solenoid,,N/A,Top LH side of engine,C125,001,A7,,,,,,
EVY,Center Forward Crash Sensor,,14B006,Forward of radiator,C147,002,F5,,,,,,
EVY,Center Forward Crash Sensor,,14B006,Forward of radiator,C146,002,F5,,,,,,
EVY,Cigar Lighter,,15A044,Center of I/P,C218,005,A6,,,,,,
EVY,Clockspring Assembly,,N/A,Top of steering column,C246,005,B10,,,,,,
