EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EVY,054,002,A/C Compressor Clutch,,,
EVY,010,003,A/C Condenser Fan Switch,,,
EVY,023,004,A/C Condenser Fan Switch,,,
EVY,054,003,A/C Condenser Fan Switch,,,
EVY,054,002,A/C Evaporator De-icing Switch,,,
EVY,054,002,A/C Pressure Cutoff Switch,,,
EVY,013,005,A/C Relay,,,
EVY,013,008,A/C Relay,,,
EVY,054,002,A/C Relay,,,
EVY,010,002,ABS Main Relay,,,
EVY,013,004,ABS Main Relay,,,
EVY,013,008,ABS Main Relay,,,
EVY,042,001,ABS Main Relay,,,
EVY,010,004,Air Bag Diagnostic Module,,,
EVY,010,005,Air Bag Diagnostic Module,,,
EVY,013,004,Air Bag Diagnostic Module,,,
EVY,013,008,Air Bag Diagnostic Module,,,
EVY,046,001,Air Bag Diagnostic Module,,,
EVY,046,002,Air Bag Diagnostic Module,,,
EVY,046,003,Air Bag Diagnostic Module,,,
EVY,046,002,Air Bag Safing Sensor,,,
EVY,010,004,Anti-lock Brake (ABS) Control Module,,,
EVY,013,004,Anti-lock Brake (ABS) Control Module,,,
EVY,042,001,Anti-lock Brake (ABS) Control Module,,,
EVY,042,002,Anti-lock Brake (ABS) Control Module,,,
EVY,042,003,Anti-lock Brake (ABS) Control Module,,,
EVY,042,004,Anti-lock Brake (ABS) Control Module,,,
EVY,090,002,Anti-lock Brake (ABS) Control Module,,,
EVY,010,001,Anti-lock Brake (ABS) Hydraulic Actuator Unit,,,
EVY,042,002,Anti-lock Brake (ABS) Hydraulic Actuator Unit,,,
EVY,013,003,Backup Lamp Switch,,,
EVY,093,001,Backup Lamp Switch,,,
EVY,013,001,Battery,,,
EVY,020,001,Battery,,,
EVY,054,001,Blower Motor,,,
EVY,010,001,Blower Motor Relay,,,
EVY,013,005,Blower Motor Relay,,,
EVY,013,006,Blower Motor Relay,,,
EVY,054,001,Blower Motor Relay,,,
EVY,054,001,Blower Motor Resistors,,,
EVY,010,002,Brake Fluid Level Switch,,,
EVY,060,004,Brake Fluid Level Switch,,,
EVY,013,007,Brake On/Off (BOO) Switch,,,
EVY,023,004,Brake On/Off (BOO) Switch,,,
EVY,037,001,Brake On/Off (BOO) Switch,,,
EVY,042,001,Brake On/Off (BOO) Switch,,,
EVY,090,002,Brake On/Off (BOO) Switch,,,
EVY,023,002,Canister Purge (CANP) Solenoid,,,
EVY,046,003,Center Forward Crash Sensor,,,
EVY,010,001,Cigar Lighter,,,
EVY,013,004,Cigar Lighter,,,
EVY,044,001,Cigar Lighter,,,
EVY,044,001,Clockspring Assembly,,,
EVY,046,002,Clockspring Assembly,,,
EVY,010,002,Clutch Pedal Position (CPP) Switch #1,,,
EVY,023,007,Clutch Pedal Position (CPP) Switch #1,,,
EVY,020,001,Clutch Pedal Position (CPP) Switch #2,,,
EVY,010,002,Condenser Fan Motor,,,
EVY,054,003,Condenser Fan Motor,,,
EVY,013,005,Condenser Fan Relay,,,
EVY,013,008,Condenser Fan Relay,,,
EVY,054,003,Condenser Fan Relay,,,
EVY,010,003,Cooling Fan Motor,,,
EVY,033,001,Cooling Fan Motor,,,
EVY,013,004,Cooling Fan Relay,,,
EVY,013,008,Cooling Fan Relay,,,
EVY,033,001,Cooling Fan Relay,,,
EVY,010,005,Crankshaft Position (CKP) Sensor,,,
EVY,021,002,Crankshaft Position (CKP) Sensor,,,
EVY,010,005,Crankshaft Position (CKP) Sensor Shield,,,
EVY,021,002,Crankshaft Position (CKP) Sensor Shield,,,
EVY,012,001,Dash Fuse Box,,,
EVY,013,001,Dash Fuse Box,,,
EVY,013,002,Dash Fuse Box,,,
EVY,013,003,Dash Fuse Box,,,
EVY,013,004,Dash Fuse Box,,,
EVY,013,005,Dash Fuse Box,,,
EVY,013,006,Dash Fuse Box,,,
EVY,013,007,Dash Fuse Box,,,
EVY,021,001,Dash Fuse Box,,,
EVY,023,001,Dash Fuse Box,,,
EVY,023,004,Dash Fuse Box,,,
EVY,023,005,Dash Fuse Box,,,
EVY,033,001,Dash Fuse Box,,,
EVY,037,001,Dash Fuse Box,,,
EVY,042,001,Dash Fuse Box,,,
EVY,042,003,Dash Fuse Box,,,
EVY,044,001,Dash Fuse Box,,,
EVY,046,001,Dash Fuse Box,,,
EVY,054,001,Dash Fuse Box,,,
EVY,054,002,Dash Fuse Box,,,
EVY,054,003,Dash Fuse Box,,,
EVY,056,001,Dash Fuse Box,,,
EVY,060,001,Dash Fuse Box,,,
EVY,060,004,Dash Fuse Box,,,
EVY,066,001,Dash Fuse Box,,,
EVY,066,002,Dash Fuse Box,,,
EVY,071,001,Dash Fuse Box,,,
EVY,080,001,Dash Fuse Box,,,
EVY,081,001,Dash Fuse Box,,,
EVY,089,001,Dash Fuse Box,,,
EVY,090,001,Dash Fuse Box,,,
EVY,090,002,Dash Fuse Box,,,
EVY,092,001,Dash Fuse Box,,,
EVY,093,001,Dash Fuse Box,,,
EVY,097,001,Dash Fuse Box,,,
EVY,130,001,Dash Fuse Box,,,
EVY,010,001,Data Link Connector (DLC) #1,,,
EVY,021,001,Data Link Connector (DLC) #1,,,
EVY,023,002,Data Link Connector (DLC) #1,,,
EVY,023,004,Data Link Connector (DLC) #1,,,
EVY,023,005,Data Link Connector (DLC) #1,,,
EVY,042,003,Data Link Connector (DLC) #1,,,
EVY,044,001,Data Link Connector (DLC) #1,,,
EVY,046,001,Data Link Connector (DLC) #1,,,
EVY,010,002,Data Link Connector (DLC) #2,,,
EVY,010,005,Data Link Connector (DLC) #2,,,
EVY,013,006,Data Link Connector (DLC) #2,,,
EVY,023,005,Data Link Connector (DLC) #2,,,
EVY,013,005,Daytime Running Lamps (DRL) Relay,,,
EVY,097,001,Daytime Running Lamps (DRL) Relay,,,
