EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVY,C100,,On EGR valve position sensor,001,A3,,,,,BK,3,,,
EVY,C101,,Top LH side of engine,003,A3,,,150,001,BK,12,,,
EVY,C102,,On throttle position (TP) sensor,003,A5,,,,,GY,3,,,
EVY,C103,,On engine coolant temperature (ECT) sensor,001,A2,,,,,GY,2,,,
EVY,C104,,LH front of engine compartment,003,F9,,,150,001,BK,12,,,
EVY,C105,,LH front of engine compartment,003,F9,,,150,002,GY,12,,,
EVY,C106,,On EGR control solenoid,002,A6,,,,,BK,2,,,
EVY,C107,,On EGR vent solenoid,002,A7,,,,,BK,2,,,
EVY,C108,,Top RH side of engine,003,A2,,,,,BR,2,,,
EVY,C109,,LH front of engine compartment,003,E10,,,,,,5,,,
EVY,C110,,On mass air flow (MAF) sensor,003,B1,,,,,GY,3,,,
EVY,C111,,RH front of engine compartment,001,D1,,,,,,5,,,
EVY,C112,,On intake air temperature (IAT) sensor,003,C1,,,,,BK,2,,,
EVY,C113,,LH side of engine compartment,001,B10,,,023,011,BK,25,,,
EVY,C114,,On fuel injector No. 1,001,A4,,,,,GY,2,,,
EVY,C115,,On fuel injector No. 2,001,A4,,,,,GY,2,,,
EVY,C116,,On fuel injector No. 3,001,A4,,,,,GY,2,,,
EVY,C117,,On fuel injector No. 4,001,A4,,,,,GY,2,,,
EVY,C118,,On ignition control module (ICM),002,A10,,,021,002,GY,6,,,
EVY,C119,,On A/C condenser fan switch,002,F6,,,,,GY,2,,,
EVY,C120,,On ignition control module (ICM),002,A10,,,021,002,GY,3,,,
EVY,C122,,On A/C pressure cutoff switch,003,F8,,,,,N,3,,,
EVY,C123,,On idle switch,002,A5,,,,,GY,1,,,
EVY,C124,,On idle air control (IAC) valve,003,A7,,,,,GY,2,,,
EVY,C125,,On canister purge (CANP) solenoid,001,A7,,,,,BK,2,,,
EVY,C126,,On power steering pressure (PSP) switch,002,D1,,,,,W,1,,,
EVY,C127,,LH front of engine compartment,003,F9,,,,,GY,2,,,
EVY,C128,,LH front of engine compartment,003,F9,,,,,N,4,,,
EVY,C129,,On transmission range (TR) switch,003,F7,,,093,002,W,4,,,
EVY,C130,,On starter motor/solenoid,002,A1,,,,,BK,1,,,
EVY,C131,,On starter motor/solenoid,002,A1,,,,,BK,1,,,
EVY,C132,,On generator/voltage regulator,001,B1,,,,,GY,2,,,
EVY,C133,,On cooling fan relay,001,E10,,,,,N,4,,,
EVY,C134,,LH front of engine compartment,002,D10,,,,,GY,4,,,
EVY,C135,,On cooling fan motor,001,F6,,,,,BK,2,,,
EVY,C136,,"Lower RH front of engine, to oxygen sensor (O2S)",003,F4,,,,,BK,1,,,
EVY,C137,,On horn,001,F4,,,,,BK,1,,,
EVY,C138,,On anti-lock brake (ABS) hydraulic actuator unit,003,B10,,,042,005,GY,8,,,
EVY,C139,,On anti-lock brake (ABS) hydraulic actuator unit,003,B10,,,042,005,GY,2,,,
EVY,C140,,On ABS main relay,001,A9,,,042,005,W,8,,,
EVY,C141,,"RH side of engine compartment, to right front brake sensor",002,C1,,,,,BK,2,,,
EVY,C142,,"LH side of engine compartment, to left front brake sensor",002,C10,,,,,BK,2,,,
EVY,C143,,LH front of engine compartment,003,F9,,,,,BL,3,,,
EVY,C144,,"LH rear of engine compartment, to left forward crash sensor",001,A10,,,,,O,1,,,
EVY,C145,,"LH rear of engine compartment, to left forward crash sensor",001,A10,,,,,BL,1,,,
EVY,C146,,"RH side of engine compartment, to center forward crash sensor",002,B1,,,,,O,1,,,
EVY,C147,,"RH side of engine compartment, to center forward crash sensor",002,B1,,,,,BL,1,,,
EVY,C148,,"RH rear of engine compartment, to right forward crash sensor",001,A1,,,,,O,1,,,
EVY,C149,,"RH rear of engine compartment, to right forward crash sensor",001,A1,,,,,BL,1,,,
EVY,C150,,On A/C relay,001,A5,,,,,N,4,,,
EVY,C151,,To A/C compressor clutch,003,F3,,,,,W,1,,,
EVY,C152,,On condenser fan relay,003,A1,,,,,BL,4,,,
EVY,C153,,On condenser fan motor,001,F5,,,,,BK,2,,,
EVY,C154,,On blower motor relay,001,F9,,,,,BK,4,,,
EVY,C155,,On engine coolant temperature sender,002,A9,,,,,BK,1,,,
EVY,C156,,On engine oil pressure switch,002,A2,,,,,BK,1,,,
EVY,C157,,On parking lamps relay,003,D1,,,,,N,4,,,
EVY,C158,,On windshield washer pump,003,D10,,,,,N,2,,,
EVY,C159,,On headlamps relay,002,E10,,,,,BL,4,,,
EVY,C160,,On LH headlamp,001,F7,,,,,BK,3,,,
EVY,C161,,On RH headlamp,001,F3,,,,,BK,3,,,
EVY,C165,,On left front turn signal lamp,001,F8,,,,,GY,2,,,
EVY,C166,,On right front turn signal lamp,001,E1,,,,,BK,2,,,
EVY,C167,,On right front parking lamp,002,F3,,,,,GY,2,,,
EVY,C168,,On left front parking lamp,002,F8,,,,,GY,2,,,
EVY,C169,,On right front side marker lamp,001,C1,,,,,BL,2,,,
EVY,C170,,On left front side marker lamp,001,D10,,,,,BL,2,,,
EVY,C171,,On backup lamp switch,002,A3,,,,,BK,2,,,
EVY,C172,,On crankshaft position (CKP) sensor,002,F2,,,,,BK,3,,,
EVY,C173,,On daytime running lamps (DRL) resistor,001,A6,,,,,,3,,,
EVY,C175,,On kick down solenoid,003,F6,,,,,BL,1,,,
EVY,C176,,LH front of engine compartment,003,F9,,,,,O,1,,,
EVY,C178,,On park/neutral position switch,002,A4,,,,,BK,2,,,
EVY,C179,,On windshield wiper motor,001,A8,,,,,BK,4,,,
EVY,C180,,On brake fluid level switch,003,A9,,,,,BK,2,,,
EVY,C181,,On generator/voltage regulator,001,B1,,,,,,1,,,
EVY,C182,,On battery,001,B10,,,,,,1,,,
EVY,C183,,On battery,001,B10,,,,,,1,,,
EVY,C184,,On engine compartment fuse box,001,C10,,,,,,1,,,
EVY,C186,,"LR of engine compartment, on EGR boost sensor",003,A6,,,,,GY,3,,,
EVY,C188,,On rear heated oxygen sensor (HO2S),002,B1,,,,,BK,4,,,
EVY,C200,,On powertrain control module (PCM),004,E1,,,023,008,Y,26,,,
EVY,C201,,On powertrain control module (PCM),004,E1,,,023,009,Y,22,,,
EVY,C202,,On ignition switch,005,C10,,,149,002,BK,6,,,
EVY,C203,,On fuel pump relay,004,A1,,,023,012,N,6,,,
