EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EVY,151,001,A2,C103,,CON,,
EVY,151,001,A2,Engine Coolant Temperature (ECT) Sensor,,COM,,
EVY,151,001,A3,C100,,CON,,
EVY,151,001,A3,EGR Valve Position Sensor,,COM,,
EVY,151,001,A4,C114,,CON,,
EVY,151,001,A4,C115,,CON,,
EVY,151,001,A4,C116,,CON,,
EVY,151,001,A4,C117,,CON,,
EVY,151,001,A4,Fuel Injector No. 1,,COM,,
EVY,151,001,A5,C150,,CON,,
EVY,151,001,A5,A/C Relay,,COM,,
EVY,151,001,A6,C173,,CON,,
EVY,151,001,A6,Daytime Running Lamps (DRL) Resistor,,COM,,
EVY,151,001,A7,C125,,CON,,
EVY,151,001,A7,Canister Purge (CANP) Solenoid,,COM,,
EVY,151,001,A8,C179,,CON,,
EVY,151,001,A8,Windshield Wiper Motor,,COM,,
EVY,151,001,A9,C140,,CON,,
EVY,151,001,A9,ABS Main Relay,,COM,,
EVY,151,001,A10,C144,,CON,,
EVY,151,001,A10,C145,,CON,,
EVY,151,001,B10,C113,,CON,,
EVY,151,001,B10,Data Link Connector (DLC) #1,,COM,,
EVY,151,001,B10,C182,,CON,,
EVY,151,001,B10,C183,,CON,,
EVY,151,001,B10,Battery,,COM,,
EVY,151,001,C10,C184,,CON,,
EVY,151,001,C10,Engine Compartment Fuse Box,,COM,,
EVY,151,001,D10,C170,,CON,,
EVY,151,001,D10,Left Front Side Marker Lamp,,COM,,
EVY,151,001,E10,C133,,CON,,
EVY,151,001,E10,Cooling Fan Relay,,COM,,
EVY,151,001,F9,C154,,CON,,
EVY,151,001,F9,Blower Motor Relay,,COM,,
EVY,151,001,F8,C165,,CON,,
EVY,151,001,F8,Left Front Turn Signal Lamp,,COM,,
EVY,151,001,F7,C160,,CON,,
EVY,151,001,F7,LH Headlamp,,COM,,
EVY,151,001,F6,C135,,CON,,
EVY,151,001,F6,Cooling Fan Motor,,COM,,
EVY,151,001,F5,C153,,CON,,
EVY,151,001,F5,Condenser Fan Motor,,COM,,
EVY,151,001,F4,C137,,CON,,
EVY,151,001,F4,Horn,,COM,,
EVY,151,001,F3,C161,,CON,,
EVY,151,001,F3,RH Headlamp,,COM,,
EVY,151,001,E1,C166,,CON,,
EVY,151,001,E1,Right Front Turn Signal Lamp,,COM,,
EVY,151,001,D1,C111,,CON,,
EVY,151,001,D1,Joint Connector,,COM,,
EVY,151,001,D1,G101,,GRD,,
EVY,151,001,C1,C169,,CON,,
EVY,151,001,C1,Right Front Side Marker Lamp,,COM,,
EVY,151,001,B1,C132,,CON,,
EVY,151,001,B1,C181,,CON,,
EVY,151,001,B1,Generator/Voltage Regulator,,COM,,
EVY,151,001,A1,C148,,CON,,
EVY,151,001,A1,C149,,CON,,
EVY,151,002,A1,C130,,CON,,
EVY,151,002,A1,C131,,CON,,
EVY,151,002,A1,Starter Motor/Solenoid,,COM,,
EVY,151,002,A2,C156,,CON,,
EVY,151,002,A2,Engine Oil Pressure Switch,,COM,,
EVY,151,002,A3,C171,,CON,,
EVY,151,002,A3,Backup Lamp Switch,,COM,,
EVY,151,002,A4,C178,,CON,,
EVY,151,002,A4,Park/Neutral Position Switch,,COM,,
EVY,151,002,A5,C123,,CON,,
EVY,151,002,A5,Idle Switch,,COM,,
EVY,151,002,A6,C106,,CON,,
EVY,151,002,A6,EGR Control Solenoid,,COM,,
EVY,151,002,A7,C107,,CON,,
EVY,151,002,A7,EGR Vent Solenoid,,COM,,
EVY,151,002,A9,C155,,CON,,
EVY,151,002,A9,Engine Coolant Temperature Sender,,COM,,
EVY,151,002,A10,C118,,CON,,
EVY,151,002,A10,C120,,CON,,
EVY,151,002,A10,Ignition Control Module (ICM),,COM,,
EVY,151,002,B10,G100,,GRD,,
EVY,151,002,B10,G103,,GRD,,
EVY,151,002,C10,C142,,CON,,
EVY,151,002,C10,Left Front Brake Sensor,,COM,,
EVY,151,002,D10,C134,,CON,,
EVY,151,002,D10,Shorting Connector,,COM,,
EVY,151,002,E10,C159,,CON,,
EVY,151,002,E10,Headlamps Relay,,COM,,
EVY,151,002,F9,Left Forward Crash Sensor,,COM,,
EVY,151,002,F8,C168,,CON,,
EVY,151,002,F8,Left Front Parking Lamp,,COM,,
EVY,151,002,F6,C119,,CON,,
EVY,151,002,F6,A/C Condenser Fan Switch,,COM,,
EVY,151,002,F5,Center Forward Crash Sensor,,COM,,
EVY,151,002,F3,C167,,CON,,
EVY,151,002,F3,Right Front Parking Lamp,,COM,,
EVY,151,002,F2,C172,,CON,,
EVY,151,002,F2,Crankshaft Position (CKP) Sensor,,COM,,
EVY,151,002,E1,Right Forward Crash Sensor,,COM,,
EVY,151,002,D1,C126,,CON,,
EVY,151,002,D1,Power Steering Pressure (PSP) Switch,,COM,,
EVY,151,002,C1,C141,,CON,,
EVY,151,002,C1,Right Front Brake Sensor,,COM,,
EVY,151,002,B1,C146,,CON,,
EVY,151,002,B1,C147,,CON,,
EVY,151,002,B1,C188,,CON,,
EVY,151,002,B1,Rear Heated Oxygen Sensor (HO2S),,COM,,
EVY,151,003,A1,C152,,CON,,
EVY,151,003,A1,Condenser Fan Relay,,COM,,
EVY,151,003,A2,C108,,CON,,
EVY,151,003,A3,C101,,CON,,
EVY,151,003,A5,C102,,CON,,
EVY,151,003,A5,Throttle Position (TP) Sensor,,COM,,
EVY,151,003,A6,C186,,CON,,
EVY,151,003,A6,EGR Boost Sensor,,COM,,
EVY,151,003,A7,C124,,CON,,
EVY,151,003,A7,Idle Air Control (IAC) Valve,,COM,,
EVY,151,003,A9,C180,,CON,,
EVY,151,003,A9,Brake Fluid Level Switch,,COM,,
EVY,151,003,A10,G104,,GRD,,
EVY,151,003,B10,C138,,CON,,
EVY,151,003,B10,C139,,CON,,
