EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EVY,010,001,Heater-A/C Control Unit,,054,001,,,,,
EVY,010,001,Cigar Lighter,,044,001,,,,,
EVY,010,001,Instrument Panel Dimming Rheostat,,071,002,,,,,
EVY,010,001,Left Front Side Marker Lamp,,092,001,,,,,
EVY,010,001,Blower Motor Relay,,054,001,,,,,
EVY,010,001,Windshield Washer Pump,,080,001,,,,,
EVY,010,001,Windshield Washer Pump,,081,001,,,,,
EVY,010,001,Anti-Lock Brake (ABS) Hydraulic Actuator Unit,,042,002,,,,,
EVY,010,002,Main Relay,,023,001,,,,,
EVY,010,002,Warning Chime Module,,066,001,,,,,
EVY,010,002,Flasher Module,,090,001,,,,,
EVY,010,002,ABS Main Relay,,042,001,,,,,
EVY,010,002,Clutch Pedal Position (CPP) Switch #1,,023,007,,,,,
EVY,010,002,Brake Fluid Level Switch,,060,004,,,,,
EVY,010,002,Instrument Cluster,,060,003,,,,,
EVY,010,002,Multi-Function Switch,,071,001,,,,,
EVY,010,002,Multi-Function Switch,,085,001,,,,,
EVY,010,002,Multi-Function Switch,,090,001,,,,,
EVY,010,002,Multi-Function Switch,,092,001,,,,,
EVY,010,002,Data Link Connector (DLC) #2,,023,005,,,,,
EVY,010,002,Right Front Side Marker Lamp,,092,001,,,,,
EVY,010,002,Condenser Fan Motor,,054,003,,,,,
EVY,010,002,C111,,010,003,A,,,,
EVY,010,003,RH Headlamp,,085,001,,,,,
EVY,010,003,RH Headlamp,,085,002,,,,,
EVY,010,003,RH Headlamp,,097,001,,,,,
EVY,010,003,LH Headlamp,,085,001,,,,,
EVY,010,003,LH Headlamp,,085,002,,,,,
EVY,010,003,LH Headlamp,,097,001,,,,,
EVY,010,003,Left Front Turn Signal Lamp,,090,001,,,,,
EVY,010,003,A/C Condenser Fan Switch,,023,004,,,,,
EVY,010,003,Left Front Parking Lamp,,092,001,,,,,
EVY,010,003,Cooling Fan Motor,,033,001,,,,,
EVY,010,003,Right Front Turn Signal Lamp,,090,001,,,,,
EVY,010,003,Right Front Parking Lamp,,092,001,,,,,
EVY,010,003,Ignition Control Module (ICM) Shield,,021,001,,,,,
EVY,010,003,S143,,010,002,A,,,,
EVY,010,003,S235,,010,004,B,,,,
EVY,010,004,Anti-Lock Brake (ABS) Control Module,,042,002,,,,,
EVY,010,004,Air Bag Diagnostic Module,,046,001,,,,,
EVY,010,004,C111,,010,003,B,,,,
EVY,010,005,Ignition Control Module (ICM),,021,001,,,,,
EVY,010,005,Crankshaft Position (CKP) Sensor,,021,002,,,,,
EVY,010,005,Data Link Connector (DLC) #2,,023,005,,,,,
EVY,010,005,Mass Air Flow (MAF) Sensor,,023,004,,,,,
EVY,010,005,Powertrain Control Module (PCM),,023,004,,,,,
EVY,010,005,Park/Neutral Position Switch,,023,007,,,,,
EVY,010,005,Air Bag Diagnostic Module,,046,001,,,,,
EVY,010,005,Crankshaft Position (CKP) Sensor Shield,,021,002,,,,,
EVY,010,006,Rear Window Defroster,2 DOOR,056,001,,,,,
EVY,010,006,High Mount Stop Lamp,2 DOOR,090,002,,,,,
EVY,010,006,Left License Lamp,2 DOOR,092,002,,,,,
EVY,010,006,Right License Lamp,2 DOOR,092,002,,,,,
EVY,010,006,Fuel Pump/Fuel Gauge Sender,2 DOOR,023,002,,,,,
EVY,010,006,Rear Window Defroster Relay,2 DOOR,056,001,,,,,
EVY,010,006,Left Rear Lamp,2 DOOR,090,002,,,,,
EVY,010,006,Left Rear Lamp,2 DOOR,092,002,,,,,
EVY,010,006,Right Rear Lamp,2 DOOR,090,002,,,,,
EVY,010,006,Right Rear Lamp,2 DOOR,092,002,,,,,
EVY,010,006,Shift Lock Actuator,2 DOOR,037,001,,,,,
EVY,010,006,Seat Belt Switch,2 DOOR,066,002,,,,,
EVY,012,001,Starting System,,020,001,,,,,
EVY,012,001,Dash Fuse Box,,013,002,,,,,
EVY,012,001,Power Distribution,,013,003,,,,,
EVY,012,001,Instrument Cluster,,060,002,,,,,
EVY,012,001,Engine Compartment Fuse Box,,013,001,,,,,
EVY,012,001,Power Distribution,,013,008,,,,,
EVY,012,001,Power Distribution,,013,001,,,,,
EVY,013,001,Starter Motor/Solenoid,,020,001,,,,,
EVY,013,001,Generator/Voltage Regulator,,012,001,,,,,
EVY,013,001,Power Distribution,,013,008,,,,,
EVY,013,001,S241,,013,002,B,,,,
EVY,013,001,Power Distribution,,013,007,,,,,
EVY,013,001,Power Distribution,,013,006,,,,,
EVY,013,002,C127,,013,001,,,,,
EVY,013,002,Ignition Switch,,149,002,,,,,
EVY,013,002,Starting System,,020,001,,,,,
EVY,013,002,Ignition Control Module (ICM),,021,001,,,,,
EVY,013,002,Power Distribution,,013,005,,,,,
EVY,013,002,Power Distribution,,013,003,,,,,
EVY,013,002,Power Distribution,,013,004,,,,,
EVY,013,003,Dash Fuse Box,,013,002,,,,,
EVY,013,003,Instrument Cluster,,060,001,,,,,
EVY,013,003,Kick Down Switch,,037,001,,,,,
EVY,013,003,Shift Lock Actuator,2 DOOR,037,001,,,,,
EVY,013,003,Rear Window Defroster Switch,,056,001,,,,,
EVY,013,003,Warning Chime Module,,066,002,,,,,
EVY,013,003,Multi-Function Switch,,090,001,,,,,
EVY,013,003,Backup Lamp Switch,,093,001,,,,,
EVY,013,003,Transmission Range (TR) Switch,,093,001,,,,,
EVY,013,003,Rear Window Defroster Relay,2 DOOR,056,001,,,,,
EVY,013,003,Dash Fuse Box,,013,004,A,,,,
EVY,013,004,Dash Fuse Box,,013,002,,,,,
EVY,013,004,Main Relay,,021,001,,,,,
EVY,013,004,Cooling Fan Relay,,033,001,,,,,
EVY,013,004,ABS Main Relay,,042,001,,,,,
EVY,013,004,Anti-Lock Brake (ABS) Control Module,,042,001,,,,,
EVY,013,004,Air Bag Diagnostic Module,,046,001,,,,,
EVY,013,004,Cigar Lighter,,044,001,,,,,
EVY,013,004,Radio,,130,001,,,,,
EVY,013,005,Dash Fuse Box,,013,002,,,,,
EVY,013,005,A/C Relay,,054,002,,,,,
EVY,013,005,Heater-A/C Control Unit,,054,002,,,,,
EVY,013,005,Multi-Function Switch,,080,001,,,,,
EVY,013,005,Multi-Function Switch,,081,001,,,,,
EVY,013,005,Condenser Fan Relay,,054,003,,,,,
EVY,013,005,Windshield Wiper Motor,,080,001,,,,,
