EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVS,ABS Crank Relay,,N/A,On fuse panel,C254,5,C10,42,5,42,5,0,0
EVS,ABS Front Controller,,N/A,On center of front frame cross member,C145,7,E10,,,,,0,0
EVS,ABS Rear Controller,,N/A,"Over rear axle, attached to ABS module",C418,7,A3,,,,,0,0
EVS,ABS Warning Lamp Relay,,N/A,On fuse panel,C255,5,C10,42,5,42,5,0,0
EVS,Accelerator Switch,,N/A,Near accelerator pedal,C233,4,F5,,,,,0,0
EVS,Air Dryer,Tractor,2063,"Behind cab, on RH frame rail",C405,6,A4,,,,,0,0
EVS,Air Dryer,Truck,2063,"Behind cab, on LH frame rail",C405,6,A4,,,,,0,0
EVS,Air Pressure Gauge Illumination Lamp,,2573,Behind air pressure gauge,C239,5,A3,,,,,0,0
EVS,AM Radio,AM,19B132,Center of I/P,C247,4,A5,130,3,130,3,0,0
EVS,AM Radio,AM,19B132,Center of I/P,C248,4,A5,130,3,130,3,0,0
EVS,AM/FM Radio,AM/FM,19B159,Center of I/P,C247,4,A5,130,3,130,3,0,0
EVS,AM/FM Radio,AM/FM,19B159,Center of I/P,C248,4,A5,130,3,130,3,0,0
EVS,Anti-Lock Brakes System (ABS) Module,,N/A,On frame over rear axle,C419,7,A4,42,4,42,4,0,0
EVS,Backup Lamp Switch,Manual Transmission,15520,On transmission,C130,6,A6,,,,,0,0
EVS,Backup Lamp Switch,Non-MD Automatic Transmission,N/A,On transmission,,,,,,,,0,0
EVS,Battery,,N/A,"Behind cab, on RH frame rail",,,,,,,,0,0
EVS,Brake Low Air Pressure Buzzer,,N/A,Near fuse panel,C207,5,F9,,,,,0,0
EVS,Brake Low Air Pressure Buzzer,,N/A,Near fuse panel,C266,5,F9,,,,,0,0
EVS,Brake Low Air Pressure Warning Indicator Lamp,,N/A,On RH side of  I/P fuse panel,,,,,,,,0,0
EVS,Brake Low Air Warning Proveout Relay,,N/A,On Fuse Panel,C209,5,A8,65,8,65,8,0,0
EVS,Brake ON/OFF Switch,Tractor,13A631,"Rear of cab, on tractor brake valve assembly",,,,,,,,0,0
EVS,Brake ON/OFF Switch,Truck,13480,"Under cab, LH side",C235,1,A6,,,,,0,0
EVS,Brake ON/OFF Switch,Truck,13480,"Under cab, LH side",C264,1,A6,,,,,0,0
EVS,Brake ON/OFF Switch,Truck,13480,"Under cab, LH side",C236,1,A7,,,,,0,0
EVS,Brake ON/OFF Switch,Truck,13480,"Under cab, LH side",C263,1,A7,,,,,0,0
EVS,Cab Latch Warning Proveout Relay,,N/A,On fuse panel,C210,5,A9,65,8,65,8,0,0
EVS,Cab Latch Warning Switch,,11523,"Back of cab, RH side",C400,,,,,,,0,0
EVS,CB Radio Jack,,N/A,Behind center of I/P,,5,A5,,,,,0,0
EVS,Center Roof Marker Lamp,,N/A,In roof,C312,6,B10,,,,,0,0
EVS,Cigar Lighter,,15A055,Center of I/P,C222,4,A7,,,,,0,0
EVS,Cigar Lighter,,15A055,Center of I/P,C262,4,A7,,,,,0,0
EVS,Cigar Lighter Illumination,,15072,Behind cigar lighter,C243,4,A6,,,,,0,0
EVS,Data Link Connector,,N/A,"Rear of cab, behind passenger seat",C3005,2,A5,29,13,29,13,0,0
EVS,Daytime Running Lamps (DRL) Module,,15A272,"Under hood, RH side of dash",C223,1,A2,97,3,97,3,0,0
EVS,Differential Lockout Position Switch,,4126,"On RH frame rail, forward of forward axle",C413,6,F4,,,,,0,0
EVS,Differential Lockout Solenoid,,N/A,"On RH frame rail, forward of forward axle",C414,6,F3,,,,,0,0
EVS,Differential Lockout Switch,,N/A,Center of I/P,C250,4,F8,36,2,36,2,0,0
EVS,Dome Lamp/Switch,,13C730,Top of roof panel,C308,6,A7,,,,,0,0
EVS,Dome Lamp/Switch,,13C730,Top of roof panel,C328,6,A7,,,,,0,0
EVS,Dome Lamp/Switch,,13C730,Top of roof panel,C329,6,A7,,,,,0,0
EVS,Electronic Allison Transmission,,N/A,Below center of cab,C1031,2,D1,29,12,29,12,0,0
EVS,Electronic Control Unit,,N/A,"Rear of cab, behind passenger seat",C3001,2,A6,29,10,29,10,0,0
EVS,Electronic Control Unit,,N/A,"Rear of cab, behind passenger seat",C3002,2,A6,29,11,29,11,0,0
EVS,Engine Alarm/Shutdown Module,,9E280,"Under I/P, LH side of fuse panel",C206,4,B10,65,7,65,7,0,0
EVS,Engine Alarm/Shutdown Module,,9E280,"Under I/P, LH side of fuse panel",C261,4,B10,65,7,65,7,0,0
EVS,Engine Speed Sensor,,N/A,RH side of transmission,C1090,2,F5,,,,,0,0
EVS,Ether Valve,,N/A,"On dash panel, left of centerline",C141,6,F7,,,,,0,0
EVS,Exhaust Brake Clutch Switch,,11A152,"Under I/P, near clutch pedal",C234,4,F3,,,,,0,0
EVS,Exhaust Brake Control Switch,,15443,Behind center of I/P,C232,4,F9,39,2,39,2,0,0
EVS,Exhaust Brake Control Valve,,N/A,Top rear of engine,C129,3,D1,,,,,0,0
EVS,Exhaust Brake Disable Relay,,N/A,On fuse panel,C260,,,39,2,39,2,0,0
EVS,Exterior Lighting Relay,,N/A,On fuse panel,C229,5,A7,71,5,71,5,0,0
EVS,Fuel Filter Heater,,N/A,RH side of engine,C131,,,,,,,0,0
EVS,Fuel Filter Heater Relay,,N/A,On fuse panel,C211,,,23,4,23,4,0,0
EVS,Fuel Gauge,,N/A,LH side of I/P,,4,A4,,,,,0,0
EVS,Fuel Gauge Illumination Lamp,,N/A,Behind fuel gauge,C238,4,F4,,,,,0,0
EVS,Fuel Gauge Sender,,9275,Top of fuel tank,C412,7,F4,,,,,0,0
EVS,Fuel Shutoff Relay,,9P704,On fuse panel,C205,5,A7,23,4,23,4,0,0
EVS,Fuel Shutoff Solenoid,With Air Intake Heater,N/A,On RH side of engine,C158,,,,,,,0,0
EVS,Fuel Shutoff Solenoid,Without Air Intake Heater,9D278,On RH side of engine,C115,3,A5,,,,,0,0
EVS,Fuel Valve Solenoid,,N/A,On RH side of engine,C159,,,,,,,0,0
EVS,Fuse Link A,,14526,"Main harness, in T/O to junction block",,,,,,,,0,0
EVS,Fuse Link B,,14526,"Main harness, in T/O to junction block",,,,,,,,0,0
EVS,Fuse Link C,,14526,"Main harness, in T/O to junction block",,,,,,,,0,0
EVS,Fuse Link D,,N/A,"Starter Jumper harness, near starter",,,,,,,,0,0
EVS,Fuse Link E,,N/A,"Main harness, in T/O to junction block",,,,,,,,0,0
EVS,Fuse Link F,,N/A,"Starter Jumper harness, near starter",,,,,,,,0,0
EVS,Fuse Link M,,N/A,"Intake manifold preheater plug switch harness, near power contactor relay#1",,,,,,,,0,0
EVS,Fuse Link N,,N/A,"Intake manifold preheater plug switch harness, near power contactor relay#2",,,,,,,,0,0
EVS,Generator/Voltage Regulator,Delco 100 and 115 Amp,N/A,"On engine, RH side",,3,F7,,,,,0,0
EVS,Generator/Voltage Regulator,Motorcraft 95 Amp,N/A,"On engine, RH side",C106,3,F7,,,,,0,0
EVS,Generator/Voltage Regulator,Motorcraft 95 Amp,N/A,"On engine, RH side",C147,3,F7,,,,,0,0
EVS,Generator/Voltage Regulator,Prestolite 130 Amp,N/A,"On engine, RH side",,3,F7,,,,,0,0
EVS,Glow Plug,,N/A,RH side of engine compartment,,,,,,,,0,0
EVS,Grid Heater,,N/A,RH side of engine compartment,,,,,,,,0,0
EVS,Hazard Switch,,N/A,Center of I/P,C226,5,F7,90,3,90,3,0,0
EVS,Headlamp Switch,,11654,Left of steering column,C227,4,D1,85,2,85,2,0,0
EVS,Heater Blower Motor,,18527,"Under I/P, near center",C231,5,A6,,,,,0,0
EVS,Heater Blower Switch,,18578,Center of I/P,C253,4,D10,53,2,53,2,0,0
EVS,Heater Control Illumination Lamp,,N/A,Behind heater control,C242,5,F8,,,,,0,0
EVS,I/P Fuse Panel,,N/A,Under LH side of dash,,4,D10,,,,,0,0
EVS,Ignition Switch,,11572,On steering column,C200,4,F2,20,3,20,3,0,0
EVS,In-line Fuse,10 AMP,N/A,"Rear of engine, near starter motor",C1092,2,A3,,,,,0,0
EVS,In-line Fuse,15 AMP,14562,"Taped to harness, near ether valve",C140,,,,,,,0,0
EVS,Instrument Panel Rheostat,,13K752,Behind center of I/P,C237,4,E10,,,,,0,0
EVS,Intake Heater Module,,N/A,RH side of engine compartment,C156,,,23,4,23,4,0,0
EVS,Intake Heater Module,,N/A,RH side of engine compartment,C157,,,23,4,23,4,0,0
EVS,Junction Block,,14448,"Under hood, LH side",C107,,,,,,,0,0
EVS,Junction Block,,14448,"Under hood, LH side",C135,,,,,,,0,0
EVS,Left Center Roof Marker Lamp,,N/A,In roof,C311,6,B10,,,,,0,0
EVS,Left Roof Marker Lamp,,N/A,In roof,C310,6,A9,,,,,0,0
EVS,LH Courtesy Lamp Switch,,13713,On LH door pillar,C219,4,E1,,,,,0,0
EVS,LH Front Park/Turn And Hazard Signal Lamp,,13201,Near LH headlamp,C126,1,C10,,,,,0,0
EVS,LH Front Wheel Sensor,,2C204,"On LH frame, at front axle centerline",C143,7,F8,,,,,0,0
EVS,LH Front Wheel Sensor Shield,,N/A,"In wiring harness, between anti-lock brakes system (ABS) module and LH front wheel sensor",,,,,,,,0,0
EVS,LH Headlamp,,N/A,"Front of vehicle, on LH side",C120,1,D10,,,,,0,0
EVS,LH Rear Axle Sensor,,2C190,"On rear axle, near differential",C420,7,F3,,,,,0,0
EVS,LH Rear Axle Sensor Shield,,N/A,"In wiring harness, between LH rear axle sensor and anti-lock brakes system (ABS) module",,,,,,,,0,0
EVS,LH Rear Combination Lamp Assembly,,N/A,LH rear of vehicle,C403,6,A1,,,,,0,0
EVS,LH Side Marker Lamp,,N/A,Near LH fender,C124,1,F7,,,,,0,0
EVS,LH Speaker,,18808,"Rear of cab, on LH side",C323,,,,,,,0,0
EVS,LH Speaker,,18808,"Rear of cab, on LH side",C330,,,,,,,0,0
EVS,LH Turn Signal/Marker Lamp,,N/A,LH front of vehicle,C153,,,,,,,0,0
EVS,LH Warning Lamp Module,,N/A,"In I/P, on LH side",C204,4,B1,65,6,65,6,0,0
EVS,Low Air Pressure Switch,,18737,"Under cab, LH side",C305,1,A8,,,,,0,0
EVS,Low Air Pressure Switch,,18737,"Under cab, LH side",C330,1,A8,,,,,0,0
EVS,Low Coolant Level Sensor,,10D968,"Back of cab, RH side",C116,3,A3,,,,,0,0
EVS,Low Pitch Horn,,13833,"Under cab, RH side",C128,1,F3,,,,,0,0
EVS,Low Pitch Horn,,13833,"Under cab, RH side",C155,1,F3,,,,,0,0
EVS,Marker Lamps Relay,,N/A,On fuse panel,C230,5,E10,92,3,92,3,0,0
EVS,Multi-Function Switch,,13K359,On steering column,C225,5,F4,44,2,44,2,0,0
EVS,Neutral Start Switch,,N/A,On RH side of transmission,C133,,,,,,,0,0
EVS,Oil Pressure Gauge Illumination Lamp,,N/A,Behind oil pressure gauge,C245,5,F3,,,,,0,0
EVS,Oil Pressure Switch,FD 1060,9278,RH side of engine,,3,F8,,,,,0,0
EVS,Oil Pressure Switch,FD 1460,9278,RH side of engine,C163,3,C10,,,,,0,0
EVS,Output Speed Sensor,,N/A,RH side of transmission,C1091,2,E1,,,,,0,0
