EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EVS,010,001,Battery,,,
EVS,010,001,Air Dryer,Truck,,
EVS,010,001,Air Dryer,Tractor,,
EVS,010,001,Exhaust Brake Control Valve,,,
EVS,010,001,Fuel Filter Heater,,,
EVS,010,001,Fuel Gauge Sender,,,
EVS,010,001,Fuel Shutoff Solenoid,Without Air Intake Heater,,
EVS,010,001,Generator/Voltage Regulator,Motorcraft 95 Amp,,
EVS,010,001,Generator/Voltage Regulator,Delco 100 and 115 Amp,,
EVS,010,001,Generator/Voltage Regulator,Prestolite 130 Amp,,
EVS,010,001,Low Coolant Level Sensor,,,
EVS,010,001,Starter Motor Relay,Allison,,
EVS,010,001,Starter Motor Relay,FD 1060,,
EVS,010,001,Temperature Switch,,,
EVS,010,001,Water Temperature Indicator Sender,FD 1060,,
EVS,010,001,Water Temperature Indicator Sender,FD 1460,,
EVS,010,002,Differential Lockout Position Switch,,,
EVS,010,002,Differential Lockout Solenoid,,,
EVS,010,002,LH Front Park/Turn And Hazard Signal Lamp,,,
EVS,010,002,LH Headlamp,,,
EVS,010,002,LH Side Marker Lamp,,,
EVS,010,002,Trailer Adapter,,,
EVS,010,002,Two-speed Axle Selector Motor,,,
EVS,010,002,Wheel-To-Wheel Lockout Position Switch,Single Axle,,
EVS,010,002,Wheel-To-Wheel Lockout Position Switch,Tandem Axle,,
EVS,010,002,Wheel-To-Wheel Lockout Solenoid,,,
EVS,010,003,Air Pressure Gauge Illumination Lamp,,,
EVS,010,003,Center Roof Marker Lamp,,,
EVS,010,003,Dome Lamp/Switch,,,
EVS,010,003,Fuel Gauge,,,
EVS,010,003,Fuel Gauge Illumination Lamp,,,
EVS,010,003,Instrument Panel Rheostat,,,
EVS,010,003,Left Center Roof Marker Lamp,,,
EVS,010,003,Left Roof Marker Lamp,,,
EVS,010,003,LH Turn Signal/Marker Lamp,,,
EVS,010,003,LH Warning Lamp Module,,,
EVS,010,003,Oil Pressure Gauge Illumination Lamp,,,
EVS,010,003,RH Warning Lamp Module,,,
EVS,010,003,Right Center Roof Marker Lamp,,,
EVS,010,003,Right Roof Marker Lamp,,,
EVS,010,003,Speedometer,,,
EVS,010,003,Tachometer,,,
EVS,010,003,Voltmeter,,,
EVS,010,003,Voltmeter Illumination Lamp,,,
EVS,010,003,Water Temperature Gauge,,,
EVS,010,003,Water Temperature Gauge Illumination Lamp,,,
EVS,010,004,ABS Crank Relay,,,
EVS,010,004,Anti-lock Brakes System (ABS) Module,,,
EVS,010,004,Cab Latch Warning Switch,,,
EVS,010,004,CB Radio Jack,,,
EVS,010,004,Cigar Lighter,,,
EVS,010,004,Cigar Lighter Illumination,,,
EVS,010,004,Differential Lockout Switch,,,
EVS,010,004,Engine Alarm/Shutdown Module,,,
EVS,010,004,Exhaust Brake Control Switch,,,
EVS,010,004,Hazard Switch,,,
EVS,010,004,Heater Blower Motor,,,
EVS,010,004,Heater Blower Switch,,,
EVS,010,004,Heater Control Illumination Lamp,,,
EVS,010,004,Park Brake Signal Lamp Switch,,,
EVS,010,004,PRNDL Illumination,,,
EVS,010,004,AM Radio,AM,,
EVS,010,004,AM/FM Radio,AM/FM,,
EVS,010,004,Radio Filter,,,
EVS,010,004,Radio Relay,,,
EVS,010,004,Rear Axle Shift Control Switch,Automatic Transmission,,
EVS,010,004,RH Turn Signal Marker Lamp,,,
EVS,010,004,Roof Marker Lamps Blink Switch,,,
EVS,010,004,Wheel-To-Wheel Lockout Switch,,,
EVS,010,005,Brake Low Air Warning Proveout Relay,,,
EVS,010,005,Cab Latch Warning Proveout Relay,,,
EVS,010,005,Exterior Lighting Relay,,,
EVS,010,005,Fuel Filter Heater Relay,,,
EVS,010,005,Fuel Shutoff Relay,,,
EVS,010,005,Fuel Shutoff Solenoid,With Air Intake Heater,,
EVS,010,005,Intake Heater Module,,,
EVS,010,005,Low Pitch Horn,,,
EVS,010,005,Marker Lamps Relay,,,
