EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVS,C100,,At battery,,,,,,,BK,1,,,
EVS,C101,,At battery,,,,,,,BK,1,,,
EVS,C102,,Near starter motor,,,,,,,,2,,,
EVS,C106,,On engine RH side,3,F7,,,,,W,3,,,
EVS,C107,,"Under hood, LH side, at junction block",1,C10,,,,,,1,,,
EVS,C110,,"Under hood, RH side",1,A3,,,,,,2,,,
EVS,C114,,On transmission,6,F5,,,,,,2,,,
EVS,C115,Without Air Intake Heater,"On RH side of engine, at fuel shutoff solenoid",3,A5,,,,,,3,,,
EVS,C115,With Air Intake Heater,RH side of engine,,,,,,,,3,,,
EVS,C116,,"Back of cab, RH side, on low coolant level sensor",3,B1,,,,,,4,,,
EVS,C117,,On transmission,6,A5,,,,,,2,,,
EVS,C118,FD 1460,"On engine, near alternator",3,D1,,,,,,2,,,
EVS,C118,FD 1060,"On engine, near alternator",3,A7,,,,,,2,,,
EVS,C119,,Rear of engine,3,A4,,,,,,2,,,
EVS,C120,,"Front of vehicle, on LH side",1,D10,,,,,,3,,,
EVS,C121,,"Front of vehicle, on RH side",1,E1,,,,,,3,,,
EVS,C122,,LH front corner of cab,,,,,,,,2,,,
EVS,C123,,LH front corner of cab,,,,,,,,2,,,
EVS,C124,,Near LH fender,1,F7,,,,,,2,,,
EVS,C125,,Near RH fender,1,F4,,,,,,2,,,
EVS,C126,,Near LH headlamp,1,C10,,,,,,3,,,
EVS,C127,,Near RH headlamp,1,C1,,,,,,3,,,
EVS,C128,,"Under cab, RH side",1,F3,,,,,,2,,,
EVS,C129,,"Near LH frame side member, on exhaust brake solenoid",3,D1,,,,,,2,,,
EVS,C130,,On transmission,6,A6,,,,,,2,,,
EVS,C131,,RH side of engine,,,,,,,,2,,,
EVS,C132,,Under RH side of cab,1,A5,,,,,,2,,,
EVS,C133,,On RH side of transmission,,,,,,,,2,,,
EVS,C134,,On RH side of transmission,,,,,,,,2,,,
EVS,C135,,"Under hood, LH side, at negative junction block",1,C10,,,,,,1,,,
EVS,C140,,"Taped to harness, near ether valve",,,,,,,,2,,,
EVS,C141,,"On dash panel, left of centerline",6,F7,,,,,,2,,,
EVS,C142,,Top of engine in water manifold,6,F8,,,,,,2,,,
EVS,C143,,"On LH frame, at front center axle centerline",7,A8,,,,,,2,,,
EVS,C144,,"On RH frame, at front axle centerline",,,,,,,,2,,,
EVS,C145,,On center of front frame cross member,7,E10,,,,,,3,,,
EVS,C146,,LH rear of engine,,,,,,,,4,,,
EVS,C147,,On engine RH side,3,F7,,,,,,1,,,
EVS,C148,,Near alternator,,,,,,,,2,,,
EVS,C149,,Below automatic transmission shift selector,,,,,,,,4,,,
EVS,C152,,"On RH side of engine, near temperature sensor",,,,,,,,1,,,
EVS,C153,,At LH turn signal marker lamp,,,,,,,,2,,,
EVS,C154,,At LH turn signal marker lamp,,,,,,,,,,,
EVS,C155,,"Under cab, RH side",1,F3,,,,,,1,,,
EVS,C156,,RH side of engine compartment,,,23,5,23,5,,6,,,
EVS,C157,,RH side of engine compartment,,,,,,,,2,,,
EVS,C158,,On RH side of engine,,,,,,,,3,,,
EVS,C159,,On RH side of engine,,,,,,,,1,,,
EVS,C160,,"Under cab, RH side",,,,,,,,4,,,
EVS,C161,,"Under cab, RH side",,,,,,,,1,,,
EVS,C162,,"Under cab, RH side",,,,,,,,1,,,
EVS,C163,,On right side of engine,,,,,,,,2,,,
EVS,C164,,On right side of engine,,,,,,,,2,,,
EVS,C165,,"Underhood, RH side",1,A4,81,2,81,2,,,,,
EVS,C170,,N/A,,,,,,,,4,,,
EVS,C200,,On steering column,4,F2,20,3,20,3,,8,,,
EVS,C201,,On steering column,5,F5,81,2,81,2,,8,,,
EVS,C202,,On fuse panel,5,B10,81,2,81,2,,5,,,
EVS,C203,,"In I/P, on RH side",4,A3,65,6,65,6,,12,,,
EVS,C204,,"In I/P, on LH side",4,B1,65,6,65,6,,12,,,
EVS,C205,,On fuse panel,5,A7,23,4,23,4,,5,,,
EVS,C206,,"Under I/P, LH side of fuse panel",4,B10,65,7,65,7,,12,,,
EVS,C207,,Near fuse panel,5,F9,,,,,,2,,,
EVS,C208,,On fuse panel,5,C10,65,8,65,8,,5,,,
EVS,C209,,On fuse panel,5,A8,65,8,65,8,,5,,,
EVS,C210,,On fuse panel,5,A9,65,8,65,8,,5,,,
EVS,C211,,On fuse panel,,,23,5,23,5,,5,,,
EVS,C212,,Center of I/P,4,B1,60,2,60,2,,6,,,
EVS,C213,,Behind LH side of I/P,4,C1,150,1,150,1,,10,,,
EVS,C214,,LH side of I/P,5,A1,60,2,60,2,,6,,,
EVS,C217,,Behind LH side of I/P,4,A2,150,1,150,1,,10,,,
EVS,C219,,On LH door pillar,4,E1,,,,,,1,,,
EVS,C220,,On RH door pillar,4,A10,,,,,,1,,,
EVS,C221,,Behind LH side of I/P,5,F6,,,,,,2,,,
EVS,C222,,Center of I/P,4,A7,,,,,,2,,,
EVS,C223,,"Under hood, RH side of dash",1,A2,97,3,97,3,,8,,,
EVS,C224,,Near fuse panel,5,F10,,,,,,2,,,
EVS,C225,,On steering column,5,F4,44,2,44,2,,10,,,
EVS,C226,,Center of I/P,5,F7,90,3,90,3,W,5,,,
EVS,C227,,Left of steering column,4,D1,85,2,85,2,,6,,,
EVS,C228,,Center of I/P,5,A4,92,3,92,3,GN,4,,,
EVS,C229,,On fuse panel,5,A7,71,5,71,5,,5,,,
EVS,C230,,On fuse panel,5,E10,92,3,92,3,,5,,,
EVS,C231,,"Under I/P, near center, on heater blower motor",5,A6,,,,,,4,,,
EVS,C232,,Behind center of I/P,4,F9,39,2,39,2,BL,4,,,
EVS,C233,,Near accelerator pedal,4,F5,,,,,,2,,,
EVS,C234,,"Under I/P, near clutch pedal, on exhaust brake clutch switch",4,D1,,,,,,2,,,
EVS,C235,,"Under cab, LH side",1,A6,,,,,,2,,,
EVS,C236,,"Under cab, LH side",1,A7,,,,,,2,,,
EVS,C237,,"Behind center of I/P, near I/P rheostat",4,A4,,,,,,3,,,
EVS,C238,,Behind fuel gauge,4,F4,,,,,,1,,,
EVS,C239,,Behind air pressure gauge,5,A3,,,,,,1,,,
EVS,C240,,Behind voltmeter,4,F6,,,,,,1,,,
EVS,C241,,Center of I/P,4,F10,38,2,38,2,R,4,,,
EVS,C242,,Behind heater control,5,F8,,,,,,2,,,
EVS,C243,,Behind cigar lighter,4,A6,,,,,,2,,,
EVS,C244,,Behind water temperature gauge,5,B1,,,,,,1,,,
EVS,C245,,Behind oil pressure gauge,5,F3,,,,,,1,,,
EVS,C246,,On fuse panel,5,D10,130,4,130,4,,5,,,
EVS,C247,AM,Center of I/P,4,A5,130,3,130,3,,8,,,
EVS,C247,AM/FM,Center of I/P,4,A5,130,3,130,3,,8,,,
EVS,C248,AM,Center of I/P,4,A5,130,3,130,3,,8,,,
EVS,C248,AM/FM,Center of I/P,4,A5,130,3,130,3,,8,,,
EVS,C249,,Behind center of I/P,5,A5,,,,,,2,,,
EVS,C250,,Center of I/P,4,F8,36,2,36,2,Y,4,,,
EVS,C251,Automatic Transmission,Center of I/P,,,35,2,35,2,,5,,,
EVS,C252,,On fuse panel,5,D10,35,2,35,2,,5,,,
EVS,C253,,Center of I/P,4,D10,53,2,53,2,,6,,,
EVS,C254,,On fuse panel,5,C10,42,5,42,5,,5,,,
EVS,C255,,On fuse panel,5,C10,42,5,42,5,,5,,,
