EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EVS,G100,,Attached to flywheel housing,3,C1,,
EVS,G103,,RH frame sidemember,1,A9,,
EVS,G104,,Attached to starter motor relay mounting screw,3,F3,,
EVS,G107,,"External chassis harness, near T/O to C3000",,,,
EVS,G200,,"Attached to RH side of cab, under I/P",4,A8,,
EVS,G300,,Attached to RH side of frame rail,3,F5,,
EVS,G306,,"Chassis ground, near T/O to C3000",2,F6,,
EVS,G400,,Attached to RH frame sidemember,6,F3,,
EVS,G401,,Attached  to crossmember,6,C1,,
EVS,G402,,Attached to rear of cab,6,F6,,
EVS,G403,,Attached to ABS module housing,7,A5,,
