EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EVS,151,1,A1,C259,,CON,,
EVS,151,1,A2,C223,,CON,,
EVS,151,1,A2,Daytime Running Lamps (DRL) Module,,COM,,
EVS,151,1,A3,C110,,CON,,
EVS,151,1,A3,Windshield Washer Pump Motor,,COM,,
EVS,151,1,A4,C165,,CON,,
EVS,151,1,A4,Windshield Wiper Motor,,COM,,
EVS,151,1,A5,C132,,CON,,
EVS,151,1,A6,Brake ON/OFF Switch,Truck,COM,,
EVS,151,1,A6,C235,,CON,,
EVS,151,1,A6,C264,,CON,,
EVS,151,1,A7,C236,,CON,,
EVS,151,1,A7,C263,,CON,,
EVS,151,1,A7,Brake ON/OFF Switch,Truck,COM,,
EVS,151,1,A8,C305,,CON,,
EVS,151,1,A8,C330,,CON,,
EVS,151,1,A8,Low Air Pressure Switch,,COM,,
EVS,151,1,A9,G103,,GRD,,
EVS,151,1,C1,C127,,CON,,
EVS,151,1,C10,C107,,CON,,
EVS,151,1,C10,C135,,CON,,
EVS,151,1,C10,C322,,CON,,
EVS,151,1,C1,RH Front Park/Turn and Hazard Signal Lamp,,COM,,
EVS,151,1,C10,C126,,CON,,
EVS,151,1,C10,LH Front Park/Turn and Hazard Signal Lamp,,COM,,
EVS,151,1,D10,C120,,CON,,
EVS,151,1,D10,LH Headlamp,,COM,,
EVS,151,1,E1,C121,,CON,,
EVS,151,1,E1,RH Headlamp,,COM,,
EVS,151,1,F3,C128,,CON,,
EVS,151,1,F3,C155,,CON,,
EVS,151,1,F3,Low Pitch Horn,,COM,,
EVS,151,1,F4,C125,,CON,,
EVS,151,1,F4,C301,,CON,,
EVS,151,1,F4,RH Side Marker Lamp,,COM,,
EVS,151,1,F5,C300,,CON,,
EVS,151,1,F6,C302,,CON,,
EVS,151,1,F7,C124,,CON,,
EVS,151,1,F7,LH Side Marker Lamp,,COM,,
EVS,151,2,A3,C1092,,CON,,
EVS,151,2,A3,In-Line Fuse,10 AMP,COM,,
EVS,151,2,A4,C327,,CON,,
EVS,151,2,A4,C3006,,CON,,
EVS,151,2,A4,Vehicle Interface Module,,COM,,
EVS,151,2,A5,C3005,,CON,,
EVS,151,2,A5,Data Link Connector,,COM,,
EVS,151,2,A6,C3001,,CON,,
EVS,151,2,A6,C3002,,CON,,
EVS,151,2,A6,Electronic Control Unit,,COM,,
EVS,151,2,A7,C1010,,CON,,
EVS,151,2,A7,Remote Serial Interface,,COM,,
EVS,151,2,A8,C3004,,CON,,
EVS,151,2,A8,Vehicle Interface Connector,,COM,,
EVS,151,2,A9,C257,,CON,,
EVS,151,2,B1,C3003,,CON,,
EVS,151,2,B1,Throttle Position (TP) Sensor,,COM,,
EVS,151,2,D1,C1031,,CON,,
EVS,151,2,D1,Electronic Allison Transmission,,COM,,
EVS,151,2,E1,C1091,,CON,,
EVS,151,2,E1,Output Speed Sensor,,COM,,
EVS,151,2,F3,C306,,CON,,
EVS,151,2,F5,C1090,,CON,,
EVS,151,2,F5,Engine Speed Sensor,,COM,,
EVS,151,2,F6,G306,,GRD,,
EVS,151,2,F6,Starter Motor,Allison,COM,,
EVS,151,2,F8,Starter Motor Relay,Allison,COM,,
EVS,151,2,E10,C3000,,CON,,
EVS,151,3,A2,Water Temperature Indicator Switch,FD 1460,COM,,
EVS,151,3,A3,Low Coolant Level Sensor,,COM,,
EVS,151,3,A4,C119,,CON,,
EVS,151,3,A4,Tachometer Sensor,,COM,,
EVS,151,3,A5,C115,Without Air Intake Heater,CON,,
EVS,151,3,A5,Fuel Shutoff Solenoid,Without Air Intake Heater,COM,,
EVS,151,3,A7,C118,FD 1060,CON,,
EVS,151,3,A7,Water Temperature Indicator Sender,FD 1060,COM,,
EVS,151,3,A8,C325,,CON,,
EVS,151,3,A8,Rear Axle Shift Control Switch,Manual Transmission,COM,,
EVS,151,3,B1,C116,,CON,,
EVS,151,3,C1,G100,,GRD,,
EVS,151,3,C10,Oil Pressure Switch,FD 1460,COM,,
EVS,151,3,D1,C129,,CON,,
