EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EVS,010,001,Battery,,012,001,,,,,
EVS,010,001,Air Dryer,Truck,050,001,,,,,
EVS,010,001,Air Dryer,Tractor,050,001,,,,,
EVS,010,001,C135,,010,002,B,,,,
EVS,010,001,Exhaust Brake Control Valve,,039,001,,,,,
EVS,010,001,Fuel Filter Heater,,023,002,,,,,
EVS,010,001,Fuel Gauge Sender,,060,001,,,,,
EVS,010,001,Fuel Shutoff Solenoid,Without Air Intake Heater,023,001,,,,,
EVS,010,001,Generator/Voltage Regulator,Motorcraft 95 Amp,012,001,,,,,
EVS,010,001,Generator/Voltage Regulator,Prestolite 130 Amp,012,002,,,,,
EVS,010,001,Generator/Voltage Regulator,Delco 100 and 115 Amp,012,002,,,,,
EVS,010,001,Low Coolant Level Sensor,,065,002,,,,,
EVS,010,001,S114,,010,005,C,,,,
EVS,010,001,Starter Motor Relay,Allison,020,001,,,,,
EVS,010,001,Starter Motor Relay,FD 1060,020,001,,,,,
EVS,010,001,Temperature Switch,,020,002,,,,,
EVS,010,001,Water Temperature Indicator Sender,FD 1060,060,001,,,,,
EVS,010,001,Water Temperature Indicator Sender,FD 1460,060,001,,,,,
EVS,010,002,Differential Lockout Position Switch,,036,001,,,,,
EVS,010,002,Differential Lockout Solenoid,,036,001,,,,,
EVS,010,002,LH Front Park/Turn And Hazard Signal Lamp,,090,001,,,,,
EVS,010,002,LH Headlamp,,085,001,,,,,
EVS,010,002,LH Side Marker Lamp,,092,001,,,,,
EVS,010,002,S104,,010,001,B,,,,
EVS,010,002,S212,,010,004,A,,,,
EVS,010,002,Trailer Adapter,,095,002,,,,,
EVS,010,002,Two-speed Axle Selector Motor,,035,001,,,,,
EVS,010,002,Wheel-To-Wheel Lockout Position Switch,Tandem Axle,038,001,,,,,
EVS,010,002,Wheel-To-Wheel Lockout Position Switch,Single Axle,038,001,,,,,
EVS,010,002,Wheel-To-Wheel Lockout Solenoid,,038,001,,,,,
EVS,010,003,Air Pressure Gauge Illumination Lamp,,071,001,,,,,
EVS,010,003,Center Roof Marker Lamp,,092,002,,,,,
EVS,010,003,Dome Lamp/Switch,,089,001,,,,,
EVS,010,003,Fuel Gauge,,060,001,,,,,
EVS,010,003,Fuel Gauge Illumination Lamp,,071,001,,,,,
EVS,010,003,Instrument Panel Rheostat,,071,001,,,,,
EVS,010,003,Left Center Roof Marker Lamp,,092,002,,,,,
EVS,010,003,Left Roof Marker Lamp,,092,002,,,,,
EVS,010,003,LH Turn Signal/Marker Lamp,,090,001,,,,,
EVS,010,003,LH Warning Lamp Module,,065,005,,,,,
EVS,010,003,Oil Pressure Gauge Illumination Lamp,,071,002,,,,,
EVS,010,003,RH Warning Lamp Module,,065,005,,,,,
EVS,010,003,Right Center Roof Marker Lamp,,092,002,,,,,
EVS,010,003,Right Roof Marker Lamp,,092,002,,,,,
EVS,010,003,Speedometer,,071,001,,,,,
EVS,010,003,Tachometer,,071,002,,,,,
EVS,010,003,Voltmeter,,060,001,,,,,
EVS,010,003,Voltmeter Illumination Lamp,,071,001,,,,,
EVS,010,003,Water Temperature Gauge,,060,001,,,,,
EVS,010,003,Water Temperature Gauge Illumination Lamp,,071,002,,,,,
EVS,010,004,ABS Crank Relay,,042,001,,,,,
EVS,010,004,Anti-Lock Brakes System (ABS) Module,,042,001,,,,,
EVS,010,004,C135,,010,002,A,,,,
EVS,010,004,Cab Latch Warning Switch,,065,003,,,,,
EVS,010,004,CB Radio Jack,,130,001,,,,,
EVS,010,004,CB Radio Jack,,130,002,,,,,
EVS,010,004,Cigar Lighter,,044,001,,,,,
EVS,010,004,Cigar Lighter Illumination,,071,004,,,,,
EVS,010,004,Differential Lockout Switch,,071,003,,,,,
EVS,010,004,Engine Alarm/Shutdown Module,,065,001,,,,,
EVS,010,004,Exhaust Brake Control Switch,,071,004,,,,,
EVS,010,004,Hazard Switch,,090,001,,,,,
EVS,010,004,Heater Blower Motor,,053,001,,,,,
EVS,010,004,Heater Blower Switch,,071,004,,,,,
EVS,010,004,Heater Control Illumination Lamp,,071,004,,,,,
EVS,010,004,Park Brake Signal Lamp Switch,,065,004,,,,,
EVS,010,004,PRNDL Illumination,,071,004,,,,,
EVS,010,004,AM Radio,AM,130,001,,,,,
EVS,010,004,AM/FM Radio,AM/FM,130,002,,,,,
EVS,010,004,Radio Filter,,130,002,,,,,
EVS,010,004,Radio Relay,,130,001,,,,,
EVS,010,004,Rear Axle Shift Control Switch,Automatic Transmission,071,003,,,,,
EVS,010,004,RH Turn Signal Marker Lamp,,090,001,,,,,
EVS,010,004,Roof Marker Lamps Blink Switch,,092,002,,,,,
EVS,010,004,Wheel-To-Wheel Lockout Switch,,071,003,,,,,
EVS,010,005,Brake Low Air Warning Proveout Relay,,065,003,,,,,
EVS,010,005,Cab Latch Warning Proveout Relay,,065,003,,,,,
