EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVO,4x4 Hi/Low Indicator Switch,E4OD Transmission,7E440,"Below vehicle, on front of transfer case",C161,12,D1,,,,,0,0
EVO,4x4 Hi/Low Indicator Switch,Mazda M5OD Transmission,7E440,"Below vehicle, on front of transfer case",C161,15,D1,,,,,0,0
EVO,A/C Clutch Cycling Pressure Switch,5.8L,19E561,"RH rear of engine compartment, on accumulator",C162,2,A2,,,,,0,0
EVO,A/C Clutch Cycling Pressure Switch,7.3L Diesel,19E561,"RH rear of engine compartment, on accumulator",C162,7,B1,,,,,0,0
EVO,A/C Clutch Cycling Pressure Switch,7.5L,19E561,"RH rear of engine compartment, on accumulator",C162,5,A3,,,,,0,0
EVO,A/C Clutch Field Coil,5.8L,19703,LH front of engine,C163,2,F5,,,,,0,0
EVO,A/C Clutch Field Coil,7.3L Diesel,19703,LH front of engine,C163,7,F7,,,,,0,0
EVO,A/C Clutch Field Coil,7.5L,19703,LH front of engine,C163,5,F5,,,,,0,0
EVO,A/C Clutch Resistor Diode,5.8L,1N4003,"LH side of engine compartment, taped to harness, near C101 (27 ohms @ 5W)",,2,C10,,,,,0,0
EVO,A/C Clutch Resistor Diode,7.3L Diesel,1N4003,"LH front of engine, taped to harness, near A/C clutch field coil (27 ohms @ 5W)",,,,,,,,0,0
EVO,A/C Clutch Resistor Diode,7.5L,1N4003,"LH side of engine compartment, taped",,,,,,,,0,0
EVO,A/C High Pressure Cut Out Switch,5.8L,19D594,LH side of engine compartment,C126,2,A4,,,,,0,0
EVO,A/C High Pressure Cut Out Switch,7.3L Diesel,19D594,LH side of engine compartment,C126,6,A7,,,,,0,0
EVO,A/C High Pressure Cut Out Switch,7.5L,19D594,LH side of engine compartment,C126,4,F6,,,,,0,0
EVO,A/C-Heater Control Assembly,,19980,Center of I/P,C296,10,A2,,,,,0,0
EVO,Accelerator Pedal (AP) Position Sensor,7.3L Diesel,9B989,Under LH side of I/P,C2001,9,F5,,,,,0,0
EVO,Ambient Temperature Sensor,,19E702,RH front of engine compartment,C131,,,,,,,0,0
EVO,Ashtray Illumination,,15052,"Lower center of I/P, in ashtray assembly",C293,10,F5,,,,,0,0
EVO,Auxiliary Power Socket,,15055,Lower center of I/P,C234,10,F7,,,,,0,0
EVO,Auxiliary Powertrain Control Connector,,N/A,Behind center of I/P,C206,9,E1,,,,,0,0
EVO,Backup Lamp Switch,Mazda M5OD Transmission,15520,"Below center of vehicle, top LH side of transmission",C166,15,B1,,,,,0,0
EVO,Backup Lamp Switch,S5-42 ZF Transmission,15520,"Below center of vehicle, top LH side of transmission",C166,15,E1,,,,,0,0
EVO,Barometric Pressure (BARO) Sensor,7.3L Diesel,9F479,Below I/P at base of steering column,C2000,9,F5,,,,,0,0
