EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVO,C101,5.8L,"LH side of engine compartment, side of wheel well",1,C10,150,1,150,1,BK,42,,,
EVO,C101,7.5L,"LH side of engine compartment, side of wheel well",4,E10,150,1,150,1,BK,42,,,
EVO,C102,5.8L,"Near LH frame rail, below driver floor pan",2,A10,,,,,BK,2,,,
EVO,C102,7.3L Diesel,"Left rear of engine compartment, on brake pressure switch",7,A7,,,,,BK,2,,,
EVO,C103,5.8L,"LH side of engine compartment, top of wheel well",2,F6,150,2,150,2,BK,16,,,
EVO,C103,7.3L Diesel,"LH side of engine compartment, top of wheel well",,,150,2,150,2,BK,16,,,
EVO,C103,7.5L,"LH side of engine compartment, top of wheel well",5,B10,150,2,150,2,BK,16,,,
EVO,C104,,"LH side of engine compartment, side of wheel well",,,,,,,GY,4,,,
EVO,C105,5.8L,"LH side of engine compartment, top of wheel well",3,B10,,,,,BK,4,,,
EVO,C105,7.3L Diesel,N/A,,,,,,,,,,,
EVO,C105,7.5L,"LH side of engine compartment, top of wheel well",5,B10,,,,,BK,4,,,
EVO,C106,5.8L,"RH rear of engine compartment, near blower motor",2,B1,,,,,BK,4,,,
EVO,C106,7.3L Diesel,"RH rear of engine compartment, near blower motor",6,A1,,,,,BK,4,,,
EVO,C106,7.5L,"RH rear of engine compartment, near blower motor",5,A2,,,,,BK,4,,,
EVO,C107,,Rear center of engine compartment,1,A2,,,,,,2,,,
EVO,C108,200 Amp Alternator,"RH side of engine compartment, near starter relay",8,C10,150,2,150,2,GY,8,,,
EVO,C108,Diesel,"RH side of engine compartment, near starter relay",6,D1,150,2,150,2,GY,8,,,
EVO,C110,5.8L Under 8500 GVW,"LH side of engine compartment, top of wheel well",2,F6,150,3,150,3,BK,8,,,
EVO,C110,7.3L Diesel,"LH side of engine compartment, top of wheel well",,,150,3,150,3,BK,8,,,
EVO,C110,7.5L,"LH side of engine compartment, top of wheel well",5,A6,150,3,150,3,BK,8,,,
EVO,C111,,LH rear of engine compartment,,,,,,,BK,4,,,
EVO,C112,,"RH front of engine, on leece/neville alternator",8,F3,,,,,,,,,
EVO,C114,5.8L Under 8500 GVW California Except Super Duty,"Center front of engine, on timing chain cover",1,A4,,,,,,2,,,
EVO,C116,5.8L,"Lower RH side of engine, on starter solenoid",1,A1,,,,,,1,,,
EVO,C116,7.3L Diesel,"Lower RH side of engine, on starter solenoid",,,,,,,,1,,,
EVO,C116,7.5L,"Lower RH side of engine, on starter solenoid",4,A3,,,,,,1,,,
EVO,C117,E4OD Transmission,"Below center of vehicle, near LH rear of transmission",,,,,,,GY,4,,,
EVO,C117,Mazda M5OD Transmission,"Below center of vehicle, near LH rear of transmission",,,,,,,GY,4,,,
EVO,C117,S5-42 ZF Transmission,"Below center of vehicle, near LH rear of transmission",,,,,,,GY,4,,,
EVO,C118,,"RH front of engine, on leece/neville alternator",99,F3,,,,,BK,1,,,
EVO,C119,,"RH front of engine, on attenuator",99,A1,,,,,,1,,,
EVO,C126,5.8L,"LH side of engine compartment, on A/C high pressure cut out switch",2,A4,,,,,BK,4,,,
EVO,C126,7.3L Diesel,"LH side of engine compartment, on A/C high pressure cut out switch",6,A7,,,,,BK,4,,,
EVO,C126,7.5L,"LH side of engine compartment, on A/C high pressure cut out switch",4,F6,,,,,BK,4,,,
EVO,C128,,"LH side of engine compartment, on injector driver module",7,C10,28,11,28,11,BK,40,,,
EVO,C130,5.8L Except Chassis Cab,"Top center of safety wall, on mass air flow sensor.",1,D10,27,10,27,10,BK,6,,,
EVO,C130,7.5L Except Chassis Cab,"Top center of safety wall, on mass air flow sensor.",,,27,10,27,10,BK,6,,,
EVO,C131,,"RH front of engine compartment, on ambient temperature sensor",,,,,,,BK,2,,,
EVO,C135,5.8L,"Lower LH front of engine, on oil pressure switch",2,A3,,,,,BK,1,,,
EVO,C135,7.3L Diesel,"Top center rear of engine, on oil pressure switch",7,F2,,,,,BK,1,,,
EVO,C135,7.5L,"Top center rear of engine, on oil pressure switch",5,A5,,,,,BK,1,,,
EVO,C138,7.3L Diesel,"LH side of engine compartment, top of wheel well",7,A8,150,4,150,4,BK,42,,,
EVO,C139,5.8L,"RH front of engine compartment, behind battery",2,C1,,,,,BK,4,,,
EVO,C139,7.5L,"RH front of engine compartment, behind battery",5,C1,,,,,BK,4,,,
EVO,C143,5.8L,"LH rear of engine compartment, on bracket",3,A10,42,3,42,3,BK,2,,,
EVO,C143,7.3L Diesel,Behind lower center of I/P,6,A10,42,3,42,3,BK,3,,,
EVO,C143,7.5L,"LH rear of engine compartment, on bracket",4,B10,42,3,42,3,BK,2,,,
EVO,C144,,"Front of engine, on camshaft position sensor",6,F4,,,,,,2,,,
EVO,C145,,"RH side of engine, on exhaust back pressure sensor",6,D1,,,,,,3,,,
EVO,C146,,"Top LH side of engine, on injection control pressure sensor",7,A5,,,,,,3,,,
EVO,C149,5.8L,"LH side of engine compartment, top of wheel well",3,B9,,,,,GY,4,,,
EVO,C149,7.3L Diesel,N/A,,,,,,,,,,,
EVO,C149,7.5L,"LH side of engine compartment, top of wheel well",5,B10,,,,,GY,4,,,
EVO,C150,5.8L,"Top LH front of engine, on coolant temperature sender",3,C1,,,,,BK,1,,,
EVO,C150,7.3L Diesel,"Top LH front of engine, on coolant temperature sender",6,F5,,,,,BK,1,,,
EVO,C150,7.5L,"Top RH front of engine, on coolant temperature sender",5,A4,,,,,BK,1,,,
EVO,C151,,"Top LH side of safety wall, on windshield wiper motor",2,A5,81,2,81,2,,6,,,
EVO,C153,5.8L,"RH front of engine, on generator/voltage regulator",2,F5,,,,,BK,3,,,
EVO,C153,7.5L,"RH front of engine, on generator/voltage regulator",5,F4,,,,,BK,3,,,
EVO,C154,5.8L,"RH front of engine, on generator/voltage regulator",2,F5,,,,,BK,3,,,
EVO,C154,7.5L,"RH front of engine, on generator/voltage regulator",5,F5,,,,,BK,3,,,
EVO,C155,,"Top center of engine, on exhaust pressure regulator",6,A3,,,,,,2,,,
EVO,C156,,"Top center of engine, on injection pressure regulator",7,F5,,,,,,2,,,
EVO,C158,,"On LH frame rail, near RABS valve assembly",15,C1,,,,,BK,4,,,
EVO,C159,,"Behind RH side of I/P, near RABS module",9,E1,,,,,BK,1,,,
EVO,C161,E4OD Transmission,"Front of transfer case, near 4x4 hi/low indicator switch",12,D1,,,,,BK,2,,,
EVO,C161,Mazda M5OD Transmission,"Front of transfer case, near 4x4 hi/low indicator switch",15,D1,,,,,BK,2,,,
