EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EVO,010,001,C1030,5.8L,,
EVO,010,001,C1030,7.5L,,
EVO,010,001,C1031,,,
EVO,010,001,C1033,,,
EVO,010,001,C1035,,,
EVO,010,001,C1054,,,
EVO,010,001,C1055,,,
EVO,010,001,C151,,,
EVO,010,001,C158,,,
EVO,010,001,C170,5.8L,,
EVO,010,001,C170,7.5L,,
EVO,010,001,C173,,,
EVO,010,001,C202,,,
EVO,010,001,C205,,,
EVO,010,001,C250,,,
EVO,010,002,C105,5.8L,,
EVO,010,002,C105,7.5L,,
EVO,010,002,C202,,,
EVO,010,002,C205,,,
EVO,010,002,C205,,,
EVO,010,002,C401,,,
EVO,010,002,C440,,,
EVO,010,002,C441,"Except Chassis Cab and 185"" Wheel Base",,
EVO,010,002,C441,"Chassis Cab with 185"" Wheel Base",,
EVO,010,003,C1027,5.8L California Except Super Duty,,
EVO,010,003,C1027,7.3L Diesel 49 States or Super Duty,,
EVO,010,003,C1027,7.3L Diesel California Except Super Duty,,
EVO,010,003,C1027,7.5L California Except Super Duty,,
EVO,010,003,C1032,,,
EVO,010,003,C1034,,,
EVO,010,003,C1052,,,
EVO,010,003,C1053,,,
EVO,010,003,C130,5.8L Except Chassis Cab,,
EVO,010,003,C130,7.5L Except Chassis Cab,,
EVO,010,003,C185,5.8L 49 States or Super Duty,,
EVO,010,003,C185,7.5L 49 States or Super Duty,,
EVO,010,003,C202,,,
EVO,010,003,C227,,,
EVO,010,004,C101,5.8L,,
EVO,010,004,C101,7.5L,,
EVO,010,004,C1012,E4OD Transmission,,
EVO,010,004,C1025,5.8L California Except Super Duty,,
EVO,010,004,C1025,5.8L 49 States or Super Duty,,
EVO,010,004,C1025,7.5L California Except Super Duty,,
EVO,010,004,C1025,7.5L 49 States or Super Duty,,
EVO,010,004,C103,5.8L,,
EVO,010,004,C103,7.5L,,
EVO,010,004,C163,5.8L,,
EVO,010,004,C163,7.5L,,
EVO,010,005,C1010,,,
