EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EVO,G100,5.8L,"LH front of engine compartment, on upper radiator support",3,F8,,
EVO,G100,7.3L Diesel,"LH front of engine compartment, on upper radiator support",7,F8,,
EVO,G100,7.5L,"LH front of engine compartment, on upper radiator support",5,F6,,
EVO,G101,5.8L,"RH front of engine compartment, front of fender apron",2,D1,,
EVO,G101,7.3L Diesel,"RH front of engine compartment, on front of fender apron",7,D1,,
EVO,G101,7.5L,"RH front of engine compartment, on front of fender apron",5,D1,,
EVO,G103,5.8L,Lower RH front of engine,2,C1,,
EVO,G103,7.5L,Lower RH front of engine,5,B1,,
EVO,G104,5.8L,Rear of LH fender apron,2,A9,,
EVO,G104,7.3L Diesel,Rear of LH fender apron,7,A10,,
EVO,G104,7.5L,Rear of LH fender apron,5,A10,,
EVO,G106,,Lower RH front of engine,,,,
EVO,G107,,Lower LH front of engine,6,F7,,
EVO,G108,,N/A,,,,
EVO,G200,,Behind bottom of RH cowl panel,15,A3,,
EVO,G201,,Behind bottom of LH cowl panel,13,F4,,
EVO,G401,,"Under center rear of vehicle, on rear crossmember",14,B10,,
