EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EVO,151,001,A1,C116,5.8L,CON,,
EVO,151,001,A1,Starter Motor,5.8L,COM,,
EVO,151,001,A1,Starter Solenoid,5.8L,COM,,
EVO,151,001,A10,C198,5.8L Over 8500 GVW 49 States or Super Duty,CON,,
EVO,151,001,A10,VIP Data Link Connector (DLC),5.8L Over 8500 GVW 49 States or Super Duty,COM,,
EVO,151,001,A2,C107,,CON,,
EVO,151,001,A2,Vapor Management Valve,,COM,,
EVO,151,001,A3,C1011,5.8L Over 8500 GVW 49 States or Super Duty,CON,,
EVO,151,001,A3,Manifold Absolute Pressure (MAP) Sensor,5.8L Chassis Cab,COM,,
EVO,151,001,A4,C114,5.8L under 8500 GVW California Except Super Duty,CON,,
EVO,151,001,A4,Misfire Sensor,5.8L Except Chassis Cab,COM,,
EVO,151,001,A6,C180,5.8L,CON,,
EVO,151,001,A6,EGR Control Solenoid,5.8L,COM,,
EVO,151,001,A7,C1008,5.8L,CON,,
EVO,151,001,A7,Ignition Coil,5.8L,COM,,
EVO,151,001,A8,C1017,5.8L,CON,,
EVO,151,001,A8,Radio Capacitor,5.8L,COM,,
EVO,151,001,B10,C1021,5.8L,CON,,
EVO,151,001,B10,C199,5.8L Over 8500 GVW 49 States or Super Duty,CON,,
EVO,151,001,B10,Ignition Control Module (ICM),5.8L,COM,,
EVO,151,001,B10,VIP Data Link Connector (DLC),5.8L Over 8500 GVW 49 States or Super Duty,COM,,
EVO,151,001,C10,C101,5.8L,CON,,
EVO,151,001,C10,C1027,5.8L California Except Super Duty,CON,,
EVO,151,001,C10,C185,5.8L 49 States or Super Duty,CON,,
EVO,151,001,C10,Powertrain Control Module (PCM),5.8L 49 States or Super Duty,COM,,
EVO,151,001,C10,Powertrain Control Module (PCM),5.8L California Except Super Duty,COM,,
EVO,151,001,D1,C182,5.8L 49 States or Super Duty,CON,,
EVO,151,001,D1,Delta Pressure Feedback EGR (DPFE) Sensor,5.8L California Except Super Duty,COM,,
EVO,151,001,D1,Starter Relay,5.8L,COM,,
EVO,151,001,D10,C130,5.8L Except Chassis Cab,CON,,
EVO,151,001,D10,C164,5.8L,CON,,
EVO,151,001,D10,Intake Air Temperature (IAT) Sensor,5.8L,COM,,
EVO,151,001,D10,Mass Air Flow (MAF) Sensor,5.8L Except Chassis Cab,COM,,
EVO,151,001,E1,C1003,5.8L,CON,,
EVO,151,001,E9,C1016,,CON,,
EVO,151,001,F3,C1024,,CON,,
EVO,151,001,F3,Throttle Position (TP) Sensor,5.8L,COM,,
EVO,151,001,F4,C183,5.8L,CON,,
EVO,151,001,F4,Engine Coolant Temperature (ECT) Sensor,5.8L,COM,,
EVO,151,001,F6,C1007,5.8L,CON,,
EVO,151,001,F6,Idle Air Control (IAC) Valve,5.8L,COM,,
EVO,151,001,F7,C190,5.8L,CON,,
EVO,151,001,F7,C191,5.8L,CON,,
EVO,151,001,F7,C192,5.8L,CON,,
EVO,151,001,F7,C193,5.8L,CON,,
EVO,151,001,F7,C194,5.8L,CON,,
EVO,151,001,F7,C195,5.8L,CON,,
EVO,151,001,F7,C196,5.8L,CON,,
EVO,151,001,F7,C197,5.8L,CON,,
EVO,151,001,F7,Fuel Injector #1,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #2,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #3,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #4,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #5,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #6,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #7,5.8L,COM,,
EVO,151,001,F7,Fuel Injector #8,5.8L,COM,,
EVO,151,001,F8,C178,5.8L,CON,,
EVO,151,001,F9,Distributor,5.8L,COM,,
EVO,151,010,A2,A/C-Heater Control Assembly,,COM,,
EVO,151,010,A2,C296,With A/C,CON,,
EVO,151,010,A2,C296,Without A/C,CON,,
EVO,151,010,A2,Heater Control Assembly,,COM,,
EVO,151,010,A3,C298,,CON,,
EVO,151,010,A3,Heater Control Illumination,,COM,,
EVO,151,010,A4,Blower Motor Switch,,COM,,
EVO,151,010,A4,C260,,CON,,
EVO,151,010,A5,C212,,CON,,
EVO,151,010,A5,Premium Sound Amplifier,,COM,,
EVO,151,010,A6,C236,,CON,,
EVO,151,010,A6,Shift Lock Actuator,,COM,,
EVO,151,010,A9,Speed Control/Horn Switch Assembly,,COM,,
EVO,151,010,B1,C292,,CON,,
EVO,151,010,B1,Glove Compartment Lamp,,COM,,
EVO,151,010,B10,C230,,CON,,
EVO,151,010,B10,C231,,CON,,
EVO,151,010,B10,Multi-function Switch,,COM,,
EVO,151,010,B10,Multi-function Switch,,COM,,
EVO,151,010,C10,C275,,CON,,
EVO,151,010,C10,Transmission Control Switch (TCS),,COM,,
EVO,151,010,D10,C207,,CON,,
EVO,151,010,D10,C268,Diesel,CON,,
EVO,151,010,D10,C268,Gasoline,CON,,
EVO,151,010,D10,Fuel Tank Selector Switch,Diesel,COM,,
EVO,151,010,D10,Fuel Tank Selector Switch,Gasoline,COM,,
EVO,151,010,D10,Fuse Panel,,COM,,
EVO,151,010,E1,C232,,CON,,
