EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EVO,010,001,Brake Fluid Level Switch,5.8L,042,001,,,,,
EVO,010,001,Brake Fluid Level Switch,7.3L Diesel,042,001,,,,,
EVO,010,001,Brake Fluid Level Switch,7.5L,042,001,,,,,
EVO,010,001,Brake Fluid Level Switch,7.3L Diesel,060,005,,,,,
EVO,010,001,C101,5.8L,010,004,A,,,,
EVO,010,001,C101,7.5L,010,004,A,,,,
EVO,010,001,C103,5.8L,010,004,B,,,,
EVO,010,001,C103,7.5L,010,004,B,,,,
EVO,010,001,Engine Compartment Fuse Box,,013,002,,,,,
EVO,010,001,Engine Compartment Fuse Box,,013,005,,,,,
EVO,010,001,Engine Compartment Lamp,,089,005,,,,,
EVO,010,001,Engine Compartment Lamp,,092,004,,,,,
EVO,010,001,Engine Compartment Lamp,,111,005,,,,,
EVO,010,001,Instrument Cluster,,060,005,,,,,
EVO,010,001,Left Front Park/Turn Lamp,,090,001,,,,,
EVO,010,001,Left Front Park/Turn Lamp,,092,001,,,,,
EVO,010,001,Left Front Side Marker Lamp,,092,001,,,,,
EVO,010,001,Left Front Side Marker Lamp,,092,001,,,,,
EVO,010,001,Left Headlamp,,085,001,,,,,
EVO,010,001,Left Headlamp,,097,001,,,,,
EVO,010,001,RABS Valve Assembly,,042,002,,,,,
EVO,010,001,Windshield Washer Pump Motor,5.8L,081,001,,,,,
EVO,010,001,Windshield Washer Pump Motor,7.3L Diesel,081,001,,,,,
EVO,010,001,Windshield Washer Pump Motor,7.5L,081,001,,,,,
EVO,010,001,Windshield Wiper Motor,,081,001,,,,,
EVO,010,002,Front Tank Fuel Pump/Fuel Gauge Sender,,049,002,,,,,
EVO,010,002,Rear Tank Fuel Pump/Fuel Gauge Sender,"Gasoline Engines Except Chassis Cab with 185"" Wheel Base",049,002,,,,,
EVO,010,002,Rear Tank Fuel Pump/Fuel Gauge Sender,"Chassis Cab with 185"" Wheel Base",049,002,,,,,
EVO,010,002,S404,With Flare Side,010,007,C,,,,
EVO,010,002,Trailer Relay Box,,095,002,,,,,
EVO,010,003,Mass Air Flow (MAF) Sensor,5.8L Except Chassis Cab,027,001,,,,,
EVO,010,003,Mass Air Flow (MAF) Sensor,7.5L Except Chassis Cab,027,001,,,,,
