EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EVO,S100,,"Engine control sensor harness, near T/O to right front park/turn lamp",,
EVO,S101,,"Engine control sensor harness, near T/O to engine compartment fuse box",,
EVO,S102,,"Engine control sensor harness, near T/O to brake warning resistor/diode assembly",,
EVO,S103,,"Engine control sensor harness, near T/O to left front park/turn lamp",,
EVO,S104,,"Trailer battery feed harness, near T/O to trailer relay box",,
EVO,S105,,"Engine control sensor harness, near T/O to engine compartment fuse box (Cavity #70)",,
EVO,S106,Diesel Engine,"Engine control sensor harness, near T/O to G100",,
EVO,S106,Gasoline Engines,"Engine control sensor harness, near T/O to G101",,
EVO,S108,,"Engine control sensor harness, near T/O to brake warning resistor/diode assembly",,
EVO,S109,Diesel Engine,"Engine control sensor harness, in T/O to C111",,
EVO,S109,Gasoline Engines,"Engine control sensor harness, in T/O to C105",,
EVO,S110,,"Engine control sensor harness, near T/O to right front park/turn lamp",,
EVO,S111,,In 7.3L diesel engine PIA harness,,
EVO,S112,,In 7.3L diesel engine PIA harness,,
EVO,S113,,In 7.3L diesel engine PIA harness,,
EVO,S114,,"Engine control sensor harness, near T/O to brake warning resistor/diode assembly",,
EVO,S115,,"Engine control sensor harness, near T/O to left headlamp",,
EVO,S116,,"Engine control sensor harness, near T/O to C103",,
EVO,S117,,"Engine control sensor harness, near T/O to left headlamp",,
EVO,S118,,"Engine control sensor harness, near T/O to left headlamp",,
EVO,S121,,"Engine control sensor harness, near T/O to LH headlamp",,
EVO,S122,,"Engine control sensor harness, near T/O to powertrain control module",,
EVO,S123,,"Engine control sensor harness, in T/O to engine compartment fuse panel box",,
EVO,S124,,"Backup lamp switch to rear lamp feed harness, in T/O to 4R70W transmission",,
EVO,S125,,"Engine control sensor harness, near T/O to G104",,
EVO,S126,,"Engine control sensor harness, near T/O to engine compartment fuse box",,
EVO,S127,,"Engine control sensor harness, near T/O to C108",,
EVO,S128,,"PIA harness, in T/O to fuel line heater",,
EVO,S129,,"PIA harness, in T/O to ECT sensor",,
EVO,S130,,"PIA harness, in T/O to ECT sensor",,
EVO,S131,,"PIA harness, in T/O to EBP sensor",,
EVO,S132,,"PIA harness, in T/O to EBP sensor",,
EVO,S133,,"PIA harness, in T/O to EBP sensor",,
