EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVR,A/C and Heater Controls Illumination Lamp,,N/A,Behind heater controls,C247,9,F7,,,,,,
EVR,A/C Blower Switch,,18502,RH side of I/P,C254,9,F6,54,7,,,,
EVR,A/C Clutch Cycling Pressure Switch,,19E561,"In engine compartment, RH side of dash panel",C148,,,,,,,,
EVR,A/C Clutch Solenoid,FD 1060,2884,On compressor,C150,,,,,,,,
EVR,A/C Clutch Solenoid,FD 1460,2884,On compressor,C150,7,C1,,,,,,
EVR,A/C High Pressure Switch,,19E561,"In engine compartment, near A/C compressor",C165,7,E1,,,,,,
EVR,A/C Proveout Relay,,19D371,Taped to harness near A/C evaporator thermostat,C152,9,A3,54,7,,,,
EVR,ABS Crank Relay,,N/A,"Behind RH side of I/P, forward of circuit breaker panel",C286,9,A9,42,7,,,,
EVR,ABS Data Link Connector,Dual Axle,N/A,"Inside rear cab floor, behind passenger seat",C332,20,F5,,,,,,
EVR,ABS Data Link Connector,Single Axle,N/A,"Inside rear cab floor, behind passenger seat",C332,18,A2,,,,,,
EVR,ABS Front Controller,,N/A,On center of front frame crossmember,C173,17,E10,,,,,,
EVR,ABS Rear Controller,,N/A,On frame over rear axle,C1186,18,A1,,,,,,
EVR,ABS Warning Lamp Relay,,14N089,"Behind RH side of I/P, forward of circuit breaker panel",C285,9,A8,42,7,,,,
EVR,AC Electrical Outlet,,N/A,RH front of engine compartment,C105,,,,,,,,
EVR,Accessory Relay,,N/A,"Behind I/P, right of cluster",C231,10,A9,13,20,,,,
EVR,Accessory Safety Relay,,N/A,On fuse panel,C201,,,,,,,,
EVR,Air Compressor Module,,N/A,Under passenger seat,C327,17,F4,,,,,,
EVR,Air Compressor Relay,,19E703,Taped to harness near air compressor module,C326,17,F3,53,5,,,,
EVR,Air Dryer,,2063,On LH side member,C321,,,,,,,,
