EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EVR,010,003,A/C and Heater Controls Illumination Lamp,,,
EVR,071,001,A/C and Heater Controls Illumination Lamp,,,
EVR,054,003,A/C Blower Switch,,,
EVR,054,002,A/C Clutch Cycling Pressure Switch,,,
EVR,065,007,A/C Clutch Cycling Pressure Switch,,,
EVR,054,002,A/C Clutch Solenoid,FD 1060,,
EVR,054,002,A/C Clutch Solenoid,FD 1460,,
EVR,065,007,A/C Clutch Solenoid,FD 1060,,
EVR,065,007,A/C Clutch Solenoid,FD 1460,,
EVR,010,001,A/C High Pressure Switch,,,
EVR,033,001,A/C High Pressure Switch,,,
EVR,054,003,A/C High Pressure Switch,,,
EVR,013,005,A/C Proveout Relay,,,
EVR,053,002,A/C Proveout Relay,,,
EVR,054,002,A/C Proveout Relay,,,
EVR,065,007,A/C Proveout Relay,,,
EVR,010,004,ABS Crank Relay,,,
EVR,013,008,ABS Crank Relay,,,
EVR,042,001,ABS Crank Relay,,,
EVR,048,003,ABS Crank Relay,,,
EVR,042,001,ABS Data Link Connector,Dual Axle,,
EVR,042,001,ABS Data Link Connector,Single Axle,,
EVR,042,002,ABS Front Controller,,,
EVR,042,002,ABS Rear Controller,,,
EVR,013,007,ABS Warning Lamp Relay,,,
EVR,042,001,ABS Warning Lamp Relay,,,
EVR,065,004,ABS Warning Lamp Relay,,,
EVR,010,004,Accessory Relay,,,
EVR,013,006,Accessory Relay,,,
EVR,010,004,Accessory Safety Relay,,,
EVR,013,005,Accessory Safety Relay,,,
EVR,010,004,Air Compressor Module,,,
EVR,053,004,Air Compressor Module,,,
EVR,054,006,Air Compressor Module,,,
EVR,013,008,Air Compressor Relay,,,
EVR,053,004,Air Compressor Relay,,,
EVR,054,006,Air Compressor Relay,,,
EVR,010,004,Air Dryer,,,
EVR,013,006,Air Dryer,,,
EVR,048,003,Air Dryer,,,
EVR,010,003,Air Intake Heater Module,,,
EVR,012,002,Air Intake Heater Module,,,
EVR,013,008,Air Intake Heater Module,,,
EVR,020,001,Air Intake Heater Module,,,
EVR,026,002,Air Intake Heater Module,,,
EVR,026,003,Air Intake Heater Module,,,
EVR,065,003,Air Intake Heater Module,,,
EVR,010,002,Air Pressure Gauge Illumination Lamp,,,
EVR,071,002,Air Pressure Gauge Illumination Lamp,,,
EVR,010,002,AM Radio Receiver,,,
EVR,013,004,AM Radio Receiver,,,
EVR,071,002,AM Radio Receiver,,,
EVR,089,001,AM Radio Receiver,,,
EVR,130,001,AM Radio Receiver,,,
EVR,130,001,AM Radio Receiver Speaker,,,
EVR,010,002,AM/FM Radio Receiver,,,
EVR,013,003,AM/FM Radio Receiver,,,
