EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVR,C1000,,"Upper LH side of engine, on grid heater",,,,,,,,1,,,
EVR,C1001,,"Upper LH side of engine, on grid heater",,,,,,,,1,,,
EVR,C102,FD 1060,"In engine compartment, RH side of dash panel",6,B1,,,,,,5,,,
EVR,C102,FD 1460,"In engine compartment, RH side of dash panel",7,B1,,,,,,5,,,
EVR,C1029,FD 1060,RH side of engine,6,F4,,,,,,1,,,
EVR,C1029,FD 1460,RH side of engine,7,F4,,,,,,1,,,
EVR,C103,,"Lower LH side of engine, on starter motor",7,F7,,,,,,1,,,
EVR,C1031,,Rear lower RH side of transmission,16,E1,29,12,,,,31,,,
EVR,C104,,RH side of engine,,,,,,,GY,3,,,
EVR,C105,,RH front of engine compartment,,,,,,,,3,,,
EVR,C106,,"In engine compartment, LH side of dash panel (bus bar)",,,,,,,,4,,,
EVR,C107,FD 1060,RH side of engine,6,F4,,,,,,1,,,
EVR,C107,FD 1460,RH side of engine,7,F4,,,,,,1,,,
EVR,C1090,,On Allison transmission,16,F6,,,,,,2,,,
EVR,C1091,,Rear of engine,16,F4,,,,,,2,,,
EVR,C1092,,"Rear of engine, near starter motor",16,C10,,,,,,2,,,
EVR,C110,FD 1060,RH side of engine,6,F4,,,,,W,3,,,
EVR,C110,FD 1460,RH side of engine,7,F4,,,,,W,3,,,
EVR,C1119,,"In engine compartment, center of dash panel",,,,,,,,1,,,
EVR,C112,,"In engine compartment, near windshield wiper/washer motor",,,,,,,,2,,,
EVR,C113,,"In engine compartment, near windshield wiper/washer switch",,,,,,,,2,,,
EVR,C114,,LH side of engine compartment,6,B10,80,3,,,,6,,,
EVR,C1150,,"In engine compartment, LH side of dash panel",,,,,,,,1,,,
EVR,C116,,"In engine compartment, LH side of dash panel",,,,,,,,1,,,
EVR,C117,,"In engine compartment, RH side of dash panel",8,A8,26,4,,,,5,,,
EVR,C1186,,On frame over rear axle,18,A1,,,,,,4,,,
EVR,C119,,"In engine compartment, upper LH side of dash panel",,,,,,,,1,,,
EVR,C1190,,LH front of vehicle,18,E10,,,,,,2,,,
EVR,C1191,,RH front of vehicle,18,E10,,,,,,2,,,
EVR,C1196,,Near fuse panel,,,,,,,,1,,,
EVR,C120,,LH top of engine,,,,,,,,3,,,
EVR,C121,,"In engine compartment, RH side of dash panel (bus bar)",,,,,,,,8,,,
EVR,C122,,On LH rear of engine,7,C10,,,,,,1,,,
EVR,C123,,Front center of engine,6,F4,,,,,R,1,,,
EVR,C124,,"On radiator, RH side",7,F2,,,,,,2,,,
EVR,C125,,"In engine compartment, LH side of dash panel",,,,,,,,4,,,
EVR,C126,,"In engine compartment, LH side of dash panel",,,,,,,,4,,,
EVR,C128,,"In rear of engine compartment, near junction block",,,,,,,,2,,,
EVR,C129,,Rear RH corner of engine,7,C10,,,,,,2,,,
EVR,C130,,LH rear of engine,,,,,,,,2,,,
