EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EVR,G100,,Attached to engine flywheel housing,,,,
EVR,G101,,Attached to frame,,,,
EVR,G102,,Attached to starter motor relay mounting stud,,,,
EVR,G103,,Attached to RH side of engine,6,F8,,
EVR,G104,,Attached to ground on alternator,,,,
EVR,G105,,"Attached to RH frame rail, near engine",,,,
EVR,G107,,"External chassis harness, near T/O to C3000",,,,
EVR,G120,,N/A,,,,
EVR,G200,,"Main harness, attached to brake pedal support",8,A6,,
EVR,G201,,"Main harness, attached to heater controls mounting screw",8,D10,,
EVR,G210,,Attached to brake pedal support,,,,
EVR,G300,,"Attached to floor, back of cab",,,,
EVR,G301,,"Rear axle shifter motor harness, attached to frame crossmember",,,,
EVR,G302,,"Attached to junction block, behind passenger seat, outboard side",,,,
EVR,G306,,"Attached to chassis, near the electronic control unit",,,,
