EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EVR,151,009,F7,A/C and Heater Controls Illumination Lamp,,COM,,0
EVR,151,009,F6,A/C Blower Switch,,COM,,0
EVR,151,007,C1,A/C Clutch Solenoid,FD 1460,COM,,0
EVR,151,007,E1,A/C High Pressure Switch,,COM,,0
EVR,151,009,A3,A/C Proveout Relay,,COM,,0
EVR,151,009,A9,ABS Crank Relay,,COM,,0
EVR,151,018,A2,ABS Data Link Connector,Single Axle,COM,,0
EVR,151,020,F5,ABS Data Link Connector,Dual Axle,COM,,0
EVR,151,017,E10,ABS Front Controller,,COM,,0
EVR,151,018,A1,ABS Rear Controller,,COM,,0
EVR,151,009,A8,ABS Warning Lamp Relay,,COM,,0
EVR,151,010,A9,Accessory Relay,,COM,,0
EVR,151,017,F4,Air Compressor Module,,COM,,0
EVR,151,017,F3,Air Compressor Relay,,COM,,0
EVR,151,009,A1,Air Pressure Gauge Illumination Lamp,,COM,,0
EVR,151,017,A9,AM Radio Receiver Speaker,,COM,,0
EVR,151,017,A4,Anti-Lock Brakes System (ABS) Module,,COM,,0
EVR,151,010,F10,Blower Motor,,COM,,0
EVR,151,010,F9,Blower Motor Resistor,,COM,,0
EVR,151,010,F4,Brake On/Off Switch,Hydraulic Brakes,COM,,0
EVR,151,006,B1,C102,FD 1060,CON,,0
EVR,151,007,B1,C102,FD 1460,CON,,0
EVR,151,006,F4,C1029,FD 1060,CON,,0
EVR,151,007,F4,C1029,FD 1460,CON,,0
EVR,151,007,F7,C103,,CON,,0
EVR,151,016,E1,C1031,,CON,,0
EVR,151,006,F4,C107,FD 1060,CON,,0
EVR,151,007,F4,C107,FD 1460,CON,,0
EVR,151,016,F6,C1090,,CON,,0
EVR,151,016,F4,C1091,,CON,,0
EVR,151,016,C10,C1092,,CON,,0
EVR,151,006,F4,C110,FD 1060,CON,,0
EVR,151,007,F4,C110,FD 1460,CON,,0
EVR,151,006,B10,C114,,CON,,0
EVR,151,008,A8,C117,,CON,,0
EVR,151,018,A1,C1186,,CON,,0
EVR,151,018,E10,C1190,,CON,,0
EVR,151,018,E10,C1191,,CON,,0
EVR,151,007,C10,C122,,CON,,0
EVR,151,006,F4,C123,,CON,,0
EVR,151,007,F2,C124,,CON,,0
EVR,151,007,C10,C129,,CON,,0
EVR,151,017,D10,C134,,CON,,0
EVR,151,017,C10,C140,,CON,,0
EVR,151,017,B10,C141,,CON,,0
EVR,151,017,F7,C142,,CON,,0
EVR,151,007,C1,C149,,CON,,0
EVR,151,009,A3,C152,,CON,,0
EVR,151,007,E10,C155,,CON,,0
EVR,151,017,D10,C158,,CON,,0
EVR,151,006,A5,C159,,CON,,0
EVR,151,006,F7,C161,FD 1060,CON,,0
EVR,151,007,F3,C161,FD 1460,CON,,0
EVR,151,007,F5,C163,,CON,,0
EVR,151,007,E1,C165,,CON,,0
EVR,151,006,B1,C166,,CON,,0
EVR,151,006,F4,C171,FD 1060,CON,,0
EVR,151,007,F4,C171,FD 1460,CON,,0
EVR,151,017,E10,C173,,CON,,0
EVR,151,008,A6,C200,,CON,,0
EVR,151,010,A5,C2000,,CON,,0
EVR,151,010,B1,C202,,CON,,0
EVR,151,009,F5,C203,,CON,,0
EVR,151,008,F3,C204,Electric Windshield Wipers,CON,,0
EVR,151,009,C1,C206,,CON,,0
EVR,151,008,F5,C2064,,CON,,0
EVR,151,010,F5,C207,,CON,,0
EVR,151,009,B1,C208,,CON,,0
EVR,151,009,A1,C209,,CON,,0
EVR,151,009,A2,C210,,CON,,0
EVR,151,016,A7,C2102,,CON,,0
EVR,151,009,A4,C211,,CON,,0
EVR,151,009,F5,C2112,,CON,,0
EVR,151,008,F5,C212,,CON,,0
EVR,151,008,B1,C213,,CON,,0
EVR,151,010,F8,C2133,,CON,,0
EVR,151,008,F4,C215,,CON,,0
EVR,151,010,F7,C216,,CON,,0
EVR,151,009,F2,C220,,CON,,0
EVR,151,010,A1,C224,,CON,,0
EVR,151,008,A7,C225,,CON,,0
EVR,151,009,A5,C227,,CON,,0
EVR,151,010,E1,C228,,CON,,0
EVR,151,009,F4,C229,,CON,,0
EVR,151,010,F4,C230,,CON,,0
EVR,151,010,A9,C231,,CON,,0
EVR,151,009,A6,C233,,CON,,0
EVR,151,010,F2,C234,,CON,,0
EVR,151,010,A5,C235,W/O Tractor Trailer,CON,,0
EVR,151,008,F7,C237,,CON,,0
EVR,151,010,F6,C238,,CON,,0
EVR,151,008,A9,C239,,CON,,0
EVR,151,010,E1,C241,,CON,,0
EVR,151,009,A7,C242,,CON,,0
EVR,151,010,D1,C245,,CON,,0
EVR,151,009,F7,C247,,CON,,0
EVR,151,010,F3,C248,,CON,,0
EVR,151,008,E1,C249,,CON,,0
EVR,151,008,F8,C252,,CON,,0
EVR,151,008,F9,C253,,CON,,0
EVR,151,009,F6,C254,,CON,,0
EVR,151,010,F9,C255,,CON,,0
EVR,151,010,F10,C256,,CON,,0
EVR,151,009,A5,C257,Without A/C,CON,,0
EVR,151,009,A5,C257,With A/C,CON,,0
EVR,151,008,A3,C258,,CON,,0
EVR,151,008,A9,C259,Low Gear,CON,,0
EVR,151,008,A9,C260,High Gear,CON,,0
EVR,151,009,F3,C262,,CON,,0
EVR,151,008,A5,C264,,CON,,0
EVR,151,008,F9,C265,,CON,,0
EVR,151,009,F9,C266,,CON,,0
EVR,151,009,E1,C268,,CON,,0
EVR,151,017,A9,C276,,CON,,0
EVR,151,010,A6,C278,,CON,,0
EVR,151,009,F8,C279,,CON,,0
EVR,151,009,A1,C281,,CON,,0
EVR,151,010,A3,C282,,CON,,0
EVR,151,008,A7,C283,,CON,,0
EVR,151,009,F7,C284,,CON,,0
EVR,151,009,A8,C285,,CON,,0
EVR,151,009,A9,C286,,CON,,0
EVR,151,016,A6,C3001,,CON,,0
EVR,151,016,A6,C3002,,CON,,0
EVR,151,016,B10,C3003,,CON,,0
EVR,151,016,A3,C3004,,CON,,0
EVR,151,016,A4,C3005,,CON,,0
EVR,151,016,A5,C3006,,CON,,0
