EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EVC,4R70W Transmission,,7000,RH side of transmission,C163,9,E10,,,29,6,,
EVC,A/C Clutch Coil,,19D798,Lower RH front of engine compartment,C180,2,A5,,,,,,
EVC,A/C Cycling Switch,,19E561,RH rear corner of engine compartment,C169,3,A3,,,,,,
EVC,A/C Refrigerant Pressure Sensor,,NA,RH front corner of engine compartment,C179,5,F3,,,,,,
EVC,Air Bag Diagnostic Monitor,,14B056,"Top center of I/P, behind radio",C276,6,A7,,,46,4,,
EVC,Air Bag Diagnostic Monitor,,14B056,"Top center of I/P, behind radio",C277,6,A7,,,46,4,,
EVC,Air Bag Safing Sensor,,14B007,Bottom of LH cowl,C235,10,E5,,,46,5,,
EVC,Air Suspension Compressor Motor/Vent Solenoid,,5319,Lower RH front corner of engine compartment,C134,3,F2,,,,,,
EVC,Air Suspension Compressor Relay,,3C072,Lower RH front of engine compartment,C142,3,E1,,,,,,
EVC,Air Suspension Switch,,5K761,LH rear side of trunk,C458,16,F9,,,,,,
EVC,Air Suspension/EVO Steering Module,,5A919,"Behind RH cowl panel, above connector bracket",C204,10,A8,,,41,4,,
EVC,Air Suspension/EVO Steering Module,,5A919,"Behind RH cowl panel, above connector bracket",C205,10,A8,,,41,4,,
EVC,Air Suspension/EVO Test Connector,,NA,"RH side of engine compartment, top of wheel well",C117,5,B1,,,41,5,,
EVC,Ambient Temperature Sensor,,19E702,Front center of engine compartment,C191,3,F5,,,,,,
EVC,Anti-Lock Brake Control Module,,2C219,Lower LH front corner of engine compartment,C114,5,B10,,,42,4,,
EVC,Anti-Theft Hood Switch,,19A434,RH side of engine compartment,C110,5,C1,,,,,,
EVC,Ashtray Illumination,,046836,"On center console, near console cigar lighter",C335,8,A6,,,,,,
EVC,Battery,,NA,LH side of engine compartment,,,,,,,,,
EVC,Blend Door Actuator,,19E616,"Behind RH side of I/P, center of evaporator assembly",C224,7,A2,,,55,4,,
EVC,Blower Motor,,NA,"Behind RH side of I/P, near evaporator assembly",C265,,,,,,,,
EVC,Blower Motor Relay,,NA,Behind bottom right side of I/P,C2002,6,C1,,,55,5,,
EVC,Blower Motor Speed Controller,,19E624,"Behind RH side of I/P, near evaporator assembly",C210,8,A5,,,55,5,,
EVC,Brake Fluid Level Switch,,2C251,"LH rear of engine compartment, in brake fluid reservoir",C139,3,A8,,,,,,
EVC,Brake On/Off (BOO) Switch,,13480,"Behind I/P, on brake pedal support",C243,8,D10,,,,,,
EVC,Brake Pressure Switch,,NA,Lower RH rear of engine compartment,C128,3,A1,,,,,,
EVC,Brake Shifter Interlock,,NA,Front of center console,C360,6,F8,,,,,,
EVC,Camshaft Position (CMP) Sensor,,6B288,LH front side of engine,C176,1,A1,,,,,,
EVC,Camshaft Position (CMP) Sensor Shield,,NA,On wiring harness between powertrain control module (PCM) and camshaft position (CMP) sensor,,,,,,,,,
EVC,Canister Vent,,NA,"Rear of vehicle, under luggage compartment",C404,,,,,,,,
EVC,Cellular Phone Junction Box,,NA,Below center console,C359,,,,,135,4,,
EVC,Cellular Telephone Transceiver,,19A387,Below left rear side of package tray,C402,13,F3,,,135,3,,
EVC,Cellular Telephone Transceiver,,19A387,Below left rear side of package tray,C413,13,F3,,,135,3,,
EVC,Cigar Lighter,,15A044,Front center of console,C356,8,A3,,,,,,
EVC,Cigar Lighter,,15A044,Front center of console,C358,8,A3,,,,,,
EVC,Clockspring Assembly,M,14A664,"Top of steering column, below steering wheel",C222,,,,,31,4,,
EVC,Coil Per Plug (CPP) #1,,NA,"Right side of engine, above cylinder #1",C1020,1,A6,,,,,,
EVC,Coil Per Plug (CPP) #2,,NA,"Right side of engine, above cylinder #2",C1021,1,A7,,,,,,
EVC,Coil Per Plug (CPP) #3,,NA,"Right side of engine, above cylinder #3",C1022,1,A8,,,,,,
EVC,Coil Per Plug (CPP) #4,,NA,"Right side of engine, above cylinder #4",C1023,1,B10,,,,,,
EVC,Coil Per Plug (CPP) #5,,NA,"Left side of engine, above cylinder #5",C1024,1,B1,,,,,,
EVC,Coil Per Plug (CPP) #6,,NA,"Left side of engine, above cylinder #6",C1025,1,C1,,,,,,
EVC,Coil Per Plug (CPP) #7,,NA,"Left side of engine, above cylinder #7",C1026,1,D1,,,,,,
EVC,Coil Per Plug (CPP) #8,,NA,"Left side of engine, above cylinder #8",C1027,1,E1,,,,,,
EVC,Compact Disc Changer,,NA,LH front corner of trunk,C445,16,F6,,,130,11,,
EVC,Compact Disc Changer Shield,,NA,On wiring harness between radio and compact disc changer,,,,,,,,,
EVC,Compass Module,,19A584,"Center of windshield header, inside of rearview mirror",C912,17,A1,,,,,,
EVC,Crankshaft Position (CKP) Sensor,,62315,Lower RH front of engine,C131,2,A2,,,,,,
EVC,Crankshaft Position (CKP) Sensor Shield,,NA,On wiring harness between powertrain control module (PCM) and crankshaft position (CKP) sensor,,,,,,,,,
EVC,Data Link Connector (DLC),,14489,"Below I/P, near steering column",C240,8,A7,,,,,,
EVC,Day/Night Sensor/Amplifier,,13A018,Behind top RH side of I/P,C241,7,A1,,,87,4,,
EVC,Daytime Running Lamps (DRL) Module,,13B215,"Front of engine compartment, near top of radiator support",C1029,5,F7,,,97,3,,
EVC,Delayed Accessory Relay #1,,NA,"Behind I/P, left of steering column",C2000,7,A8,,,88,2,,
EVC,Delayed Accessory Relay #2,,NA,"Behind I/P, left of steering column",C2001,7,A9,,,88,2,,
EVC,Differential Pressure Feedback EGR (DPFE) Sensor,,9J460,Lower LH rear of engine,C171,1,F6,,,,,,
EVC,Digital Transmission Range (DTR) Sensor,,NA,LH side of transmission,C127,9,C1,,,29,6,,
EVC,Dome/Map Lamp Assembly,With Moonroof,13776,Center of windshield header,C903,16,B1,,,,,,
EVC,Dome/Map Lamp Assembly,Without Moonroof,13776,Center of roof,C906,17,A1,,,,,,
EVC,Dome/Map Lamp Assembly,Without Moonroof,13776,Center of roof,C907,17,A2,,,,,,
EVC,Drivers Air Bag,,NA,Top of steering column,C231,,,,,,,,
EVC,Drivers Door Ajar Switch,,14018,"In top rear of LH front door, on latch assembly",C503,14,D1,,,,,,
