EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EVC,010,001,Battery,,,
EVC,010,001,Data Link Connector (DLC),,,
EVC,010,001,I/P Dimming Switch,,,
EVC,010,001,Instrument Cluster,,,
EVC,010,001,Main Light Switch,,,
EVC,010,001,Message Center,,,
EVC,010,001,Message Center Switch Assembly,,,
EVC,010,001,Passengers Door Ajar Switch,,,
EVC,010,001,Passengers Door Disarm Switch,,,
EVC,010,001,Steering Column/Ignition/Lighting (SCIL) Module,,,
EVC,010,001,Variable Load Control Module (VLCM),,,
EVC,010,002,Drivers Door Ajar Switch,,,
EVC,010,002,Drivers Door Disarm Switch,,,
EVC,010,002,Drivers Door Module (DDM),,,
EVC,010,002,Drivers Seat Belt Switch,,,
EVC,010,002,Drivers Seat Module (DSM),,,
EVC,010,002,Fuel Pump/Fuel Gauge Sender,,,
EVC,010,002,Left Seat Forward/Rearward Dump Switch,,,
EVC,010,002,Power Mirror Adjust Switch,,,
EVC,010,002,Trunk Lid Release Switch,,,
EVC,010,003,Engine Compartment Fuse Box,,,
EVC,010,003,Engine Coolant Level Sensor,,,
EVC,010,003,Fuel Pump Relay,,,
EVC,010,003,Intake Manifold Runner Control (IMRC) Module,,,
EVC,010,003,Left Ballast Lo Beam Headlamp,,,
EVC,010,003,Left Front Air Spring Solenoid,,,
EVC,010,003,Left Front Park/Turn Lamp,,,
EVC,010,003,Left Hi Beam Headlamp,,,
EVC,010,003,PCM Power Relay,,,
EVC,010,003,Speed Control Module,,,
EVC,010,003,Windshield Wiper Motor,,,
EVC,010,004,Anti-Lock Brake Control Module,,,
EVC,010,004,Anti-Theft Hood Switch,,,
EVC,010,004,Brake Fluid Level Switch,,,
EVC,010,004,Electric Air Management (EAM) Pump Motor,,,
EVC,010,004,Electric Air Management (EAM) Relay,,,
EVC,010,004,EVAC/Fill Connector,,,
EVC,010,004,Left Cornering Lamp,,,
EVC,010,004,Left Front Side Marker Lamp,,,
EVC,010,005,Air Suspension Compressor Motor/Vent Solenoid,,,
EVC,010,005,Air Suspension Compressor Relay,,,
EVC,010,005,Dual Note Horns,,,
EVC,010,005,Electric Cooling Fan,,,
EVC,010,005,Right Cornering Lamp,,,
