EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVC,C1001,,"LH front of car, on left hi beam headlamp",3,F8,,,,,BK,2,,,
EVC,C1002,,"RH front of car, on hi beam headlamp",5,F5,,,,,BK,2,,,
EVC,C1003,,"LH front of car, to left headlamp ballast",4,F7,,,,,BK,2,,,
EVC,C1004,,"RH front of car, to right headlamp ballast",4,F6,,,,,BK,2,,,
EVC,C1006,,"RH front of car, on right cornering lamp",5,D1,,,,,BK,3,,,
EVC,C1007,,"Lower LH front of car, on left front park/turn lamp",5,E10,,,,,,3,,,
EVC,C1008,,"Lower RH front of car, on right front park/turn lamps",5,F2,,,,,,3,,,
EVC,C1009,,"LH front of car, on left front side marker lamp",5,D10,,,,,GY,2,,,
EVC,C101,,"LH side of engine compartment, on engine coolant level sensor",5,A9,,,,,BK,2,,,
EVC,C1010,,"RH front of car, on right front side marker lamp",5,E1,,,,,GY,2,,,
EVC,C1011,,LH front of car,,,,,,,,2,,,
EVC,C1012,,RH front of car,,,,,,,,2,,,
EVC,C1013,,On electric air management (EAM) pump motor,3,D10,,,,,BK,2,,,
EVC,C1014,,"LH side of engine compartment, on PCM power relay",4,B9,,,23,15,,5,,,
EVC,C1017,,"Right side of transmission, near right rear heated oxygen sensor (HO2S) #22",9,F8,,,,,BL,4,,,
EVC,C1018,,"Left side of transmission, near right rear heated oxygen sensor (HO2S) #12",9,A1,,,,,BL,4,,,
EVC,C1019,,"LH side of engine compartment, on hi beam relay",4,B9,,,87,5,,5,,,
EVC,C102,,"Center front of engine compartment, on electric cooling fan",4,C1,,,,,BK,3,,,
EVC,C1020,,"Right side of engine, on CPP #1",1,A6,,,,,BK,2,,,
EVC,C1021,,"Right side of engine, on CPP #2",1,A7,,,,,BK,2,,,
EVC,C1022,,"Right side of engine, on CPP #3",1,A8,,,,,BK,2,,,
EVC,C1023,,"Right side of engine, on CPP #4",1,B10,,,,,BK,2,,,
EVC,C1024,,"Left side of engine, on CPP #5",1,B1,,,,,BK,2,,,
EVC,C1025,,"Left side of engine, on CPP #6",1,C1,,,,,BK,2,,,
EVC,C1026,,"Left side of engine, on CPP #7",1,D1,,,,,BK,2,,,
EVC,C1027,,"Left side of engine, on CPP #8",1,E1,,,,,BK,2,,,
EVC,C1028,,"LH side of engine compartment, on starter relay",4,B9,,,20,2,,5,,,
EVC,C1029,,"Front of engine compartment, near top of radiator support",5,F7,,,97,3,,8,,,
EVC,C103,,"LH side of engine compartment, on speed control module",3,A9,,,31,3,BK,10,,,
EVC,C1030,,"LH of engine compartment, on EVAC/Fill connector",3,E10,,,42,5,BK,8,,,
EVC,C1031,,"LH side of engine compartment, on trunk lid relay",4,B9,,,113,3,,5,,,
EVC,C106,,"Lower front of engine compartment, on variable load control module (VLCM)",3,D1,,,33,2,W,24,,,
EVC,C107,,LH front car on left cornering lamp,5,C10,,,,,,3,,,
EVC,C109,,LH front corner of engine compartment,4,D10,,,,,BK,4,,,
EVC,C110,,"RH side of engine compartment, on anti-theft hood switch",5,C1,,,,,BK,4,,,
EVC,C111,,"LH rear of transmission, on vehicle speed sensor (VSS)",9,E1,,,,,BK,2,,,
EVC,C112,,"LH rear of engine compartment, near rear of transmission",14,F6,,,150,1,BK,16,,,
EVC,C114,,"Lower LH front corner of engine compartment, on anti-lock brake control module",5,B10,,,42,4,BK,25,,,
EVC,C115,,On electric air management (EAM) solenoid,3,A5,,,,,BK,2,,,
EVC,C116,,"LH front side of engine compartment, below engine compartment fuse box",2,E1,,,150,1,GY,8,,,
EVC,C117,,"RH side of engine compartment, top of wheel well",5,B1,,,41,5,GY,6,,,
EVC,C118,,LH rear corner of engine compartment,5,A8,,,150,2,BK,42,,,
EVC,C119,,"RH side of engine compartment, on mass air flow (MAF) sensor",4,A4,,,23,16,BK,6,,,
EVC,C120,,"LH side of engine compartment, below engine compartment fuse box",4,A9,,,,,GY,4,,,
EVC,C122,,"LH rear corner of engine compartment, on connector bracket",4,A10,,,150,1,GY,16,,,
EVC,C123,,RH front side of engine compartment,4,A1,,,,,GY,4,,,
EVC,C124,,"Lower LH rear of engine, on engine oil temperature and low engine level sensor",4,A5,,,,,W,3,,,
EVC,C125,,"LH side of engine compartment, on fuel pump relay",4,B9,,,23,16,,5,,,
EVC,C127,,"LH side of transmission, on digital transmission range (DTR) sensor",9,C1,,,29,6,BK,12,,,
EVC,C128,,"Lower RH side of engine compartment, on brake pressure switch",3,A1,,,,,BK,2,,,
EVC,C130,,LH rear corner of engine compartment,5,A7,,,150,3,BK,16,,,
EVC,C131,,"Lower RH front of engine, on crankshaft position (CKP) sensor",2,A2,,,,,BK,2,,,
