EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EVC,151,1,A1,C176,,CON,,0
EVC,151,1,A1,Camshaft Position (CMP) Sensor,,COM,,0
EVC,151,1,A2,C154,,CON,,0
EVC,151,1,A2,Generator/Voltage Regulator,,COM,,0
EVC,151,1,A3,C173,,CON,,0
EVC,151,1,A3,Engine Coolant Temperature (ECT) Sensor,,COM,,0
EVC,151,1,A5,C141,,CON,,0
EVC,151,1,A5,Idle AIr Control (IAC) Valve,,COM,,0
EVC,151,1,A6,C1020,,CON,,0
EVC,151,1,A6,Coil Per Plug (CPP) #1,,COM,,0
EVC,151,1,A7,C1021,,CON,,0
EVC,151,1,A7,Coil Per Plug (CPP) #2,,COM,,0
EVC,151,1,A8,C1022,,CON,,0
EVC,151,1,A8,Coil Per Plug (CPP) #3,,COM,,0
EVC,151,1,A9,C170,,CON,,0
EVC,151,1,A9,Throttle Position (TP) Sensor,,COM,,0
EVC,151,1,B1,C1024,,CON,,0
EVC,151,1,B1,Coil Per Plug (CPP) #5,,COM,,0
EVC,151,1,B10,C1023,,CON,,0
EVC,151,1,B10,Coil Per Plug (CPP) #4,,COM,,0
EVC,151,1,C1,C1025,,CON,,0
EVC,151,1,C1,Coil Per Plug (CPP) #6,,COM,,0
EVC,151,1,C10,C172,,CON,,0
EVC,151,1,C10,Intake Air Temperature (IAT) Sensor,,COM,,0
EVC,151,1,D1,C1026,,CON,,0
EVC,151,1,D1,Coil Per Plug (CPP) #7,,COM,,0
EVC,151,1,D10,C160,,CON,,0
EVC,151,1,D10,Right Radio Noise Capacitor,,COM,,0
EVC,151,1,E1,C1027,,CON,,0
EVC,151,1,E1,Coil Per Plug (CPP) #8,,COM,,0
EVC,151,1,E10,C166,,CON,,0
EVC,151,1,E10,C167,,CON,,0
EVC,151,1,E10,C168,,CON,,0
EVC,151,1,F2,C132,,CON,,0
EVC,151,1,F2,EVO Actuator,,COM,,0
EVC,151,1,F4,C162,,CON,,0
EVC,151,1,F4,Intake Manifold Runner Control (IMRC) Module,,COM,,0
EVC,151,1,F6,C171,,CON,,0
EVC,151,1,F6,Differential Pressure Feedback EGR (DPFE) Sensor,,COM,,0
EVC,151,1,F8,C174,,CON,,0
EVC,151,1,F8,Right Front Heated Oxygen Sensor (HO2S) #11,,COM,,0
EVC,151,10,A1,C218,,CON,,0
EVC,151,10,A2,C212,,CON,,0
EVC,151,10,A3,C248,,CON,,0
EVC,151,10,A4,C291,,CON,,0
EVC,151,10,A4,G203,,GRD,,0
EVC,151,10,A4,G205,,GRD,,0
EVC,151,10,A4,Powertrain Control Module (PCM),,COM,,0
EVC,151,10,A6,C211,,CON,,0
EVC,151,10,A8,Air Suspension/EVO Steering Module,,COM,,0
EVC,151,10,A8,C204,,CON,,0
EVC,151,10,A8,C205,,CON,,0
EVC,151,10,B1,C214,,CON,,0
EVC,151,10,B10,C236,,CON,,0
EVC,151,10,C10,C253,,CON,,0
EVC,151,10,D10,C200,,CON,,0
EVC,151,10,E5,Air Bag Safing Sensor,,COM,,0
EVC,151,10,E5,C235,,CON,,0
EVC,151,10,F6,C203,,CON,,0
EVC,151,10,F7,C268,,CON,,0
EVC,151,11,A3,C316,,CON,,0
EVC,151,11,A3,Drivers Seat Belt Switch,,COM,,0
