EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EVC,S100,,"Starting motor relay and battery ground harness, near T/O to C109",,
EVC,S101,,"Engine control harness, in T/O to engine compartment fuse box",,
EVC,S102,,"Dash panel to headlamp junction harness, near T/O to C1007",,
EVC,S103,,"Engine control harness, near T/O to engine compartment fuse box",,
EVC,S104,,"Dash panel to headlamp junction harness, near T/O to C102",,
EVC,S105,,"Dash panel to headlamp junction harness, near T/O to C103",,
EVC,S108,,"Engine control harness, near T/O to C153",,
EVC,S110,,"Dash panel to headlamp junction harness, near T/O to engine compartment fuse box",,
EVC,S111,,"Dash panel to headlamp junction harness, near T/O to C101",,
EVC,S114,,"Engine control harness, near T/O to C166",,
EVC,S119,,"Engine control harness, near T/O to C175",,
EVC,S121,,"Dash panel to headlamp junction harness, near T/O to C189",,
EVC,S123,,"Engine control sensor harness, near T/O to C122",,
EVC,S124,,"Dash panel to headlamp junction harness, near T/O to C188",,
EVC,S125,,"Transmission control selector neutral switch harness, near T/O to C1018",,
EVC,S126,,"Engine control harness, near T/O to C146",,
EVC,S127,,"Engine control harness, near T/O to C152",,
EVC,S129,,"Engine control harness, near T/O to C153",,
EVC,S131,,"Engine spark knock sensor harness, in T/O to C166",,
EVC,S132,,"Engine control harness, near T/O to C153",,
EVC,S133,,"Transmission control selector neutral switch harness, near T/O to C127",,
EVC,S137,,"Engine control sensor harness, near T/O to C122",,
EVC,S139,,"Dash panel to headlamp junction harness, near T/O to C188",,
EVC,S140,,"Dash panel to headlamp junction harness, near T/O to C122",,
EVC,S141,,"Dash panel to headlamp junction harness, near T/O to C122",,
EVC,S142,,"Dash panel to headlamp junction harness, near T/O to C188",,
EVC,S143,,"Dash panel to headlamp junction harness, near T/O to C188",,
EVC,S152,,"Dash panel to headlamp junction harness, near T/O to C1003",,
EVC,S153,,"Dash panel to headlamp junction harness, near T/O to C139",,
EVC,S154,,"Dash panel to headlamp junction harness, in T/O to C140",,
EVC,S155,,"Dash panel to headlamp junction harness, in T/O to C1013",,
EVC,S156,,"Dash panel to headlamp junction harness, near T/O to C139",,
EVC,S161,,"Dash panel to headlamp junction harness, in T/O to C106",,
EVC,S162,,"Dash panel to headlamp junction harness, near T/O to C189",,
EVC,S163,,"Dash panel to headlamp junction harness, near T/O to C189",,
