EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EVD,C100,3.8L,"Front of engine, on rear of generator/voltage regulator",004,B10,,,012,002,GY,1,,,
EVD,C100,4.6L,"Front of engine, on rear of generator/voltage regulator",007,F6,,,012,002,GY,1,,,
EVD,C1001,3.8L,"At top of cylinder #1, on fuel injector No. 1",001,B10,,,,,BK,2,,,
EVD,C1002,3.8L,"At top of cylinder #2, on fuel injector No. 2",001,B10,,,,,BK,2,,,
EVD,C1003,3.8L,"At top of cylinder #3, on fuel injector No. 3",001,B10,,,,,BK,2,,,
EVD,C1004,3.8L,"At top of cylinder #4, on fuel injector No. 4",001,B10,,,,,BK,2,,,
EVD,C1005,3.8L,"At top of cylinder #5, on fuel injector No. 5",001,B10,,,,,BK,2,,,
EVD,C1006,3.8L,"At top of cylinder #6, on fuel injector No. 6",001,B10,,,,,BK,2,,,
EVD,C101,3.8L,"Front of engine, on rear of generator/voltage regulator",004,B10,,,012,002,BK,3,,,
EVD,C101,4.6L,"Front of engine, on rear of generator/voltage regulator",007,F6,,,012,002,BK,3,,,
EVD,C1011,3.8L,"Lower LH front of engine compartment, on power steering actuator",,,,,,,BK,2,,,
EVD,C1011,4.6L,"Lower LH front of engine compartment, on power steering actuator",006,F7,,,,,BK,2,,,
EVD,C1012,3.8L,"Lower front of engine compartment, on low pitch horn",003,F5,,,,,BK,1,,,
EVD,C1012,4.6L,"Lower front of engine compartment, on low pitch horn",005,F6,,,,,BK,1,,,
EVD,C1013,3.8L,"Lower front of engine compartment, on high pitch horn",003,F5,,,,,BK,1,,,
EVD,C1013,4.6L,"Lower front of engine compartment, on high pitch horn",005,F6,,,,,BK,1,,,
EVD,C1014,3.8L,"RH rear of engine compartment, on A/C high pressure cutout/fan switch",004,C1,,,,,BK,4,,,
EVD,C1014,4.6L,"RH rear of engine compartment, on A/C high pressure cutout/fan switch",006,D1,,,,,BK,4,,,
EVD,C1015,3.8L,"Top RH side of engine, on cold engine lock out switch",002,A4,,,,,BK,1,,,
EVD,C1015,4.6L,"Top RH side of engine, on cold engine lock out switch",006,A5,,,,,BK,1,,,
EVD,C1016,3.8L,"Lower front of engine, on engine oil pressure switch",003,A10,,,,,BK,1,,,
EVD,C1016,4.6L,"Lower front of engine, on engine oil pressure switch",006,F6,,,,,BK,1,,,
EVD,C1019,,"Inside rear of RH front fender, on power antenna motor",,,,,,,BK,2,,,
EVD,C102,3.8L,"Front of engine, on rear of generator/voltage regulator",004,B10,,,012,002,GY,1,,,
EVD,C102,4.6L,"Front of engine, on rear of generator/voltage regulator",007,F6,,,012,002,GY,1,,,
EVD,C1021,3.8L,"LH side of engine compartment, by power distribution box",002,B10,,,042,008,GY,6,,,
EVD,C1021,4.6L,"LH side of engine compartment, by power distribution box",006,A10,,,042,008,GY,6,,,
EVD,C1029,4.6L,"At top of cylinder #2, on fuel injector No. 2",005,C10,,,,,BK,2,,,
EVD,C103,3.8L,"LR corner of engine compartment, behind shock tower",002,A8,,,150,001,W,76,,,
EVD,C103,4.6L,"LR corner of engine compartment, behind shock tower",007,A8,,,150,002,W,76,,,
EVD,C1030,3.8L,"Lower RH front of vehicle, on ATC ambient temperature sensor",004,F3,,,,,BR,2,,,
EVD,C1030,4.6L,"Lower RH front of vehicle, on ATC ambient temperature sensor",006,F4,,,,,BR,2,,,
EVD,C1031,,"LH side of transmission, to heated oxygen sensor (HO2S) #4",008,F3,,,,,GN,4,,,
EVD,C1033,4.6L,"At top of cylinder #3, on fuel injector No. 3",005,C10,,,,,BK,2,,,
EVD,C1034,4.6L,"At top of cylinder #4, on fuel injector No. 4",005,C10,,,,,BK,2,,,
EVD,C1035,4.6L,"At top of cylinder #5, on fuel injector No. 5",005,C10,,,,,BK,2,,,
EVD,C1036,4.6L,"At top of cylinder #6, on fuel injector No. 6",005,C10,,,,,BK,2,,,
