EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EWL,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,N/A,LH front of engine compartment,C154,1,B10,,,,,,
EWL,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,N/A,LH front of engine compartment,C154,4,C10,,,,,,
EWL,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,N/A,LH front of engine compartment,C154,6,B10,,,,,,
EWL,4R44E Automatic Transmission,,7000,LH side of transmission,C1006,12,E1,,,29,5,,
EWL,4WABS Control Module,,N/A,LH side of engine compartment,,,,,,,,,
EWL,4WD Mode Switch,,N/A,Center of I/P,C225,9,A8,,,,,,
EWL,5R55E Automatic Transmission,,7000,LH side of transmission,C1006,12,E1,,,29,5,,
EWL,A/C Clutch Control Relay (ACCR),,N/A,In power distribution box,,,,,,,,,
EWL,A/C Clutch Cycling Pressure Switch,2.5L,19E561,"RH rear of engine compartment, on A/C accumulator",C162,1,A4,,,,,,
EWL,A/C Clutch Cycling Pressure Switch,3.0L,19E561,"RH rear of engine compartment, on A/C accumulator",C162,4,A4,,,,,,
EWL,A/C Clutch Cycling Pressure Switch,4.0L,19E561,"RH rear of engine compartment, on A/C accumulator",C162,6,A4,,,,,,
EWL,A/C Clutch Diode,,N/A,"LH side of engine compartment near A/C compressor clutch, taped in harness",,,,,,,,,
EWL,A/C Clutch Field Coil,2.5L,19703,"Top LH front of engine, part of A/C compressor assembly",C166,3,A7,,,,,,
EWL,A/C Clutch Field Coil,3.0L,19703,"Top LH front of engine, part of A/C compressor assembly",C166,5,F9,,,,,,
EWL,A/C Clutch Field Coil,4.0L,19703,"Top LH front of engine, part of A/C compressor assembly",C166,7,F10,,,,,,
EWL,A/C Pressure Cutoff Switch,2.5L,190594,"LH front of engine, on A/C line",C167,3,F9,,,,,,
EWL,A/C Pressure Cutoff Switch,3.0L,190594,"LH front of engine, on A/C line",C167,5,E10,,,,,,
EWL,A/C Pressure Cutoff Switch,4.0L,190594,"LH front of engine, on A/C line",C167,6,F6,,,,,,
EWL,A/C-Heater Control Assembly,,19980,"Center of I/P, above ashtray assembly",C231,8,F6,,,,,,
EWL,A/C-Heater Control Assembly,,19980,"Center of I/P, above ashtray assembly",C234,8,F6,,,,,,
EWL,ABS Evac and Fill Connector,,N/A,LH side of engine compartment,,,,,,,,,
EWL,Acceleration Sensor,,14N089,"Underside of vehicle, on inside of left frame rail",C1008,10,F2,,,,,,
EWL,Accessory Delay Relay,,N/A,Under RH side of I/P,C239,8,F4,,,100,3,,
EWL,Air Bag Diagnostic Monitor,,N/A,Behind RH side of cowl panel,C250,8,E1,,,46,3,,
EWL,Air Bag Diagnostic Monitor,,N/A,Behind RH side of cowl panel,C251,8,E1,,,46,3,,
EWL,Air Bag Electronic Crash Sensor (ECS),,N/A,Behind RH side of cowl panel,,,,,,,,,
EWL,All Lock Relay,,N/A,In relay box #1,,,,,,13,21,,
EWL,All Unlock Relay,,N/A,In relay box #1,,,,,,13,21,,
EWL,Anti-Theft Hood Switch,2.5L,19A434,"RH side of engine compartment, on upper fender apron",C160,1,C1,,,,,,
EWL,Anti-Theft Hood Switch,3.0L,19A434,"RH side of engine compartment, on upper fender apron",C160,4,C1,,,,,,
EWL,Anti-Theft Hood Switch,4.0L,19A434,"RH side of engine compartment, on upper fender apron",C160,6,C1,,,,,,
EWL,Auxiliary Power Socket,,N/A,Under center of I/P,C235,9,A5,,,,,,
EWL,Backup Lamp Switch,,15520,Top LH side of transmission,C1012,12,F7,,,,,,
EWL,Battery,2.5L,N/A,LH front of engine compartment,,,,,,,,,
EWL,Battery,3.0L,N/A,LH front of engine compartment,,,,,,,,,
EWL,Battery,4.0L,N/A,LH front of engine compartment,,,,,,,,,
EWL,Battery Saver Relay,w/power equipment or 4x4,N/A,In relay box #1,,8,A5,,,13,21,,
EWL,Battery Saver Relay,w/o power equipment or 4x4,N/A,"Center of I/P, above glove box",C258,8,A5,,,13,24,,
EWL,Blend Door Actuator,,N/A,Behind RH side of I/P,C240,8,C1,,,54,4,,
EWL,Blower Motor,2.5L,18527,"RH rear of engine compartment, on safety wall",C161,1,B1,,,,,,
EWL,Blower Motor,3.0L,18527,"RH rear of engine compartment, on safety wall",C161,4,B1,,,,,,
EWL,Blower Motor,4.0L,18527,"RH rear of engine compartment, on safety wall",C161,6,B1,,,,,,
