EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
ELW,G100,2.5L,"LH front of engine compartment, below battery",1,C10,,
ELW,G100,3.0L,"LH front of engine compartment, below battery",4,D10,,
ELW,G100,4.0L,"LH front of engine compartment, below battery",6,C10,,
ELW,G101,2.5L,LH side of upper radiator support,1,C10,,
ELW,G101,3.0L,LH side of upper radiator support,,,,
ELW,G101,4.0L,LH side of upper radiator support,6,C10,,
ELW,G102,2.5L,RH side of safety wall,3,A5,,
ELW,G102,3.0L,RH side of safety wall,4,A5,,
ELW,G102,4.0L,RH side of safety wall,7,A5,,
ELW,G103,2.5L,Top center of LH fender apron,3,B10,,
ELW,G103,3.0L,Top center of LH fender apron,5,B10,,
ELW,G103,4.0L,Top center of LH fender apron,7,B10,,
ELW,G104,2.5L,"Lower LH front of engine compartment, on frame rail",3,F8,,
ELW,G104,3.0L,"Lower LH front of engine compartment, on top of frame rail",,,,
ELW,G104,4.0L,"Lower LH front of engine compartment, on top of frame rail",,,,
ELW,G105,2.5L,"RH side of engine compartment, on upper fender apron",1,B1,,
ELW,G105,3.0L,"RH side of engine compartment, on upper fender apron",4,B1,,
ELW,G105,4.0L,"RH side of engine compartment, on upper fender apron",6,B1,,
ELW,G200,,Behind LH cowl panel,10,E1,,
ELW,G201,,Behind RH cowl panel,8,D1,,
