EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EWL,151,001,B10,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,COM,,0
EWL,151,004,C10,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,COM,,0
EWL,151,006,B10,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,COM,,0
EWL,151,012,E1,4R44E Automatic Transmission,,COM,,0
EWL,151,009,A8,4WD Mode Switch,,COM,,0
EWL,151,012,E1,5R55E Automatic Transmission,,COM,,0
EWL,151,001,A4,A/C Clutch Cycling Pressure Switch,2.5L,COM,,0
EWL,151,004,A4,A/C Clutch Cycling Pressure Switch,3.0L,COM,,0
EWL,151,006,A4,A/C Clutch Cycling Pressure Switch,4.0L,COM,,0
EWL,151,003,A7,A/C Clutch Field Coil,2.5L,COM,,0
EWL,151,005,F9,A/C Clutch Field Coil,3.0L,COM,,0
EWL,151,007,F10,A/C Clutch Field Coil,4.0L,COM,,0
EWL,151,003,F9,A/C Pressure Cutoff Switch,2.5L,COM,,0
EWL,151,005,E10,A/C Pressure Cutoff Switch,3.0L,COM,,0
EWL,151,006,F6,A/C Pressure Cutoff Switch,4.0L,COM,,0
EWL,151,008,F6,A/C-Heater Control Assembly,,COM,,0
EWL,151,010,F2,Acceleration Sensor,,COM,,0
EWL,151,008,F4,Accessory Delay Relay,,COM,,0
EWL,151,008,E1,Air Bag Diagnostic Monitor,,COM,,0
EWL,151,001,C1,Anti-Theft Hood Switch,2.5L,COM,,0
EWL,151,004,C1,Anti-Theft Hood Switch,3.0L,COM,,0
EWL,151,006,C1,Anti-Theft Hood Switch,4.0L,COM,,0
EWL,151,009,A5,Auxiliary Power Socket,,COM,,0
EWL,151,012,F7,Backup Lamp Switch,,COM,,0
EWL,151,008,A5,Battery Saver Relay,w/o power equipment or 4x4,COM,,0
EWL,151,008,C1,Blend Door Actuator,,COM,,0
EWL,151,001,B1,Blower Motor,2.5L,COM,,0
EWL,151,004,B1,Blower Motor,3.0L,COM,,0
EWL,151,006,B1,Blower Motor,4.0L,COM,,0
EWL,151,001,D1,Blower Motor Resistor Assembly,2.5L,COM,,0
EWL,151,004,A3,Blower Motor Resistor Assembly,3.0L,COM,,0
EWL,151,006,A3,Blower Motor Resistor Assembly,4.0L,COM,,0
EWL,151,001,A10,Brake Fluid Level Switch,2.5L,COM,,0
EWL,151,004,A10,Brake Fluid Level Switch,3.0L,COM,,0
EWL,151,006,A7,Brake Fluid Level Switch,4.0L,COM,,0
EWL,151,008,F7,Brake Pedal Position (BPP) Switch,,COM,,0
EWL,151,001,A10,Brake Pressure Switch,2.5L,COM,,0
EWL,151,004,B10,Brake Pressure Switch,3.0L,COM,,0
EWL,151,006,A8,Brake Pressure Switch,4.0L,COM,,0
EWL,151,003,F5,C100,2.5L,CON,,0
EWL,151,005,F5,C100,3.0L,CON,,0
EWL,151,007,F6,C100,4.0L,CON,,0
EWL,151,005,B10,C1003,3.0L,CON,,0
EWL,151,007,A7,C1003,4.0L,CON,,0
EWL,151,012,D4,C1004,3.0L,CON,,0
EWL,151,012,D4,C1004,4.0L,CON,,0
EWL,151,012,D4,C1004,2.5L,CON,,0
EWL,151,012,F3,C1005,,CON,,0
EWL,151,012,E1,C1006,,CON,,0
EWL,151,003,F6,C101,2.5L,CON,,0
EWL,151,005,F7,C101,3.0L,CON,,0
EWL,151,007,F9,C101,4.0L,CON,,0
EWL,151,003,C10,C1011,2.5L,CON,,0
EWL,151,004,B10,C1011,3.0L,CON,,0
EWL,151,006,C10,C1011,4.0L,CON,,0
EWL,151,012,E7,C1012,,CON,,0
EWL,151,003,F4,C102,,CON,,0
EWL,151,003,F2,C103,2.5L,CON,,0
EWL,151,005,A3,C103,3.0L,CON,,0
EWL,151,007,F3,C103,4.0L,CON,,0
EWL,151,003,E1,C104,2.5L,CON,,0
EWL,151,004,A6,C104,3.0L,CON,,0
EWL,151,007,C10,C104,4.0L,CON,,0
EWL,151,002,D1,C105,2.5L,CON,,0
EWL,151,005,C1,C105,3.0L,CON,,0
EWL,151,007,C1,C105,4.0L,CON,,0
EWL,151,002,B1,C106,2.5L,CON,,0
EWL,151,005,C10,C106,3.0L,CON,,0
EWL,151,007,F7,C106,4.0L,CON,,0
EWL,151,002,E1,C107,,CON,,0
EWL,151,002,A3,C108,2.5L,CON,,0
EWL,151,005,C10,C108,3.0L,CON,,0
EWL,151,007,A10,C108,4.0L,CON,,0
EWL,151,002,A5,C109,2.5L,CON,,0
EWL,151,005,D10,C109,3.0L,CON,,0
EWL,151,007,B10,C109,4.0L,CON,,0
EWL,151,003,A4,C111,2.5L,CON,,0
EWL,151,005,A4,C111,3.0L,CON,,0
EWL,151,007,A4,C111,4.0L,CON,,0
EWL,151,002,F4,C112,2.5L,CON,,0
EWL,151,005,D10,C112,3.0L,CON,,0
EWL,151,007,C10,C112,4.0L,CON,,0
EWL,151,002,A4,C114,2.5L,CON,,0
EWL,151,005,B1,C114,3.0L,CON,,0
EWL,151,007,A3,C114,4.0L,CON,,0
EWL,151,002,A7,C117,2.5L,CON,,0
EWL,151,005,A9,C117,3.0L,CON,,0
EWL,151,006,A5,C117,4.0L,CON,,0
EWL,151,002,A7,C118,2.5L,CON,,0
EWL,151,005,A9,C118,3.0L,CON,,0
EWL,151,006,A5,C118,4.0L,CON,,0
EWL,151,002,A7,C119,2.5L,CON,,0
EWL,151,005,A9,C119,3.0L,CON,,0
EWL,151,006,A5,C119,4.0L,CON,,0
EWL,151,002,A7,C120,2.5L,CON,,0
EWL,151,005,A9,C120,3.0L,CON,,0
EWL,151,006,A5,C120,4.0L,CON,,0
EWL,151,005,A9,C121,3.0L,CON,,0
EWL,151,006,A5,C121,4.0L,CON,,0
EWL,151,005,A9,C122,3.0L,CON,,0
EWL,151,006,A5,C122,4.0L,CON,,0
EWL,151,002,C10,C123,2.5L,CON,,0
EWL,151,005,B1,C123,3.0L,CON,,0
EWL,151,007,A6,C123,4.0L,CON,,0
EWL,151,001,A6,C124,2.5L,CON,,0
EWL,151,004,F5,C124,3.0L,CON,,0
EWL,151,007,B10,C124,4.0L,CON,,0
EWL,151,002,C1,C126,2.5L,CON,,0
EWL,151,004,A5,C126,3.0L,CON,,0
EWL,151,007,A2,C126,4.0L,CON,,0
EWL,151,005,A5,C127,3.0L,CON,,0
EWL,151,007,A5,C127,4.0L,CON,,0
EWL,151,002,F5,C128,2.5L,CON,,0
EWL,151,005,A10,C128,3.0L,CON,,0
EWL,151,007,A8,C128,4.0L,CON,,0
EWL,151,005,A10,C129,3.0L,CON,,0
EWL,151,001,A7,C131,2.5L,CON,,0
EWL,151,005,A7,C131,3.0L,CON,,0
EWL,151,006,A6,C131,4.0L,CON,,0
EWL,151,001,A9,C134,2.5L,CON,,0
EWL,151,004,A9,C134,3.0L,CON,,0
EWL,151,006,A9,C134,4.0L,CON,,0
EWL,151,001,A9,C135,2.5L,CON,,0
EWL,151,004,A9,C135,3.0L,CON,,0
EWL,151,006,A9,C135,4.0L,CON,,0
EWL,151,001,A9,C136,2.5L,CON,,0
EWL,151,004,A9,C136,3.0L,CON,,0
EWL,151,006,A9,C136,4.0L,CON,,0
EWL,151,001,A10,C137,2.5L,CON,,0
EWL,151,004,A10,C137,3.0L,CON,,0
EWL,151,006,A7,C137,4.0L,CON,,0
EWL,151,001,A10,C138,2.5L,CON,,0
EWL,151,004,B10,C138,3.0L,CON,,0
EWL,151,006,A8,C138,4.0L,CON,,0
EWL,151,002,B10,C142,2.5L,CON,,0
EWL,151,004,C10,C142,3.0L,CON,,0
EWL,151,006,A10,C142,4.0L,CON,,0
EWL,151,002,C10,C144,,CON,,0
EWL,151,001,D10,C147,2.5L,CON,,0
EWL,151,004,D10,C147,3.0L,CON,,0
EWL,151,006,D10,C147,4.0L,CON,,0
EWL,151,002,E10,C148,2.5L,CON,,0
EWL,151,005,E10,C148,3.0L,CON,,0
EWL,151,006,F10,C148,4.0L,CON,,0
EWL,151,001,E10,C149,2.5L,CON,,0
EWL,151,004,E10,C149,3.0L,CON,,0
EWL,151,006,D10,C149,4.0L,CON,,0
EWL,151,001,E10,C150,2.5L,CON,,0
EWL,151,004,F10,C150,3.0L,CON,,0
EWL,151,006,E10,C150,4.0L,CON,,0
EWL,151,001,F9,C151,2.5L,CON,,0
EWL,151,004,F9,C151,3.0L,CON,,0
EWL,151,006,F9,C151,4.0L,CON,,0
EWL,151,004,F8,C152,3.0L,CON,,0
EWL,151,006,F8,C152,4.0L,CON,,0
EWL,151,001,F8,C153,2.5L,CON,,0
EWL,151,004,F7,C153,3.0L,CON,,0
EWL,151,006,F7,C153,4.0L,CON,,0
EWL,151,001,B10,C154,2.5L,CON,,0
EWL,151,004,C10,C154,3.0L,CON,,0
EWL,151,006,B10,C154,4.0L,CON,,0
EWL,151,001,E1,C155,2.5L,CON,,0
EWL,151,004,D1,C155,3.0L,CON,,0
EWL,151,006,D1,C155,4.0L,CON,,0
EWL,151,002,E1,C156,2.5L,CON,,0
EWL,151,005,E1,C156,3.0L,CON,,0
EWL,151,006,F2,C156,4.0L,CON,,0
EWL,151,001,F5,C157,2.5L,CON,,0
EWL,151,004,F4,C157,3.0L,CON,,0
EWL,151,006,F5,C157,4.0L,CON,,0
EWL,151,001,F2,C158,2.5L,CON,,0
EWL,151,004,F2,C158,3.0L,CON,,0
EWL,151,006,F3,C158,4.0L,CON,,0
EWL,151,004,F3,C159,3.0L,CON,,0
EWL,151,006,F4,C159,4.0L,CON,,0
EWL,151,001,C1,C160,2.5L,CON,,0
EWL,151,004,C1,C160,3.0L,CON,,0
EWL,151,006,C1,C160,4.0L,CON,,0
EWL,151,001,B1,C161,2.5L,CON,,0
EWL,151,004,B1,C161,3.0L,CON,,0
EWL,151,006,B1,C161,4.0L,CON,,0
EWL,151,001,A4,C162,2.5L,CON,,0
EWL,151,004,A4,C162,3.0L,CON,,0
EWL,151,006,A4,C162,4.0L,CON,,0
EWL,151,001,D1,C163,2.5L,CON,,0
EWL,151,004,A3,C163,3.0L,CON,,0
EWL,151,006,A3,C163,4.0L,CON,,0
EWL,151,001,A1,C164,2.5L,CON,,0
EWL,151,004,D1,C164,3.0L,CON,,0
EWL,151,006,C1,C164,4.0L,CON,,0
EWL,151,001,A3,C165,2.5L,CON,,0
EWL,151,004,A1,C165,3.0L,CON,,0
EWL,151,006,A1,C165,4.0L,CON,,0
EWL,151,003,A7,C166,2.5L,CON,,0
EWL,151,005,F9,C166,3.0L,CON,,0
EWL,151,007,F10,C166,4.0L,CON,,0
EWL,151,003,F9,C167,2.5L,CON,,0
EWL,151,005,E10,C167,3.0L,CON,,0
EWL,151,006,F6,C167,4.0L,CON,,0
EWL,151,002,F2,C168,2.5L,CON,,0
EWL,151,005,F4,C168,3.0L,CON,,0
EWL,151,007,C1,C168,4.0L,CON,,0
EWL,151,002,F2,C169,2.5L,CON,,0
EWL,151,005,F4,C169,3.0L,CON,,0
EWL,151,007,C1,C169,4.0L,CON,,0
EWL,151,005,F6,C170,3.0L,CON,,0
EWL,151,007,F4,C170,4.0L,CON,,0
EWL,151,002,A6,C171,2.5L,CON,,0
EWL,151,005,C1,C171,3.0L,CON,,0
EWL,151,007,F8,C171,4.0L,CON,,0
EWL,151,001,A8,C173,2.5L,CON,,0
EWL,151,004,A8,C173,3.0L,CON,,0
EWL,151,007,A9,C173,4.0L,CON,,0
EWL,151,012,F5,C176,,CON,,0
EWL,151,004,A10,C177,3.0L,CON,,0
EWL,151,007,C1,C177,4.0L,CON,,0
EWL,151,001,C10,C179,2.5L,CON,,0
EWL,151,004,B10,C179,3.0L,CON,,0
EWL,151,006,C10,C179,4.0L,CON,,0
EWL,151,002,F9,C180,2.5L,CON,,0
EWL,151,005,F10,C180,3.0L,CON,,0
EWL,151,006,F10,C180,4.0L,CON,,0
EWL,151,001,D10,C181,2.5L,CON,,0
EWL,151,004,E10,C181,3.0L,CON,,0
EWL,151,006,E10,C181,4.0L,CON,,0
EWL,151,002,F3,C182,2.5L,CON,,0
EWL,151,005,F3,C182,3.0L,CON,,0
EWL,151,006,F2,C182,4.0L,CON,,0
EWL,151,001,D1,C183,2.5L,CON,,0
EWL,151,004,E1,C183,3.0L,CON,,0
EWL,151,006,E1,C183,4.0L,CON,,0
EWL,151,002,A10,C184,2.5L,CON,,0
EWL,151,004,F6,C184,3.0L,CON,,0
EWL,151,007,D10,C184,4.0L,CON,,0
EWL,151,004,E1,C185,3.0L,CON,,0
EWL,151,006,E1,C185,4.0L,CON,,0
EWL,151,003,A3,C186,2.5L,CON,,0
EWL,151,005,F8,C186,3.0L,CON,,0
EWL,151,003,A3,C187,2.5L,CON,,0
EWL,151,005,F8,C187,3.0L,CON,,0
EWL,151,011,C1,C200,,CON,,0
EWL,151,009,E10,C201,,CON,,0
EWL,151,011,E1,C202,,CON,,0
EWL,151,010,E1,C203,,CON,,0
EWL,151,008,B10,C204,,CON,,0
EWL,151,008,B10,C205,,CON,,0
EWL,151,009,D10,C206,,CON,,0
EWL,151,008,D10,C207,,CON,,0
EWL,151,009,F7,C208,,CON,,0
EWL,151,009,F6,C209,2.5L,CON,,0
EWL,151,009,F6,C209,3.0L,CON,,0
EWL,151,009,F6,C209,4.0L,CON,,0
EWL,151,009,A9,C212,,CON,,0
EWL,151,008,A9,C213,,CON,,0
EWL,151,008,A8,C214,,CON,,0
EWL,151,008,A8,C215,,CON,,0
EWL,151,008,A8,C216,,CON,,0
EWL,151,009,A6,C217,,CON,,0
EWL,151,009,F3,C218,,CON,,0
EWL,151,009,F4,C219,,CON,,0
EWL,151,009,A6,C220,,CON,,0
EWL,151,008,A7,C221,,CON,,0
EWL,151,008,A7,C222,,CON,,0
EWL,151,008,A7,C223,,CON,,0
EWL,151,008,A6,C224,,CON,,0
EWL,151,009,A8,C225,,CON,,0
EWL,151,009,A7,C226,,CON,,0
EWL,151,009,A7,C227,,CON,,0
EWL,151,009,A2,C228,,CON,,0
EWL,151,009,B1,C230,,CON,,0
EWL,151,008,F6,C232,,CON,,0
EWL,151,008,F6,C233,,CON,,0
EWL,151,008,F6,C234,,CON,,0
EWL,151,009,A5,C235,,CON,,0
EWL,151,009,A4,C236,,CON,,0
EWL,151,008,A4,C237,,CON,,0
EWL,151,009,A3,C238,,CON,,0
EWL,151,008,F4,C239,,CON,,0
EWL,151,008,C1,C240,,CON,,0
EWL,151,008,B1,C242,,CON,,0
EWL,151,009,C1,C244,,CON,,0
EWL,151,009,D1,C249,,CON,,0
EWL,151,008,E1,C250,,CON,,0
EWL,151,008,C1,C252,,CON,,0
EWL,151,008,F5,C256,,CON,,0
EWL,151,008,A5,C258,w/o power equipment or 4x4,CON,,0
EWL,151,008,F3,C259,w/o power equipment or 4x4,CON,,0
EWL,151,011,E1,C300,,CON,,0
EWL,151,010,F4,C304,,CON,,0
EWL,151,010,F4,C309,,CON,,0
EWL,151,012,B4,C310,,CON,,0
EWL,151,010,F2,C312,,CON,,0
EWL,151,010,F6,C400,,CON,,0
EWL,151,010,F7,C401,,CON,,0
EWL,151,010,F7,C402,,CON,,0
EWL,151,011,F9,C403,,CON,,0
EWL,151,010,D10,C404,,CON,,0
EWL,151,010,D10,C405,,CON,,0
EWL,151,010,E10,C406,,CON,,0
EWL,151,011,A4,C407,,CON,,0
EWL,151,011,A7,C408,,CON,,0
EWL,151,011,F6,C409,,CON,,0
EWL,151,011,F6,C410,,CON,,0
EWL,151,010,F9,C411,,CON,,0
EWL,151,010,E10,C412,,CON,,0
EWL,151,010,F8,C416,,CON,,0
EWL,151,013,A8,C419,Supercab,CON,,0
EWL,151,013,F2,C420,Supercab,CON,,0
EWL,151,011,E10,C421,,CON,,0
EWL,151,011,D10,C422,,CON,,0
EWL,151,010,B1,C500,,CON,,0
EWL,151,010,B1,C501,,CON,,0
EWL,151,011,B1,C502,,CON,,0
EWL,151,011,C1,C503,,CON,,0
EWL,151,011,C1,C504,,CON,,0
EWL,151,010,D1,C505,,CON,,0
EWL,151,010,C1,C506,,CON,,0
EWL,151,010,C1,C507,,CON,,0
EWL,151,011,B1,C509,,CON,,0
EWL,151,010,A4,C600,,CON,,0
EWL,151,010,F5,C601,,CON,,0
EWL,151,011,A6,C602,,CON,,0
EWL,151,011,A5,C603,,CON,,0
EWL,151,010,C10,C604,,CON,,0
EWL,151,010,C10,C605,,CON,,0
EWL,151,010,A8,C606,,CON,,0
EWL,151,010,A7,C607,,CON,,0
EWL,151,013,A2,C704,,CON,,0
EWL,151,013,D1,C706,,CON,,0
EWL,151,013,A9,C804,,CON,,0
EWL,151,013,B10,C806,,CON,,0
EWL,151,010,A6,C900,,CON,,0
EWL,151,010,A5,C901,,CON,,0
EWL,151,002,C10,Camshaft Position (CMP) Sensor,2.5L,COM,,0
EWL,151,005,B1,Camshaft Position (CMP) Sensor,3.0L,COM,,0
EWL,151,007,A6,Camshaft Position (CMP) Sensor,4.0L,COM,,0
EWL,151,009,A6,Central Timer Module (CTM),,COM,,0
EWL,151,009,A7,Cigar Lighter,,COM,,0
EWL,151,009,F4,Clockspring Assembly,,COM,,0
EWL,151,009,D10,Clutch Pedal Position (CPP) Switch,,COM,,0
EWL,151,003,F5,Crankshaft Position (CKP) Sensor,2.5L,COM,,0
EWL,151,005,F5,Crankshaft Position (CKP) Sensor,3.0L,COM,,0
EWL,151,007,F6,Crankshaft Position (CKP) Sensor,4.0L,COM,,0
EWL,151,009,F6,Data Link Connector (DLC),2.5L,COM,,0
EWL,151,009,F6,Data Link Connector (DLC),3.0L,COM,,0
EWL,151,009,F6,Data Link Connector (DLC),4.0L,COM,,0
EWL,151,001,E10,Daytime Running Lamps (DRL) Module,2.5L,COM,,0
EWL,151,004,F10,Daytime Running Lamps (DRL) Module,3.0L,COM,,0
EWL,151,006,E10,Daytime Running Lamps (DRL) Module,4.0L,COM,,0
EWL,151,002,A3,Differential Exhaust Pressure Transducer (DEPT),2.5L,COM,,0
EWL,151,005,C10,Differential Exhaust Pressure Transducer (DEPT),3.0L,COM,,0
EWL,151,007,A10,Differential Exhaust Pressure Transducer (DEPT),4.0L,COM,,0
EWL,151,002,A3,Differential Pressure Feedback EGR (DPFE) Sensor,2.5L,COM,,0
EWL,151,005,C10,Differential Pressure Feedback EGR (DPFE) Sensor,3.0L,COM,,0
EWL,151,007,A10,Differential Pressure Feedback EGR (DPFE) Sensor,4.0L,COM,,0
EWL,151,012,F3,Digital Transmission Range (DTR) Sensor,,COM,,0
EWL,151,010,A5,Dome/Map Lamp,,COM,,0
EWL,151,009,F3,Drivers Air Bag,,COM,,0
EWL,151,008,A4,Drivers Unlock Relay,,COM,,0
EWL,151,003,E1,EGR Vacuum Regulator (EVR) Solenoid,2.5L,COM,,0
EWL,151,004,A6,EGR Vacuum Regulator (EVR) Solenoid,3.0L,COM,,0
EWL,151,007,C10,EGR Vacuum Regulator (EVR) Solenoid,4.0L,COM,,0
EWL,151,009,B1,Electric Shift Control Module,,COM,,0
EWL,151,001,A8,Engine Compartment Fuse/Relay Box,2.5L,COM,,0
EWL,151,004,A8,Engine Compartment Fuse/Relay Box,3.0L,COM,,0
EWL,151,007,A9,Engine Compartment Fuse/Relay Box,4.0L,COM,,0
EWL,151,003,F6,Engine Coolant Temperature (ECT) Sensor,2.5L,COM,,0
EWL,151,005,F7,Engine Coolant Temperature (ECT) Sensor,3.0L,COM,,0
EWL,151,007,F9,Engine Coolant Temperature (ECT) Sensor,4.0L,COM,,0
EWL,151,003,F7,Engine Coolant Temperature Sender,2.5L,COM,,0
EWL,151,005,F6,Engine Coolant Temperature Sender,3.0L,COM,,0
EWL,151,007,F4,Engine Coolant Temperature Sender,4.0L,COM,,0
EWL,151,002,A6,Engine Oil Pressure Switch,2.5L,COM,,0
EWL,151,005,C1,Engine Oil Pressure Switch,3.0L,COM,,0
EWL,151,007,F8,Engine Oil Pressure Switch,4.0L,COM,,0
EWL,151,002,B10,Evaporative Emissions (EVAP) Canister Purge Valve,2.5L,COM,,0
EWL,151,004,C10,Evaporative Emissions (EVAP) Canister Purge Valve,3.0L,COM,,0
EWL,151,006,A10,Evaporative Emissions (EVAP) Canister Purge Valve,4.0L,COM,,0
EWL,151,009,F5,Flasher,,COM,,0
EWL,151,009,A4,Fog Lamp Switch,,COM,,0
EWL,151,002,A7,Fuel Injector #1,2.5L,COM,,0
EWL,151,005,A9,Fuel Injector #1,3.0L,COM,,0
EWL,151,006,A5,Fuel Injector #1,4.0L,COM,,0
EWL,151,002,A7,Fuel Injector #2,2.5L,COM,,0
EWL,151,005,A9,Fuel Injector #2,3.0L,COM,,0
EWL,151,006,A5,Fuel Injector #2,4.0L,COM,,0
EWL,151,002,A7,Fuel Injector #3,2.5L,COM,,0
EWL,151,005,A9,Fuel Injector #3,3.0L,COM,,0
EWL,151,006,A5,Fuel Injector #3,4.0L,COM,,0
EWL,151,002,A7,Fuel Injector #4,2.5L,COM,,0
EWL,151,005,A9,Fuel Injector #4,3.0L,COM,,0
EWL,151,006,A5,Fuel Injector #4,4.0L,COM,,0
EWL,151,005,A9,Fuel Injector #5,3.0L,COM,,0
EWL,151,006,A5,Fuel Injector #5,4.0L,COM,,0
EWL,151,005,A9,Fuel Injector #6,3.0L,COM,,0
EWL,151,006,A5,Fuel Injector #6,4.0L,COM,,0
EWL,151,011,D10,Fuel Tank Assembly,,COM,,0
EWL,151,001,C10,G100,2.5L,GRD,,0
EWL,151,004,D10,G100,3.0L,GRD,,0
EWL,151,006,C10,G100,4.0L,GRD,,0
EWL,151,001,C10,G101,2.5L,GRD,,0
EWL,151,006,C10,G101,4.0L,GRD,,0
EWL,151,003,A5,G102,2.5L,GRD,,0
EWL,151,004,A5,G102,3.0L,GRD,,0
EWL,151,007,A5,G102,4.0L,GRD,,0
EWL,151,003,B10,G103,2.5L,GRD,,0
EWL,151,005,B10,G103,3.0L,GRD,,0
EWL,151,007,B10,G103,4.0L,GRD,,0
EWL,151,003,F8,G104,2.5L,GRD,,0
EWL,151,001,B1,G105,2.5L,GRD,,0
EWL,151,004,B1,G105,3.0L,GRD,,0
EWL,151,006,B1,G105,4.0L,GRD,,0
EWL,151,010,E1,G200,,GRD,,0
EWL,151,008,D1,G201,,GRD,,0
EWL,151,002,F2,Generator/Voltage Regulator,2.5L,COM,,0
EWL,151,005,F4,Generator/Voltage Regulator,3.0L,COM,,0
EWL,151,007,C1,Generator/Voltage Regulator,4.0L,COM,,0
EWL,151,008,A7,Generic Electronic Module (GEM),,COM,,0
EWL,151,002,C1,Heated Oxygen Sensor (HO2S) #1,2.5L,COM,,0
EWL,151,004,A5,Heated Oxygen Sensor (HO2S) #1,3.0L,COM,,0
EWL,151,007,A2,Heated Oxygen Sensor (HO2S) #1,4.0L,COM,,0
EWL,151,005,B10,Heated Oxygen Sensor (HO2S) #2,3.0L,COM,,0
EWL,151,007,A7,Heated Oxygen Sensor (HO2S) #2,4.0L,COM,,0
EWL,151,011,E4,Heated Oxygen Sensor (HO2S) #3,3.0L,COM,,0
EWL,151,011,E4,Heated Oxygen Sensor (HO2S) #3,2.5L,COM,,0
EWL,151,011,E4,Heated Oxygen Sensor (HO2S) #3,4.0L,COM,,0
EWL,151,008,F6,Heater Control Assembly,,COM,,0
EWL,151,001,E10,High Pitch Horn,2.5L,COM,,0
EWL,151,004,E10,High Pitch Horn,3.0L,COM,,0
EWL,151,006,D10,High Pitch Horn,4.0L,COM,,0
EWL,151,009,C10,I/P Fuse Panel,,COM,,0
EWL,151,002,A5,Idle Air Control (IAC) Valve,2.5L,COM,,0
EWL,151,005,D10,Idle Air Control (IAC) Valve,3.0L,COM,,0
EWL,151,007,B10,Idle Air Control (IAC) Valve,4.0L,COM,,0
EWL,151,005,A5,Ignition Coil,3.0L,COM,,0
EWL,151,007,A5,Ignition Coil,4.0L,COM,,0
EWL,151,008,A9,Ignition Switch,,COM,,0
EWL,151,009,A6,Ignition Tamper Switch,,COM,,0
EWL,151,009,D1,Inertia Fuel Shut-Off (IFS),,COM,,0
EWL,151,008,A8,Instrument Cluster,,COM,,0
EWL,151,008,B10,Instrument Illumination Dimming Module,,COM,,0
EWL,151,002,B1,Intake Air Temperature (IAT) Sensor,2.5L,COM,,0
