EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EWL,010,002,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,010,002,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,010,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,003,,,,,
EWL,013,003,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,013,003,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,013,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,003,,,,,
EWL,013,011,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,013,011,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,013,011,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,003,,,,,
EWL,023,002,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,024,002,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,029,002,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,029,002,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,030,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,003,,,,,
EWL,031,002,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,031,002,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,031,002,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,003,,,,,
EWL,060,003,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,004,,,,,
EWL,060,003,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,004,,,,,
EWL,060,003,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,004,,,,,
EWL,064,001,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,060,003,,,,,
EWL,064,001,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,060,003,,,,,
EWL,064,001,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,060,003,,,,,
EWL,090,004,4 Wheel Anti-Lock Brake System (4WABS) Module,2.5L,042,003,,,,,
EWL,090,004,4 Wheel Anti-Lock Brake System (4WABS) Module,3.0L,042,003,,,,,
EWL,090,004,4 Wheel Anti-Lock Brake System (4WABS) Module,4.0L,042,003,,,,,
EWL,013,009,4R44E Automatic Transmission,,029,004,,,,,
EWL,013,009,4R44E Automatic Transmission,,029,004,,,,,
EWL,014,001,4WABS Control Module,,042,003,,,,,
EWL,010,005,4WD Mode Switch,,034,002,,,,,
EWL,071,002,4WD Mode Switch,,034,002,,,,,
EWL,013,009,5R55E Automatic Transmission,,030,004,,,,,
EWL,013,005,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,013,009,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,023,001,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,023,007,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,024,001,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,024,007,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,025,001,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,025,007,A/C Clutch Control Relay (ACCR),,054,002,,,,,
EWL,025,007,A/C Clutch Cycling Pressure Switch,4.0L,054,002,,,,,
EWL,029,002,A/C Clutch Cycling Pressure Switch,2.5L,054,002,,,,,
EWL,029,002,A/C Clutch Cycling Pressure Switch,3.0L,054,002,,,,,
EWL,030,002,A/C Clutch Cycling Pressure Switch,4.0L,054,002,,,,,
EWL,010,005,A/C Clutch Diode,,054,002,,,,,
EWL,010,005,A/C Clutch Field Coil,2.5L,054,002,,,,,
EWL,010,005,A/C Clutch Field Coil,3.0L,054,002,,,,,
EWL,010,005,A/C Clutch Field Coil,4.0L,054,002,,,,,
EWL,010,001,A/C Pressure Cutoff Switch,2.5L,054,002,,,,,
EWL,010,001,A/C Pressure Cutoff Switch,3.0L,054,002,,,,,
EWL,010,001,A/C Pressure Cutoff Switch,4.0L,054,002,,,,,
EWL,010,005,A/C-Heater Control Assembly,,054,001,,,,,
EWL,013,015,A/C-Heater Control Assembly,,054,002,,,,,
EWL,025,007,A/C-Heater Control Assembly,,054,002,,,,,
EWL,029,002,A/C-Heater Control Assembly,,054,002,,,,,
EWL,030,002,A/C-Heater Control Assembly,,054,002,,,,,
EWL,071,002,A/C-Heater Control Assembly,,053,001,,,,,
EWL,071,002,A/C-Heater Control Assembly,,054,001,,,,,
EWL,013,002,Accessory Delay Relay,,100,001,,,,,
EWL,010,002,Air Bag Electronic Crash Sensor (ECS),,046,002,,,,,
EWL,013,004,Air Bag Electronic Crash Sensor (ECS),,046,002,,,,,
EWL,013,010,Air Bag Electronic Crash Sensor (ECS),,046,002,,,,,
EWL,014,001,Air Bag Electronic Crash Sensor (ECS),,046,002,,,,,
EWL,059,003,Air Bag Electronic Crash Sensor (ECS),,046,001,,,,,
EWL,060,004,Air Bag Electronic Crash Sensor (ECS),,046,002,,,,,
EWL,031,001,Air Bag Restraint System,,046,001,,,,,
EWL,031,001,Air Bag Restraint System,,046,002,,,,,
EWL,023,007,Air Conditioner/Heater,,054,002,,,,,
EWL,024,007,Air Conditioner/Heater,,054,002,,,,,
EWL,029,002,Air Conditioner/Heater,,054,002,,,,,
EWL,030,002,Air Conditioner/Heater,,054,002,,,,,
EWL,010,006,All Lock Relay,,110,001,,,,,
EWL,013,011,All Lock Relay,,110,001,,,,,
EWL,117,002,All Lock Relay,,110,001,,,,,
EWL,010,006,All Unlock Relay,,110,001,,,,,
EWL,013,011,All Unlock Relay,,110,001,,,,,
EWL,110,002,All Unlock Relay,,110,001,A,,,,
EWL,110,002,All Unlock Relay,,110,001,E,,,,
EWL,117,002,All Unlock Relay,,110,001,,,,,
EWL,025,005,Anti-Lock Brake System (ABS),,042,004,,,,,
EWL,060,002,Anti-Lock Brake System (ABS),,042,001,,,,,
EWL,060,005,Anti-Lock Brake System (ABS),,042,001,,,,,
EWL,064,002,Anti-Lock Brake System (ABS),,042,002,,,,,
EWL,010,007,Anti-Theft Hood Switch,2.5L,117,003,,,,,
EWL,010,007,Anti-Theft Hood Switch,3.0L,117,003,,,,,
EWL,010,007,Anti-Theft Hood Switch,4.0L,117,003,,,,,
EWL,010,005,Auxiliary Power Socket,,044,001,,,,,
EWL,013,016,Auxiliary Power Socket,,044,001,,,,,
EWL,013,015,Backup Lamp Switch,,093,001,,,,,
EWL,093,002,Backup Lamp Switch,,093,001,A,,,,
EWL,029,003,Backup Lamps,,093,001,,,,,
EWL,030,003,Backup Lamps,,093,001,,,,,
EWL,034,001,Battery Saver Relay,w/power equipment or 4x4,013,016,,,,,
EWL,034,001,Battery Saver Relay,w/o power equipment or 4x4,013,016,,,,,
EWL,089,001,Battery Saver Relay,w/power equipment or 4x4,013,016,,,,,
EWL,089,001,Battery Saver Relay,w/o power equipment or 4x4,013,016,,,,,
EWL,100,001,Battery Saver Relay,w/power equipment or 4x4,013,016,,,,,
EWL,100,001,Battery Saver Relay,w/o power equipment or 4x4,013,016,,,,,
EWL,010,006,Blend Door Actuator,,054,002,,,,,
EWL,013,015,Blend Door Actuator,,054,002,,,,,
EWL,013,003,Blower Motor Relay,2.5L,053,001,,,,,
EWL,013,003,Blower Motor Relay,3.0L,053,001,,,,,
EWL,013,003,Blower Motor Relay,4.0L,053,001,,,,,
EWL,013,003,Blower Motor Relay,2.5L,054,001,,,,,
EWL,013,003,Blower Motor Relay,3.0L,054,001,,,,,
EWL,013,003,Blower Motor Relay,4.0L,054,001,,,,,
EWL,013,010,Blower Motor Relay,2.5L,053,001,,,,,
EWL,013,010,Blower Motor Relay,3.0L,053,001,,,,,
EWL,013,010,Blower Motor Relay,4.0L,053,001,,,,,
EWL,013,010,Blower Motor Relay,2.5L,054,001,,,,,
EWL,013,010,Blower Motor Relay,3.0L,054,001,,,,,
EWL,013,010,Blower Motor Relay,4.0L,054,001,,,,,
EWL,010,005,Brake Fluid Level Switch,2.5L,042,001,,,,,
EWL,010,005,Brake Fluid Level Switch,3.0L,042,001,,,,,
EWL,010,005,Brake Fluid Level Switch,4.0L,042,001,,,,,
EWL,013,001,Brake Fluid Level Switch,2.5L,042,001,,,,,
EWL,013,001,Brake Fluid Level Switch,3.0L,042,001,,,,,
EWL,013,001,Brake Fluid Level Switch,4.0L,042,001,,,,,
EWL,013,019,Brake Fluid Level Switch,2.5L,042,001,,,,,
EWL,013,019,Brake Fluid Level Switch,3.0L,042,001,,,,,
EWL,013,019,Brake Fluid Level Switch,4.0L,042,001,,,,,
