EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EWL,S100,2.5L,"Engine control sensor harness, in T/O to C121",,
EWL,S100,3.0L,"Engine control sensor harness, near T/O to C121",,
EWL,S100,4.0L,"Engine control sensor harness, near T/O to C121",,
EWL,S101,2.5L,"Engine control sensor harness, near T/O to C106",,
EWL,S101,3.0L,"Engine control sensor harness, near T/O to C118",,
EWL,S101,4.0L,"Engine control sensor harness, near T/O to C119",,
EWL,S102,2.5L,"Engine control sensor harness, near T/O to C106",,
EWL,S102,3.0L,"Engine control sensor harness, near T/O to C122",,
EWL,S102,4.0L,"Engine control sensor harness, near T/O to G102",,
EWL,S103,2.5L,"Engine control sensor harness, near T/O to G102",,
EWL,S103,3.0L,"Engine control sensor harness, near T/O to G102",,
EWL,S103,4.0L,"Engine control sensor harness, near T/O to C122",,
EWL,S104,2.5L,"Engine control sensor harness, near T/O to G102",,
EWL,S104,3.0L,"Engine control sensor harness, near T/O to C122",,
EWL,S104,4.0L,"Engine control sensor harness, near T/O to C121",,
EWL,S106,,"Engine control sensor harness, near T/O to G102",,
EWL,S107,2.5L,"Engine control sensor harness,near T/O to G102",,
EWL,S107,3.0L,"Engine control sensor harness,near T/O to G102",,
EWL,S107,4.0L,"Engine control sensor harness,near T/O to C111",,
EWL,S109,2.5L,"Engine control sensor harness, near T/O to C113",,
EWL,S109,3.0L,"Engine control sensor harness, near T/O to C1003",,
EWL,S109,4.0L,"Engine control sensor harness, near T/O to C1003",,
EWL,S112,3.0L,"Engine control sensor harness, near T/O to G102",,
EWL,S112,4.0L,"Engine control sensor harness, in T/O to C111",,
EWL,S113,3.0L,"Engine control sensor harness, near T/O to C104",,
EWL,S113,4.0L,"Engine control sensor harness, near T/O toC118",,
EWL,S114,,"Dash panel to headlamp junction harness, in T/O to C161",,
EWL,S115,,"Dash panel to headlamp junction harness, near T/O to C179",,
EWL,S116,,"Dash panel to headlamp junction harness, near T/O to C137",,
EWL,S117,,"Dash panel to headlamp junction harness, near T/O to C160",,
EWL,S118,,"Dash panel to headlamp junction harness, near T/O to G101",,
EWL,S119,,"Dash panel to headlamp junction harness, near T/O to C147",,
EWL,S120,,"Dash panel to headlamp junction harness, in T/O to C184",,
EWL,S121,,Engine compartment fuse/relay box in engine compartment fuse/relay box,,
EWL,S122,,"Dash panel to headlamp junction harness, near T/O to C180",,
EWL,S123,,"Dash panel to headlamp junction harness, in T/O to C143",,
EWL,S126,,"Dash panel to headlamp junction harness, near T/O to C147",,
EWL,S127,,"Dash panel to headlamp junction harness, near T/O to C147",,
EWL,S130,,"Dash panel to headlamp junction harness, near T/O to C149",,
EWL,S131,,"Dash panel to headlamp junction harness,in T/O to C179",,
EWL,S133,,"Dash panel to headlamp junction harness, in T/O to C131",,
EWL,S138,,"Dash panel to headlamp junction harness, near T/O to C135 & C136",,
EWL,S139,,"Dash panel to headlamp junction harness, near T/O to C179",,
EWL,S142,,"Dash panel to headlamp junction harness, in T/O to C154",,
EWL,S143,,"Dash panel to headlamp junction harness, in T/O to C131",,
EWL,S145,,"Alternator rectifier system harness, in T/O to C166",,
EWL,S146,,"Alternator rectifier system harness, in T/O to C166",,
EWL,S151,,"Dash panel to headlamp junction harness, in T/O to C179",,
