EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EWH,#1 Coil On Plug (COP),3.4L SHO,12A369,"Rear bank of engine, above #1 cylinder",C159,7,A2,,,,,,
EWH,#2 Coil On Plug (COP),3.4L SHO,12A369,"Rear bank of engine, above #2 cylinder",C162,7,A3,,,,,,
EWH,#3 Coil On Plug (COP),3.4L SHO,12A369,"Rear bank of engine, above #3 cylinder",C167,7,A4,,,,,,
EWH,#4 Coil On Plug (COP),3.4L SHO,12A369,"Rear bank of engine, above #4 cylinder",C173,7,A7,,,,,,
EWH,#5 Coil On Plug (COP),3.4L SHO,12A369,"Front bank of engine, above #5 cylinder",C174,7,F3,,,,,,
EWH,#6 Coil On Plug (COP),3.4L SHO,12A369,"Front bank of engine, above #6 cylinder",C175,7,F4,,,,,,
EWH,#7 Coil On Plug (COP),3.4L SHO,12A369,"Front bank of engine, above #7 cylinder",C180,7,F5,,,,,,
EWH,#8 Coil On Plug (COP),3.4L SHO,12A369,"Front bank of engine, above #8 cylinder",C183,7,F6,,,,,,
EWH,A/C Clutch Cycling Pressure Switch,,N/A,"Right front of engine compartment, behind right headlamp",C160,10,B1,,,,,,
EWH,A/C Clutch Diode,,N/A,In engine compartment fuse/box relay,C117,10,B1,,,,,,
EWH,A/C Clutch Field Coil,3.0L 2V,N/A,"Right front of engine compartment, on front side of A/C compressor",C161,1,F2,,,,,,
EWH,A/C Clutch Field Coil,3.0L 2V FFV,N/A,"Right front of engine compartment, on front side of A/C compressor",C161,5,F2,,,,,,
EWH,A/C Clutch Field Coil,3.0L 4V,N/A,"Right front of engine compartment, on front side of A/C compressor",C161,3,F3,,,,,,
EWH,A/C Clutch Field Coil,3.4L SHO,N/A,"Right front of engine compartment, on front side of A/C compressor",C161,8,F3,,,,,,
EWH,A/C Clutch Relay,,14B192,In engine compartment fuse/box relay,C114,10,A1,054,006,054,006,,
EWH,A/C High Pressure Switch,3.0L 2V,N/A,"Front center of engine compartment, left of the power steering pump",C1069,1,F4,,,,,,
EWH,A/C High Pressure Switch,3.0L 2V FFV,N/A,"Front center of engine compartment, left of the power steering pump",C1069,5,F4,,,,,,
EWH,A/C High Pressure Switch,3.0L 4V,N/A,"Front center of engine compartment, left of the power steering pump",C1069,3,F5,,,,,,
EWH,A/C High Pressure Switch,3.4L SHO,N/A,"Front center of engine compartment, left of the power steering pump",C1069,8,F3,,,,,,
EWH,Accessory Delay Relay,,14B192,In I/P fuse panel,C209,24,C10,101,2,101,2,,
EWH,Air Bag Diagnostic Monitor,,14B321,Mounted on center tunnel under I/P,C277,23,F7,46,3,46,3,,
EWH,Air Temperature Door Variable Resistor,,N/A,Back of ICP to temperature control,C234,24,A8,,,,,,
EWH,All Door Lock Relay,,14B192,"In I/P, to the right of the steering column",C255,24,F5,110,6,110,6,,
EWH,All Door Unlock Relay,,14B192,"In I/P, to the right of the steering column",C256,24,F5,110,6,110,6,,
EWH,Ambient Temperature Sensor,,12A648,Center of radiator grille,C164,10,F6,,,,,,
EWH,Anti-Lock Brake Control Module,,2C346,Left front of engine compartment below battery,C1057,10,C10,42,4,42,4,,
EWH,Anti-Theft Disarm Switch,,N/A,Left side of rear cargo area,C498,18,A9,,,,,,
EWH,Ashtray Lamp,Sedan,N/A,Near center base of I/P,C210,15,B1,,,,,,
EWH,Ashtray Lamp,Wagon,N/A,Near center base of I/P,C210,18,B1,,,,,,
EWH,Autolamp Headlamp Relay,,14B192,"In relay center box, left of battery, behind headlamp",C123,10,B10,87,6,87,6,,
EWH,Autolamp Park Relay,,14B192,"In relay center box, left of battery, behind headlamp",C122,10,A10,87,6,87,6,,
EWH,Autolamp Switch,,N/A,Left side of I/P,C2037,23,B10,,,,,,
EWH,AX4N Transaxle,3.0L 4V,7000,"Left front of engine compartment, center atop of transaxle",C168,4,C10,29,6,29,6,,
EWH,AX4N Transaxle,3.4L SHO,7000,"Left front of engine compartment, center atop of transaxle",C168,8,C9,29,6,29,6,,
EWH,AX4S/AX4N Transaxle,3.0L 2V,7000,"Left front of engine compartment, center atop of transaxle",C168,1,D10,29,6,29,6,,
EWH,AX4S/AX4N Transaxle,3.0L 2V FFV,7000,"Left front of engine compartment, center atop of transaxle",C168,5,D10,29,6,29,6,,
EWH,Battery,,N/A,Left front of engine compartment,,,,,,,,,
EWH,Battery Saver Relay,,14B192,In I/P fuse panel,C204,24,C10,13,27,13,27,,
EWH,Blend Door Actuator,With EATC,N/A,On right side of A/C Plenum below I/P,C2046,23,F3,55,6,55,6,,
EWH,Blend Door Actuator,Without EATC,N/A,On right side of A/C Plenum below I/P,C2045,24,E1,54,5,54,5,,
EWH,Blower Motor,,19805,"Right side of I/P, below glove box on cowl",C216,23,F2,,,,,,
EWH,Blower Motor,,19805,"Right side of I/P, below glove box on cowl",C233,23,F2,,,,,,
EWH,Blower Motor Relay,,14B192,In engine compartment fuse/relay box,C127,10,B1,54,5,54,5,,
EWH,Blower Motor Speed Controller,,N/A,In right side of I/P,C215,23,E1,55,6,55,6,,
EWH,Blower Motor Speed Controller,,N/A,In right side of I/P,C2043,23,E1,55,6,55,6,,
EWH,Blower Resistor,,N/A,In I/P below center of glove box,C232,24,D1,,,,,,
EWH,Blower Switch,,N/A,"Centered in I/P, in the integrated control panel",C2034,24,A8,,,,,,
EWH,Brake Fluid Level Switch,,N/A,"Left rear of engine compartment, to the right of the master cylinder",C177,9,A6,,,,,,
EWH,Brake Pedal Position (BPP) Switch,,9F924,"Under I/P, upper front side of brake pedal",C2016,24,F7,,,,,,
EWH,Camshaft Position (CMP) Sensor,3.0L 2V,6B288,Left rear of engine block between cylinder heads,C178,2,D10,,,,,,
EWH,Camshaft Position (CMP) Sensor,3.0L 2V FFV,6B288,Left rear of engine block between cylinder heads,C178,6,D10,,,,,,
EWH,Camshaft Position (CMP) Sensor,3.0L 4V,6B288,"Right rear of engine cylinder head, below valve cover",C103,4,E1,,,,,,
EWH,Camshaft Position (CMP) Sensor,3.4L SHO,6B288,"Right rear of engine cylinder head, below valve cover",C103,7,F8,,,,,,
EWH,Camshaft Position (CMP) Sensor Shield,,N/A,"In wire harness, between camshaft position (CMP) sensor and powertrain control module (PCM)",,,,,,,,,
EWH,Canister Vent,Sedan,N/A,On under body of car below the spare tire well,C469,14,E10,,,,,,
EWH,Canister Vent,Wagon,N/A,On under body of car below the spare tire well,C469,19,A1,,,,,,
EWH,Cargo Lamp,,N/A,"Center of roof, front of liftgate header",C439,19,A5,,,,,,
EWH,Cargo Lamp Relay,,14B194,"Left rear corner of vehicle, below cargo flooring",C467,18,F8,89,6,89,6,,
EWH,Cellular Phone Antenna,Sedan,N/A,Center top of rear window,C418,14,A5,,,,,,
EWH,Cellular Phone Antenna,Wagon,N/A,Left rear side of vehicle,C418,18,F2,,,,,,
EWH,Cellular Phone Audio Shield,,N/A,On wiring harness near cellular phone support electronics,,,,,,,,,
