EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EWH,C100,,"On engine coolant reservoir, to engine coolant level switch",9,C1,,,,,,2,,,
EWH,C1000,,Mounted on right front brake sensor,9,B1,,,,,BK,2,,,
EWH,C1001,,Mounted on left front brake sensor,9,A10,,,,,BK,2,,,
EWH,C1002,3.0L 2V,On fuel injector #1,1,A5,,,,,BK,2,,,
EWH,C1002,3.0L 2V FFV,On fuel injector #1,5,A5,,,,,BK,2,,,
EWH,C1002,3.0L 4V,On fuel injector #1,3,A3,,,,,BK,2,,,
EWH,C1002,3.4L SHO,On fuel injector #1,8,C1,,,,,Y,2,,,
EWH,C1003,3.0L 2V,On fuel injector #2,1,A6,,,,,BK,2,,,
EWH,C1003,3.0L 2V FFV,On fuel injector #2,5,A6,,,,,BK,2,,,
EWH,C1003,3.0L 4V,On fuel injector #2,3,A5,,,,,BK,2,,,
EWH,C1003,3.4L SHO,On fuel injector #2,8,A5,,,,,Y,2,,,
EWH,C1004,3.0L 2V,On fuel injector #3,1,A7,,,,,BK,2,,,
EWH,C1004,3.0L 2V FFV,On fuel injector #3,5,A7,,,,,BK,2,,,
EWH,C1004,3.0L 4V,On fuel injector #3,3,A7,,,,,BK,2,,,
EWH,C1004,3.4L SHO,On fuel injector #3,8,F6,,,,,Y,2,,,
EWH,C1005,3.0L 2V,On fuel injector #4,2,F3,,,,,BK,2,,,
EWH,C1005,3.0L 2V FFV,On fuel injector #4,6,F3,,,,,BK,2,,,
EWH,C1005,3.0L 4V,On fuel injector #4,3,A4,,,,,BK,2,,,
EWH,C1005,3.4L SHO,On fuel injector #4,8,A9,,,,,Y,2,,,
EWH,C1006,3.0L 2V,On fuel injector #5,2,F4,,,,,BK,2,,,
EWH,C1006,3.0L 2V FFV,On fuel injector #5,6,F4,,,,,BK,2,,,
EWH,C1006,3.0L 4V,On fuel injector #5,3,A6,,,,,BK,2,,,
EWH,C1006,3.4L SHO,On fuel injector #5,8,D1,,,,,Y,2,,,
EWH,C1007,3.0L 2V,On fuel injector #6,2,F5,,,,,BK,2,,,
EWH,C1007,3.0L 2V FFV,On fuel injector #6,6,F5,,,,,BK,2,,,
EWH,C1007,3.0L 4V,On fuel injector #6,3,A8,,,,,BK,2,,,
EWH,C1007,3.4L SHO,On fuel injector #6,8,F5,,,,,Y,2,,,
EWH,C1008,3.0L 2V,"Near exhaust manifold, to heated oxygen sensor (HO2S) #11",2,A8,,,,,GN,4,,,
EWH,C1008,3.0L 2V FFV,"Near exhaust manifold, to heated oxygen sensor (HO2S) #11",21,E1,,,,,GN,4,,,
EWH,C1008,3.0L 4V,"Near exhaust manifold, to heated oxygen sensor (HO2S) #11",4,D1,,,,,GN,4,,,
EWH,C1008,3.4L SHO,"Near exhaust manifold, to heated oxygen sensor (HO2S) #11",21,A4,,,,,GN,4,,,
EWH,C1009,3.0L 2V,"Near catalytic converter #1, to heated oxygen sensor (HO2S) #12",1,A9,,,,,BL,4,,,
EWH,C1009,3.0L 4V,"Near catalytic converter #1, to heated oxygen sensor (HO2S) #12",4,A6,,,,,BL,4,,,
EWH,C1009,3.4L SHO,"Near catalytic converter #1, to heated oxygen sensor (HO2S) #12",21,A9,,,,,BL,4,,,
