EVTM,CELL,LOCPAGE,ZONE,NAME,QUALIFIER,TYPE,CONN_NAME,FREQUENCY
EWH,151,001,A10,C144,3.0L 2V,CON,,0
EWH,151,001,A10,Variable Assist Power Steering (VAPS) Actuator,3.0L 2V,COM,,0
EWH,151,001,A3,G103,3.0L 2V,GRD,,0
EWH,151,001,A4,C191,3.0L 2V,CON,,0
EWH,151,001,A4,Powertrain Control Module (PCM),3.0L 2V,COM,,0
EWH,151,001,A5,C1002,3.0L 2V,CON,,0
EWH,151,001,A5,Fuel Injector #1,3.0L 2V,COM,,0
EWH,151,001,A6,C1003,3.0L 2V,CON,,0
EWH,151,001,A6,Fuel Injector #2,3.0L 2V,COM,,0
EWH,151,001,A7,C1004,3.0L 2V,CON,,0
EWH,151,001,A7,Fuel Injector #3,3.0L 2V,COM,,0
EWH,151,001,A8,C143,3.0L 2V,CON,,0
EWH,151,001,A8,Heated Oxygen Sensor (HO2S) #22,3.0L 2V,COM,,0
EWH,151,001,A9,C1009,3.0L 2V,CON,,0
EWH,151,001,A9,Heated Oxygen Sensor (HO2S) #12,3.0L 2V,COM,,0
EWH,151,001,B1,C179,3.0L 2V,CON,,0
EWH,151,001,B1,Evaporative Emission (EVAP) Canister Purge Valve,3.0L 2V,COM,,0
EWH,151,001,B10,C1028,3.0L 2V,CON,,0
EWH,151,001,B10,Power Steering Pressure Switch,3.0L 2V,COM,,0
EWH,151,001,C1,C184,3.0L 2V,CON,,0
EWH,151,001,C1,Crankshaft Position (CKP) Sensor,3.0L 2V,COM,,0
EWH,151,001,C10,C1024,3.0L 2V,CON,,0
EWH,151,001,C10,Mass Air Flow (MAF) Sensor,3.0L 2V,COM,,0
EWH,151,001,D1,C1071,3.0L 2V,CON,,0
EWH,151,001,D1,C153,3.0L 2V,CON,,0
EWH,151,001,D1,C154,3.0L 2V,CON,,0
EWH,151,001,D1,Generator/Voltage Regulator,3.0L 2V,COM,,0
EWH,151,001,D10,AX4S/AX4N Transaxle,3.0L 2V,COM,,0
EWH,151,001,D10,C168,3.0L 2V,CON,,0
EWH,151,001,E10,C182,3.0L 2V,CON,,0
EWH,151,001,E10,Engine Coolant Temperature Sender,3.0L 2V,COM,,0
EWH,151,001,F2,A/C Clutch Field Coil,3.0L 2V,COM,,0
EWH,151,001,F2,C161,3.0L 2V,CON,,0
EWH,151,001,F4,A/C High Pressure Switch,3.0L 2V,COM,,0
EWH,151,001,F4,C1069,3.0L 2V,CON,,0
EWH,151,001,F5,C137,3.0L 2V,CON,,0
EWH,151,001,F5,Heated Oxygen Sensor (HO2S) #21,3.0L 2V,COM,,0
EWH,151,001,F6,C148,3.0L 2V,CON,,0
EWH,151,001,F6,Starter Motor/Solenoid,3.0L 2V,COM,,0
EWH,151,001,F7,C1018,3.0L 2V,CON,,0
EWH,151,001,F7,Ignition Coil,3.0L 2V,COM,,0
EWH,151,001,F8,C1031,3.0L 2V,CON,,0
EWH,151,001,F8,Radio Noise Capacitor,3.0L 2V,COM,,0
EWH,151,002,A2,C1029,3.0L 2V,CON,,0
EWH,151,002,A2,Delta Pressure Feedback EGR (DPFE) Sensor,3.0L 2V,COM,,0
EWH,151,002,A3,C189,3.0L 2V,CON,,0
EWH,151,002,A3,EGR Vacuum Regulator (EVR) Solenoid Valve,3.0L 2V,COM,,0
EWH,151,002,A4,C1043,3.0L 2V,CON,,0
