EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EWH,013,025,#1 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#1 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#2 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#2 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#3 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#3 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#4 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#4 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#5 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#5 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#6 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#6 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#7 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#7 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,013,025,#8 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,021,003,#8 Coil On Plug (COP),3.4L SHO,026,008,,,,,
EWH,010,003,A/C Clutch Field Coil,3.0L 2V,023,001,,,,,
EWH,010,003,A/C Clutch Field Coil,3.0L 4V,024,001,,,,,
EWH,010,003,A/C Clutch Field Coil,3.0L 2V FFV,025,001,,,,,
EWH,010,003,A/C Clutch Field Coil,3.4L SHO,026,001,,,,,
EWH,010,005,A/C Clutch Field Coil,3.0L 2V,033,001,,,,,
EWH,010,005,A/C Clutch Field Coil,3.0L 4V,033,001,,,,,
EWH,010,005,A/C Clutch Field Coil,3.0L 2V FFV,033,001,,,,,
EWH,010,005,A/C Clutch Field Coil,3.4L SHO,033,001,,,,,
EWH,010,005,A/C Clutch Relay,,033,001,,,,,
EWH,013,003,A/C Clutch Relay,,054,003,,,,,
EWH,010,003,A/C High Pressure Switch,3.0L 2V,054,002,,,,,
EWH,010,003,A/C High Pressure Switch,3.0L 4V,054,002,,,,,
EWH,010,003,A/C High Pressure Switch,3.0L 2V FFV,054,002,,,,,
EWH,010,003,A/C High Pressure Switch,3.4L SHO,054,002,,,,,
EWH,023,004,A/C High Pressure Switch,3.0L 2V,054,002,,,,,
EWH,023,004,A/C High Pressure Switch,3.0L 2V,055,002,,,,,
EWH,025,004,A/C High Pressure Switch,3.0L 2V FFV,054,002,,,,,
EWH,025,004,A/C High Pressure Switch,3.0L 2V FFV,055,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.0L 2V,054,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.0L 2V FFV,054,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.0L 4V,054,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.4L SHO,054,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.0L 2V,055,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.0L 2V FFV,055,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.0L 4V,055,002,,,,,
EWH,029,003,A/C High Pressure Switch,3.4L SHO,055,002,,,,,
EWH,059,004,Accessory Delay Relay,,013,019,,,,,
EWH,071,001,Accessory Delay Relay,,013,019,,,,,
EWH,100,001,Accessory Delay Relay,,013,019,,,,,
EWH,100,002,Accessory Delay Relay,,013,019,,,,,
EWH,010,008,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,010,009,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,013,004,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,013,010,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,014,001,Air Bag Diagnostic Monitor,,046,002,,,,,
EWH,059,004,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,060,005,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,061,004,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,066,002,Air Bag Diagnostic Monitor,,046,001,,,,,
EWH,024,010,Air Conditioner/Heater,,054,002,,,,,
EWH,026,010,Air Conditioner/Heater,,054,002,,,,,
EWH,010,009,All Door Lock Relay,,110,001,,,,,
EWH,013,022,All Door Lock Relay,,110,001,,,,,
EWH,111,001,All Door Lock Relay,,110,001,,,,,
EWH,010,009,All Door Unlock Relay,,110,001,,,,,
EWH,013,022,All Door Unlock Relay,,110,001,,,,,
EWH,013,024,All Door Unlock Relay,,110,001,,,,,
EWH,111,001,All Door Unlock Relay,,110,001,,,,,
EWH,010,001,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,010,002,Anti-Lock Brake Control Module,,042,003,,,,,
EWH,010,004,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,013,002,Anti-Lock Brake Control Module,,042,003,,,,,
EWH,013,014,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,013,018,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,014,001,Anti-Lock Brake Control Module,,042,002,,,,,
EWH,023,009,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,024,009,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,024,011,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,025,009,Anti-lock Brake Control Module,,042,001,,,,,
EWH,026,009,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,026,009,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,026,011,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,031,002,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,043,003,Anti-Lock Brake Control Module,,092,001,,,,,
EWH,060,004,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,060,005,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,061,004,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,064,001,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,064,002,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,090,002,Anti-Lock Brake Control Module,,042,001,,,,,
EWH,043,002,Anti-Lock Brakes,,042,002,,,,,
EWH,044,001,Anti-Theft,,112,003,,,,,
EWH,059,003,Anti-Theft,,112,004,,,,,
EWH,010,013,Anti-Theft Disarm Switch,,110,005,,,,,
EWH,013,008,Anti-Theft Disarm Switch,,110,005,,,,,
EWH,010,007,Ashtray Lamp,Sedan,044,002,,,,,
EWH,010,007,Ashtray Lamp,Wagon,044,002,,,,,
EWH,097,001,Autolamp Headlamp Relay,,087,002,,,,,
EWH,013,006,Autolamp Park Relay,,087,003,,,,,
EWH,013,016,Autolamp Park Relay,,087,003,,,,,
EWH,092,001,Autolamp Park Relay,,087,003,,,,,
EWH,112,003,Autolamp Park Relay,,087,003,,,,,
EWH,059,003,Autolamps/Delayed Exit,,087,004,,,,,
EWH,071,003,Autolamps/Delayed Exit,,087,004,,,,,
EWH,071,004,Autolamps/Delayed Exit,,087,003,,,,,
EWH,071,004,Autolamps/Delayed Exit,,087,005,,,,,
EWH,085,001,Autolamps/Delayed Exit,,087,001,,,,,
EWH,085,001,Autolamps/Delayed Exit,,087,002,,,,,
EWH,090,005,Autolamps/Delayed Exit,,087,003,,,,,
EWH,111,002,Autolamps/Delayed Exit,,087,002,,,,,
EWH,112,003,Autolamps/Delayed Exit,,087,002,,,,,
EWH,130,001,Autolamps/Delayed Exit,,087,004,,,,,
EWH,130,004,Autolamps/Delayed Exit,,087,004,,,,,
EWH,130,008,Autolamps/Delayed Exit,,087,004,,,,,
EWH,023,003,AX4S/AX4N Transaxle,3.0L 2V,029,002,,,,,
EWH,023,004,AX4S/AX4N Transaxle,3.0L 2V,029,002,,,,,
EWH,025,003,AX4S/AX4N Transaxle,3.0L 2V FFV,029,002,,,,,
EWH,025,004,AX4S/AX4N Transaxle,3.0L 2V FFV,029,002,,,,,
EWH,029,004,Backup Lamps,,093,001,,,,,
EWH,029,005,Backup Lamps,,093,002,,,,,
EWH,111,002,Backup Lamps,,093,002,,,,,
EWH,112,005,Backup Lamps,,093,001,,,,,
EWH,112,005,Backup Lamps,,093,002,,,,,
EWH,059,002,Battery Saver Relay,,013,021,,,,,
