EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXE,ABS EVAC and Fill Connector,,NA,"LH fender apron, on left wheelwell",C146,1,D10,,,42,4,,
EXE,A/C Clutch Cycling Pressure Switch,,19E561,"RF rear of engine compartment, on A/C accumulator",C166,1,A2,,,,,,
EXE,A/C Clutch Diode,,NA,In battery junction box,,,,,,,,,
EXE,A/C Clutch Relay,,NA,"LH side of engine compartment, above wheelwell",,,,,,,,,
EXE,A/C Compressor Clutch Coil,,2987,"Lower RH front of engine, part of A/C compressor assembly",C167,,,,,,,,
EXE,A/C Pressure Transducer,,NA,"RH front of engine compartment, on A/C line",C102,3,B1,,,,,,
EXE,Air Bag Sliding Contact,,14A664,"Top of steering column, below steering wheel",C250,6,F5,,,31,3,,
EXE,Air Bag Sliding Contact,,14A664,"Top of steering column, below steering wheel",C201,6,F5,,,31,3,,
EXE,Air Suspension Compressor Motor and Vent Solenoid,,5319/5311,RH front of engine compartment,C170,1,A1,,,,,,
EXE,Air Suspension Inhibit Switch,,NA,LH side of luggage compartment,C476,10,F7,,,,,,
EXE,Ambient Air Temperature Sensor,,19E702,"Front of vehicle, on LH side of upper radiator support",C172,1,F4,,,,,,
EXE,Anti-lock Brake Control Module,,2B373,"Lower LF of engine compartment, near cooling fan",C176,1,F9,,,42,3,,
EXE,Anti-theft Hood Switch,,19434,"In LH fender apron, front of shock tower",C149,1,B10,,,,,,
EXE,Audio/Climate Control Switch Assembly,,NA,Mounted in steering wheel,,,,,,,,,
EXE,Audio Shield,,NA,Near front control unit,,,,,,,,,
EXE,AX4N Transaxle,,7000,"LH side of engine, part of transaxle assembly",C179,1,F10,,,29,5,,
EXE,Battery,,10655,LH front of engine compartment,,3,A10,,,,,,
EXE,Battery Junction Box,,14A067,"LH side of engine compartment, above wheelwell",C142,1,E10,,,,,,
EXE,Battery Junction Box,,14A067,"LH side of engine compartment, above wheelwell",C143,1,E10,,,,,,
EXE,Blend Door Actuator,,NA,Behind lower right I/P,C2000,4,F6,,,55,6,,
EXE,Blower Motor,,19805,"Behind RH side of I/P, on A/C-heater plenum",C230,,,,,,,,
EXE,Blower Motor Relay,,NA,"LH side of engine compartment, above wheelwell",,,,,,,,,
EXE,Blower Motor Speed Controller,,19E624,"Behind RH side of I/P, on A/C-heater plenum",C227,4,A7,,,55,6,,
EXE,Blower Motor Speed Controller,,19E624,"Behind RH side of I/P, on A/C-heater plenum",C229,4,A7,,,55,6,,
EXE,Brake Fluid Level Switch,,2C251,"LH rear of engine compartment, on brake fluid reservoir",C182,3,A7,,,,,,
EXE,Brake Pedal Position (BPP) Switch,,13480,"Below I/P, on top of brake pedal support",C253,4,F3,,,,,,
EXE,Camshaft Position (CMP) Sensor,,6B288,"RF of engine, near C167",C122,3,A1,,,,,,
EXE,Canister Vent Solenoid,,9D866,Near inline C310F,C404,,,,,,,,
EXE,CD Changer,,18C830,Bottom of mini or in full console,C260,,,,,130,11,,
EXE,Compressor Relay,,14B193,"Front center of engine, above right cooling fan",C187,1,E1,,,,,,
EXE,Console Cigar Lighter,,NA,Front of center console,C336,,,,,,,,
EXE,Console Shift Illumination Lamp,,NA,Below center of console,C334,,,,,,,,
EXE,Crankshaft Position (CKP) Sensor,,6C315,"Lower right side of engine, near HO2S #22",C121,,,,,,,,
EXE,Crankshaft Position (CKP) Sensor Shield,,NA,In engine control sensor harness near CKP sensor,,,,,,,,,
EXE,Data Link Connector (DLC),,NA,Bottom LH side of I/P,C251,5,F5,,,14,4,,
EXE,Differential Pressure Feedback EGR (DPFE) Sensor,,9J460,Top left rear of engine,C1022,3,A4,,,,,,
EXE,Clock,,15000,Top center of I/P,C2009,5,A7,,,44,3,,
EXE,Digital Transmission Range (DTR) Sensor,,7F293,"LH side of engine, on top of transaxle",C180,1,E10,,,29,3,,
EXE,Driver Air Bag,,043B13,In center of steering wheel,C205,,,,,,,,
EXE,Driver Side Air Bag,,NA,In back of driver seat,C321,,,,,,,,
EXE,Driver Door Module,,NA,"Behind door panel, lower front corner",C506,8,A2,,,57,4,,
EXE,Driver Door Module,,NA,"Behind door panel, lower front corner",C522,8,A2,,,57,4,,
EXE,Driver Door Module,,NA,"Behind door panel, lower front corner",C523,8,A2,,,57,5,,
EXE,Driver Door Module,,NA,"Behind door panel, lower front corner",C524,8,A2,,,57,5,,
EXE,Driver Side Air Bag Crash Sensor,,NA,Under driver seat,C325,,,,,,,,
EXE,Dual Auxiliary Relay Box,,NA,"Center front of engine compartment, on upper radiator support",,1,F2,,,33,2,,
EXE,EGR Vacuum Regulator (EVR) Solenoid,,9D475,"Front of engine, near LH side of front valve cover",C191,2,F6,,,,,,
EXE,Electronic Automatic Temperature Control (EATC) Module,,18C612,Top center of I/P,C274,5,A8,,,55,5,,
EXE,Electronic Automatic Temperature Control (EATC) Module,,18C612,Top center of I/P,C275,5,A8,,,55,5,,
EXE,Electronic Day/Night Mirror,,17700,Top center of windshield,C917,10,A1,,,125,2,,
EXE,Engine Coolant Level Switch,,8A080,"Right side of engine compartment, near right shock tower",C148,1,A3,,,,,,
EXE,Engine Coolant Temperature (ECT) Sensor,,12A648,Top RH rear of engine,C1033,3,F3,,,,,,
EXE,Engine Cooling Fan,,8C607,"Center front of engine compartment, behind radiator, on cooling fan",C147,1,F5,,,,,,
EXE,Engine Oil Level Switch,,6C624,"Lower LH rear of engine, on rear of engine oil pan",C1019,3,F2,,,,,,
EXE,Engine Oil Pressure Switch,,9278,Lower center of engine,C1020,1,F3,,,,,,
EXE,EVAP Canister Purge Valve,,9C915,"Lower LR of engine compartment, on vapor canister",C126,3,A8,,,,,,
EXE,Exterior Rear View Mirror Switch,,17B676,"Center of LH front door, on armrest",C550,11,C1,,,124,6,,
EXE,Front Control Unit,,NA,Center of I/P,C224,5,A5,,,130,10,,
EXE,Front Control Unit,,NA,Center of I/P,C225,5,A5,,,130,10,,
EXE,Front Control Unit,,NA,Center of I/P,C231,5,A5,,,,,,
EXE,Front Heated Oxygen Sensor (HO2S) #12,,9F427,Lower left side of engine,C133,2,B10,,,,,,
EXE,Front Heated Oxygen Sensor (HO2S) #21,,9F472,"Lower LF of engine compartment, near oil pressure sensor",C1002,2,F5,,,,,,
EXE,Fuel Filler Door Release Solenoid,,28610,"RH side of luggage compartment, near fuel filler door",C414,8,B10,,,,,,
EXE,Fuel Filler Door Release Switch,,9B242,Lower corner of LF door,C503,8,E1,,,,,,
EXE,Fuel Injector #1,,9F593,Top of each cylinder,C192,2,D1,,,,,,
EXE,Fuel Injector #2,,9F593,Top of each cylinder,C193,2,D1,,,,,,
EXE,Fuel Injector #3,,9F593,Top of each cylinder,C194,2,D1,,,,,,
EXE,Fuel Injector #4,,9F593,Top of each cylinder,C195,2,D1,,,,,,
EXE,Fuel Injector #5,,9F593,Top of each cylinder,C196,2,F3,,,,,,
EXE,Fuel Injector #6,,9F593,Top of each cylinder,C197,2,F3,,,,,,
EXE,Fuel Injector #7,,9F593,Top of each cylinder,C123,2,F3,,,,,,
EXE,Fuel Injector #8,,9F593,Top of each cylinder,C125,2,F3,,,,,,
EXE,Fuel Pump Braided Shield,,NA,Near fuel pump,,,,,,,,,
EXE,Fuel Pump/Fuel Gauge Sender,,9H307,"Under RH rear of car, on top of fuel tank",C415,12,C10,,,23,16,,
EXE,Fuel Pump Module,,9D372,"In luggage compartment, RR corner",C467,9,C10,,,,,,
EXE,Fuel Rail Pressure Sensor,,NA,Top rear of engine,C118,3,A3,,,,,,
EXE,Fuse Junction Panel,,14A067,Below LH side of I/P,,4,D1,,,,,,
EXE,Generator,,1030010346,"Top RF of engine, above power steering pump",C154,3,A2,,,12,2,,
EXE,Glove Box Lamp,,15A563,"Behind RH side of I/P, in glove box",C241,5,A10,,,,,,
EXE,Handset,,NA,Right front passenger armrest,C306,7,A7,,,,,,
EXE,Heated Seat Switch Assembly,,NA,Behind LH side of I/P,C221,4,F5,,,119,3,,
EXE,Heated Seat Switch Assembly,,NA,Behind LH side of I/P,C222,4,F5,,,119,3,,
EXE,High Beam Relay,,NA,"LH side of engine compartment, above wheelwell",,,,,,,,,
EXE,High Mounted Stoplamp,,13A613,Top center of rear package tray,C435,11,B10,,,,,,
EXE,High Speed Cooling Fan Relay,,NA,"Center front of engine compartment, on upper radiator support",,1,F2,,,33,2,,
EXE,Horn Assembly,,13A803,"Lower LH front of engine compartment, on bumper reinforcement",C1004,1,F7,,,,,,
EXE,Horn Relay,,NA,"LH side of engine compartment, above wheelwell",,,,,,,,,
EXE,Idle Air Control (IAC) Valve,,9F715,"Top center of engine, above throttle body",C1007,2,F7,,,,,,
EXE,Ignition Coil On Plug #1,,NA,Near its fuel injector,C106,2,A4,,,,,,
