EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXE,C100,,LR of engine compartment,1,A7,,,,,BK,40,,,
EXE,C101,,"RF of engine compartment, on RF fender apron",1,C1,,,,,,8,,,
EXE,C102,,On A/C high pressure cutout fan switch,3,B1,,,,,,4,,,
EXE,C105,,Right side of engine compartment on shock actuator,2,B1,,,,,GY,4,,,
EXE,C106,,Near its fuel injector,2,A4,,,,,,2,,,
EXE,C107,,Near its fuel injector,2,A4,,,,,,2,,,
EXE,C108,,Near its fuel injector,2,A4,,,,,,2,,,
EXE,C109,,Near its fuel injector,2,A4,,,,,,2,,,
EXE,C110,,Near its fuel injector,1,A4,,,,,,2,,,
EXE,C111,,Near its fuel injector,1,A4,,,,,,2,,,
EXE,C112,,Near its fuel injector,1,A4,,,,,,2,,,
EXE,C113,,Near its fuel injector,1,A4,,,,,,2,,,
EXE,C117,,Top RH side of engine,,,,,,,,4,,,
EXE,C118,,"Top RH rear of engine, on fuel rail pressure sensor",3,A3,,,,,,3,,,
EXE,C121,,"Lower right hand side of engine, on CKP sensor",,,,,,,BK,2,,,
EXE,C122,,"RF of engine, on CMP sensor",3,A1,,,,,BK,2,,,
EXE,C123,,"Top of engine, on fuel injector #7",2,F3,,,,,BK,2,,,
EXE,C125,,"Top of engine, on fuel injector #8",2,F3,,,,,BK,2,,,
EXE,C126,,"LR of engine compartment, on canister purge valve",3,A8,,,,,BK,2,,,
EXE,C127,,"LR of engine compartment, near brake fluid reservoir",2,D10,,,150,2,GY,16,,,
EXE,C128,,"LR of engine compartment, near brake fluid reservoir",2,C10,,,,,BK,4,,,
EXE,C129,,"LR of engine compartment, on VAPS solenoid",2,A5,,,,,BK,2,,,
EXE,C130,,Top LH side of engine,,,,,,,,4,,,
EXE,C131,,Lower LH front of engine compartment,2,C10,,,150,3,BK,16,,,
EXE,C132,,"Lower right of engine, on HO2S #22",3,F4,,,,,BU,4,,,
EXE,C133,,"Lower left of engine, on HO2S #12",2,B10,,,,,BU,4,,,
EXE,C137,,RF of engine compartment,1,E1,,,150,3,,8,,,
EXE,C138,,LF of engine compartment,3,F7,,,150,4,,8,,,
EXE,C139,,"LH rear of engine compartment, on cowl panel",1,A8,,,150,5,BN,40,,,
EXE,C140,,"LH rear of engine compartment, on cowl panel",2,A9,,,150,6,GY,40,,,
EXE,C142,,On the battery junction box,1,E10,,,,,,1,,,
EXE,C143,,On the battery junction box,1,E10,,,,,,1,,,
EXE,C146,,"LH fender apron, on left wheelwell",1,D10,,,42,4,BK,8,,,
EXE,C147,,"LF of engine compartment, on engine cooling fan",1,F5,,,,,BK,3,,,
EXE,C148,,"Right side of engine compartment, on engine coolant level switch",1,A3,,,,,,2,,,
EXE,C149,,"Top LH fender apron, on C149 anti-theft hood switch",1,B10,,,,,,2,,,
EXE,C151,,"Top LH side of safety wall, on windshield wiper motor",3,A6,,,81,3,GY,5,,,
EXE,C152,,"Mounted to left shock tower, on speed control servo",2,A8,,,31,3,BK,10,,,
EXE,C153,,Lower LH front of engine,1,F8,,,,,,1,,,
EXE,C154,,"Top RH front of engine, on generator",3,A2,,,12,2,BK,3,,,
EXE,C166,,"RF rear of engine compartment, on A/C clutch cycling pressure switch",1,A2,,,,,GY,4,,,
EXE,C167,,"Lower RH front of engine, on A/C compressor clutch coil",,,,,,,BK,2,,,
EXE,C169,,"Top center of engine, on intake air temperature (IAT) sensor",3,D10,,,,,BK,2,,,
EXE,C170,,"RH front of engine compartment, near air suspension compressor motor and vent solenoid",1,A1,,,,,,4,,,
EXE,C172,,"Front of vehicle, on LH side of upper radiator support",1,F4,,,,,BN,2,,,
EXE,C176,,"Lower LF of engine compartment, on anti-lock brake control module",1,F9,,,42,3,BK,25,,,
EXE,C179,,"Top front of transaxle, on AX4N transaxle",1,F10,,,29,5,BN,10,,,
EXE,C180,,"LH side of transaxle, on Digital Transmission Range (DTR) sensor",1,E10,,,29,5,BK,12,,,
EXE,C182,,"LH rear of engine compartment, on brake fluid level switch",3,A7,,,,,GY,3,,,
EXE,C187,,"Front center of engine compartment, on compressor relay",1,E1,,,,,,4,,,
EXE,C191,,"LH front of engine, on EGR vacuum regulator (EVR) solenoid",2,F6,,,,,BK,2,,,
EXE,C192,,"Top of engine, on fuel injector #1",2,D1,,,,,BK,2,,,
EXE,C193,,"Top of engine, on fuel injector #2",2,D1,,,,,BK,2,,,
EXE,C194,,"Top of engine, on fuel injector #3",2,D1,,,,,BK,2,,,
EXE,C195,,"Top of engine, on fuel injector #4",2,D1,,,,,BK,2,,,
EXE,C196,,"Top of engine, on fuel injector #5",2,F3,,,,,BK,2,,,
EXE,C197,,"Top of engine, on fuel injector #6",2,F3,,,,,BK,2,,,
EXE,C200,,Behind center of I/P near C274 electronic automatic temperature control (EATC) module,5,F9,,,150,7,BK,10,,,
EXE,C201,,"Left side of I/P, on Microphone",6,C10,,,135,7,BK,4,,,
EXE,C202,,"Left side of I/P, near a piller T/O to EATC module",4,B1,,,150,7,BK,10,,,
EXE,C205,,To center of steering column,,,,,,,,,,,
EXE,C206,,"Left side of I/P, on lighting control module",5,F3,,,58,5,BK,22,,,
EXE,C207,,"Left side of I/P, on lighting control module",5,F3,,,58,7,BK,13,,,
EXE,C208,,"Left side of I/P, on lighting control module",5,F3,,,58,6,BK,12,,,
EXE,C209,,Near ashtray illumination lamp,,,,,,,,2,,,
EXE,C210,,"Behind RH side of I/P, near LH side of glove box",5,E10,,,150,8,GY,8,,,
EXE,C211,,Behind lower left side of I/P,5,F3,,,58,7,,13,,,
EXE,C212,F,Behind lower left side of I/P,4,A3,,,150,9,,84,,,
EXE,C212,M,Behind lower left side of I/P,4,A3,,,150,9,,84,,,
EXE,C217,F,Behind LH side of I/P,4,A5,,,,,,84,,,
EXE,C217,M,Behind LH side of I/P,4,A5,,,,,,84,,,
EXE,C218,,"Below I/P, on DEAC switch",4,E1,,,,,,2,,,
EXE,C221,,"Behind LH side of I/P, on heated seat switch",4,F5,,,119,3,,6,,,
EXE,C222,,"Behind LH side of I/P, on heated seat switch",4,F5,,,119,3,,8,,,
EXE,C224,,Behind center of I/P on radio,5,A5,,,,,BK,20,,,
EXE,C225,,Behind center of I/P on radio,5,A5,,,,,,8,,,
EXE,C226,,Behind lower side of I/P near wiper control module,4,F4,,,150,8,,8,,,
EXE,C227,,"Behind RH side of I/P, on blower motor speed controller",,,,,,,,,,,
EXE,C228,,Middle of instrument panel,6,A5,,,112,3,,4,,,
EXE,C229,,"Behind RH side of I/P, on blower motor speed controller",4,A7,,,55,6,BK,5,,,
EXE,C230,,"Behind RH side of I/P, on A/C-heater plenum",,,,,,,,2,,,
EXE,C231,,"Behind center of I/P, on radio",5,A5,,,,,GY,16,,,
EXE,C236,,"RH side of steering column, on ignition switch",6,A4,,,13,21,GY,15,,,
