EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXE,010,001,A/C Clutch Diode,,055,002,,,,,
EXE,010,001,A/C Compressor Clutch Coil,,055,002,,,,,
EXE,010,001,Anti-Theft Hood Switch,,112,002,,,,,
EXE,010,001,Battery Junction Box,,020,001,,,,,
EXE,010,001,Brake Fluid Level Switch,,063,002,,,,,
EXE,010,001,LF Shock Actuator,,040,004,,,,,
EXE,010,001,PCM Power Relay,,023,001,,,,,
EXE,010,001,S106,,010,002,K,,,,
EXE,010,001,S108,,010,002,J,,,,
EXE,010,001,Speed Control Servo,,031,001,,,,,
EXE,010,002,ABS Evac And Fill Connector,,042,001,,,,,
EXE,010,002,Anti-Lock Brake Control Module,,042,001,,,,,
EXE,010,002,C138,,010,001,K,,,,
EXE,010,002,C138,,010,001,J,,,,
EXE,010,002,Engine Cooling Fan,,023,009,,,,,
EXE,010,002,Engine Cooling Fan,,033,001,,,,,
EXE,010,002,Left Cornering Lamp,,090,002,,,,,
EXE,010,002,Left Headlamp,,087,003,,,,,
EXE,010,002,LF Park/Turn Lamp,,090,002,,,,,
EXE,010,002,LF Park/Turn Lamp,,092,002,,,,,
EXE,010,002,LF Side Lamp,,092,002,,,,,
EXE,010,003,Air Suspension Compressor Motor And Vent Solenoid,,040,002,,,,,
EXE,010,003,Compressor Relay,,040,002,,,,,
EXE,010,003,Engine Coolant Level Switch,,063,004,,,,,
EXE,010,003,Horn Assembly,,044,001,,,,,
EXE,010,003,RF Park/Turn Lamp,,090,002,,,,,
EXE,010,003,RF Park/Turn Lamp,,092,002,,,,,
EXE,010,003,RF Shock Actuator,,040,004,,,,,
EXE,010,003,RF Side Lamp,,092,002,,,,,
EXE,010,003,Right Cornering Lamp,,090,002,,,,,
EXE,010,003,Right Headlamp,,087,003,,,,,
EXE,010,003,Washer Fluid Level Switch,,063,004,,,,,
EXE,010,003,Washer Pump Motor,,081,001,,,,,
EXE,010,004,CD Changer,,130,004,,,,,
EXE,010,004,Crankshaft Position (CKP) Sensor Shield,,021,002,,,,,
EXE,010,004,Front Control Unit,,130,001,,,,,
EXE,010,004,Mass Air Flow (MAF) Sensor,,023,002,,,,,
EXE,010,004,Powertrain Control Module (PCM),,023,002,,,,,
EXE,010,004,Powertrain Control Module (PCM),,023,006,,,,,
EXE,010,005,C217,F,010,006,A,,,,
EXE,010,005,C217,M,010,006,A,,,,
EXE,010,005,C518,,010,006,B,,,,
EXE,010,005,Driver Door Module,,057,001,,,,,
EXE,010,005,Left Anti-Theft Disarm Switch,,112,002,,,,,
EXE,010,005,LF Door Ajar Switch,,057,003,,,,,
EXE,010,005,LF Seat Module,,123,002,,,,,
EXE,010,005,Lighting Control Module (LCM),,058,001,,,,,
EXE,010,005,Low Tire Pressure Module,,118,001,,,,,
EXE,010,005,LR Door Ajar Switch,,058,002,,,,,
EXE,010,005,Restraint Control Module (RCM),,046,001,,,,,
EXE,010,005,RF Door Ajar Switch,,058,002,,,,,
EXE,010,005,RR Door Ajar Switch,,058,002,,,,,
EXE,010,006,Data Link Connector (DLC),,014,001,,,,,
EXE,010,006,Exterior Rear View Mirror Switch,,124,001,,,,,
EXE,010,006,Heated Seat Switch Assembly,,119,001,,,,,
EXE,010,006,Luggage Compartment Lid Release Switch,,113,001,,,,,
EXE,010,006,Passive Anti-Theft Transceiver (PATS) Module,,112,001,,,,,
EXE,010,006,S224,,010,007,D,,,,
EXE,010,006,S244,,010,005,A,,,,
EXE,010,006,S244,,010,005,B,,,,
EXE,010,006,Virtual Image Instrument Cluster,,063,003,,,,,
EXE,010,007,C212,F,010,008,C,,,,
EXE,010,007,C212,M,010,008,C,,,,
EXE,010,007,C217,F,010,009,E,,,,
EXE,010,007,C217,M,010,009,E,,,,
EXE,010,007,Driver Door Module,,057,001,,,,,
EXE,010,007,Electronic Day/Night Mirror,,125,001,,,,,
EXE,010,007,Left Exterior Rear View Mirror,,056,002,,,,,
EXE,010,007,LF 2-Way Power Lumbar Switch,,122,001,,,,,
EXE,010,007,LF Door Courtesy Lamp,,089,004,,,,,
EXE,010,007,LF Door Lock Switch,,111,002,,,,,
EXE,010,007,LF Heated Seat Module,,119,002,,,,,
EXE,010,007,LF Seat Module,,123,002,,,,,
EXE,010,007,LR Window Switch,,100,003,,,,,
EXE,010,007,Roof Opening Panel Switch,,101,001,,,,,
EXE,010,007,S208,,010,009,O,,,,
EXE,010,007,S218,,010,006,D,,,,
EXE,010,007,Safety Belt Switch,,058,002,,,,,
EXE,010,008,Ignition Switch,,013,009,,,,,
EXE,010,008,LH I/P Courtesy Lamp,,089,004,,,,,
EXE,010,008,Light Sensor/Amplifier,,087,002,,,,,
EXE,010,008,Lighting Control Module (LCM),,058,001,,,,,
EXE,010,008,S224,,010,007,C,,,,
EXE,010,008,Shift Lock Actuator,6 Passenger,037,001,,,,,
EXE,010,008,Wiper Control Module (WCM),,081,001,,,,,
EXE,010,009,Air Bag Sliding Contact,,055,004,,,,,
EXE,010,009,C217,F,010,007,O,,,,
EXE,010,009,C217,M,010,007,O,,,,
EXE,010,009,Clock,,044,002,,,,,
EXE,010,009,Console Cigar Lighter,,044,001,,,,,
EXE,010,009,Console Shift Illumination Lamp,,071,004,,,,,
EXE,010,009,Data Link Connector (DLC),,014,001,,,,,
EXE,010,009,Electronic Automatic Temperature Control (EATC) Module,,055,003,,,,,
EXE,010,009,Glove Box Lamp,,089,002,,,,,
EXE,010,009,I/P Cigar Lighter,,044,001,,,,,
EXE,010,009,Message Center Switch,,063,005,,,,,
EXE,010,009,RH I/P Courtesy Lamp,,089,004,,,,,
EXE,010,009,S224,,010,007,E,,,,
EXE,010,009,Shift Lock Actuator,5 Passenger,037,001,,,,,
EXE,010,009,Virtual Image Instrument Cluster,,063,003,,,,,
EXE,010,010,Blower Motor Speed Controller,,055,003,,,,,
EXE,010,010,I/P Ashtray Lamp,,071,002,,,,,
EXE,010,010,Insulation Displacement Connector (IDC),,089,003,,,,,
EXE,010,010,Power Point,,044,001,,,,,
EXE,010,010,Remote Emergency Satellite Cellular Unit (RESCU) Console,,135,002,,,,,
EXE,010,010,Remote Emergency Satellite Cellular Unit (RESCU) Warning Lamp,,135,002,,,,,
EXE,010,010,RF 2-Way Power Lumbar Switch,,122,001,,,,,
EXE,010,010,RF Door Courtesy Lamp,,089,004,,,,,
EXE,010,010,RF Door Lock Switch,,111,002,,,,,
EXE,010,010,RF Heated Seat Module,,119,002,,,,,
EXE,010,010,RF Seat Control Switch,,120,001,,,,,
EXE,010,010,RF Window Switch,,100,002,,,,,
EXE,010,010,Right Exterior Rear View Mirror,,056,002,,,,,
EXE,010,010,RR Window Switch,,100,002,,,,,
EXE,010,011,C400,,010,012,H,,,,
EXE,010,011,C460,,010,012,G,,,,
EXE,010,011,Fuel Filler Door Release Solenoid,,116,001,,,,,
EXE,010,011,LR Air Spring Solenoid,,040,005,,,,,
EXE,010,011,LR Shock Actuator,,040,005,,,,,
EXE,010,011,Luggage Compartment Lid Ajar Switch,,113,001,,,,,
EXE,010,011,Phone Support Electronics (PSE) Module,,135,001,,,,,
EXE,010,011,Phone Support Electronics (PSE) Module,,135,003,,,,,
EXE,010,011,Remote Emergency Satellite Cellular Unit (RESCU) Module,,135,003,,,,,
EXE,010,011,RR Air Spring Solenoid,,040,005,,,,,
EXE,010,011,RR Shock Actuator,,040,005,,,,,
EXE,010,012,Left Reversing Lamp,,093,001,,,,,
EXE,010,012,License Lamp,,092,003,,,,,
EXE,010,012,LR Park/Stop/Turn Lamp #1,,090,003,,,,,
EXE,010,012,LR Park/Stop/Turn Lamp #1,,092,004,,,,,
EXE,010,012,LR Park/Stop/Turn Lamp #2,,090,003,,,,,
EXE,010,012,LR Park/Stop/Turn Lamp #2,,092,004,,,,,
EXE,010,012,LR Side Lamp #1,,092,003,,,,,
EXE,010,012,LR Side Lamp #2,,092,003,,,,,
EXE,010,012,Right Reversing Lamp,,093,001,,,,,
EXE,010,012,S411,,010,011,G,,,,
EXE,010,012,S411,,010,011,H,,,,
EXE,010,013,Fuel Pump Braided Shield,,023,011,,,,,
EXE,010,013,Fuel Pump Module,,023,011,,,,,
EXE,010,013,High Mounted Stoplamp,,090,004,,,,,
EXE,010,013,Luggage Compartment Lid Anti-Theft Switch,,112,002,,,,,
EXE,010,013,RR Park/Stop/Turn Lamp #1,,090,003,,,,,
EXE,010,013,RR Park/Stop/Turn Lamp #1,,092,004,,,,,
EXE,010,013,RR Park/Stop/Turn Lamp #2,,090,003,,,,,
EXE,010,013,RR Park/Stop/Turn Lamp #2,,092,004,,,,,
EXE,010,013,RR Side Lamp #1,,092,003,,,,,
EXE,010,013,RR Side Lamp #2,,092,003,,,,,
EXE,010,013,Subwoofer Amplifier,,130,003,,,,,
EXE,010,013,Vehicle Dynamic Module (VDM),,040,001,,,,,
EXE,012,001,Battery Junction Box,,013,001,,,,,
EXE,012,001,Battery Junction Box,,013,004,,,,,
EXE,012,001,Fuse Junction Panel,,013,010,,,,,
EXE,012,001,Ignition Switch,,013,009,,,,,
EXE,012,001,Ignition Switch,,149,002,,,,,
EXE,012,001,Power Distribution,,013,004,,,,,
EXE,012,001,Power Distribution,,013,015,,,,,
EXE,012,001,Starter Motor Assembly,,020,001,,,,,
EXE,012,001,Virtual Image Instrument Cluster,,063,001,,,,,
EXE,012,001,Virtual Image Instrument Cluster,,063,003,,,,,
EXE,013,001,Battery Junction Box,,013,002,A,,,,
EXE,013,001,Blower Motor Relay,,055,003,,,,,
EXE,013,001,Dual Auxiliary Relay Box,,023,009,,,,,
EXE,013,001,Dual Auxiliary Relay Box,,033,001,,,,,
EXE,013,001,Generator,,012,001,,,,,
EXE,013,001,Starter Motor Assembly,,020,001,,,,,
EXE,013,002,ABS Evac And Fill Connector,,042,001,,,,,
EXE,013,002,Anti-Lock Brake Control Module,,042,001,,,,,
EXE,013,002,Battery Junction Box,,013,003,B,,,,
EXE,013,002,Battery Junction Box,,013,001,A,,,,
EXE,013,002,Compressor Relay,,040,002,,,,,
EXE,013,002,Fuse Junction Panel,,013,003,C,,,,
EXE,013,002,Power Distribution,,013,012,,,,,
EXE,013,002,Power Distribution,,013,017,,,,,
EXE,013,003,Battery Junction Box,,013,004,D,,,,
EXE,013,003,Battery Junction Box,,013,002,B,,,,
EXE,013,003,PCM Power Relay,,023,001,,,,,
EXE,013,003,Power Distribution,,013,017,,,,,
EXE,013,003,Power Distribution,,013,011,,,,,
EXE,013,003,Power Distribution,,013,011,,,,,
EXE,013,003,Power Distribution,,013,013,,,,,
EXE,013,003,Rear Window Defrost Relay,,056,001,,,,,
