EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,manual transmission,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,automatic transmission,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,with Bosch 5.3 ABS,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,Stop Lamps,,"engine compartment, bottom, LH-side, rear",,2,B2,,,,,,
EXP,ABS control module,Duratec-VE,,"engine compartment, bottom, LH-side, rear",,19,C2,,,,,,
EXP,ABS control module,Duratec-VE,,"engine compartment, bottom, LH-side, rear",,5,C1,,,,,,
