EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXP,,001,Stop lamp switch,with Bosch 5.3 ABS,,
EXP,,001,Data Link Connector (DLC),with Bosch 5.3 ABS,,
EXP,,001,Central Junction Box (CJB),with Bosch 5.3 ABS,,
EXP,,001,Battery Junction Box (BJB),with Bosch 5.3 ABS,,
EXP,,001,ABS control module,with Bosch 5.3 ABS,,
EXP,,001,Instrument cluster,with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, right front",with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, right rear",with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, left front",with Bosch 5.3 ABS,,
EXP,,002,ABS control module,with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, left rear",with Bosch 5.3 ABS,,
EXP,,001,Central Junction Box (CJB),with Bosch 5.3 ABS,,
EXP,,001,Data Link Connector (DLC),with Bosch 5.3 ABS,,
EXP,,001,Battery Junction Box (BJB),with Bosch 5.3 ABS,,
EXP,,001,ABS control module,with Bosch 5.3 ABS,,
EXP,,001,Instrument cluster,with Bosch 5.3 ABS,,
EXP,,002,Stop lamp switch,with Bosch 5.3 ABS,,
EXP,,002,Central Junction Box (CJB),with Bosch 5.3 ABS,,
EXP,,002,Traction Control System (TCS) disable switch,with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, right front",with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, right rear",with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, left front",with Bosch 5.3 ABS,,
EXP,,002,ABS control module,with Bosch 5.3 ABS,,
EXP,,002,"Wheel speed sensor, left rear",with Bosch 5.3 ABS,,
EXP,,001,Engine cooling fan motor,ZETEC-VCT with air conditioning,,
EXP,,001,Second cooling fan motor,ZETEC-VCT with air conditioning,,
EXP,,001,Engine cooling fan resistor,ZETEC-VCT with air conditioning,,
EXP,,001,High speed engine cooling fan relay,ZETEC-VCT with air conditioning,,
EXP,,001,Battery Junction Box (BJB),ZETEC-VCT with air conditioning,,
EXP,,001,Dual pressure switch,ZETEC-VCT with air conditioning,,
EXP,,001,Powertrain control module (PCM),ZETEC-VCT with air conditioning,,
EXP,,001,Engine cooling fan relay,ZETEC-VCT with air conditioning,,
EXP,,001,PCM power relay,ZETEC-VCT with air conditioning,,
EXP,,002,Engine cooling fan motor,ZETEC-VCT without air conditioning,,
EXP,,002,Engine cooling fan resistor,ZETEC-VCT without air conditioning,,
EXP,,002,High speed engine cooling fan relay,ZETEC-VCT without air conditioning,,
EXP,,002,Battery Junction Box (BJB),ZETEC-VCT without air conditioning,,
EXP,,002,Powertrain control module (PCM),ZETEC-VCT without air conditioning,,
EXP,,002,Engine cooling fan relay,ZETEC-VCT without air conditioning,,
EXP,,002,PCM power relay,ZETEC-VCT without air conditioning,,
EXP,,001,Second cooling fan motor,Duratec-VE with air conditioning,,
EXP,,001,Battery Junction Box (BJB),Duratec-VE with air conditioning,,
EXP,,001,Dual pressure switch,Duratec-VE with air conditioning,,
EXP,,001,Powertrain control module (PCM),Duratec-VE with air conditioning,,
EXP,,001,Engine cooling fan resistor,Duratec-VE with air conditioning,,
EXP,,001,Engine cooling fan relay,Duratec-VE with air conditioning,,
EXP,,001,High speed engine cooling fan relay,Duratec-VE with air conditioning,,
EXP,,001,Engine cooling fan motor,Duratec-VE with air conditioning,,
EXP,,001,PCM power relay,Duratec-VE with air conditioning,,
EXP,,002,Second cooling fan motor,Duratec-VE without air conditioning,,
EXP,,002,Battery Junction Box (BJB),Duratec-VE without air conditioning,,
EXP,,002,Powertrain control module (PCM),Duratec-VE without air conditioning,,
