EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,COLOR,TERMINAL,ITEMID_,SORT,FREQUENCY
EXP,,manual transmission,under center console,9,D1,,,,,,,,,
EXP,,automatic transmission,under center console,9,D1,,,,,,,,,
EXP,,"without ABS, Data Link Connector, pins 2, 7, 10 and 13",under center console,9,D1,,,,,,,,,
EXP,,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13",under center console,9,D1,,,,,,,,,
EXP,,,under center console,9,D1,,,,,,,,,
EXP,,,on steering column,,,,,,,,,,,
EXP,,,above glove box,19,B5,,,,,,,,,
EXP,,with tachometer,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,with variable intermittent wipers,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,Lights-ON-warning,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,without tachometer,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,Parking Lamps,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,without fixed intermittent wipe,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,,"under dash panel, on Central Junction Box (CJB)",18,D1,,,,,,,,,
EXP,,Duratec-VE,in Battery Junction Box (BJB),15,E5,,,,,,,,,
EXP,,ZETEC-VCT,in Battery Junction Box (BJB),15,E5,,,,,,,,,
EXP,,,in Battery Junction Box (BJB),15,E5,,,,,,,,,
EXP,,,in Battery Junction Box (BJB),15,F2,,,,,,,,,
EXP,,,in Battery Junction Box (BJB),15,C1,,,,,,,,,
EXP,,,in Battery Junction Box (BJB),15,F4,,,,,,,,,
EXP,,,in Battery Junction Box (BJB),15,F4,,,,,,,,,
EXP,,,in Central Junction Box (CJB),17,F4,,,,,,,,,
EXP,,,in Central Junction Box (CJB),17,E5,,,,,,,,,
EXP,,with tachometer,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,without tachometer,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,with speed control,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,Power mirrors,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,without speed control,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,with anti-theft alarm,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,without anti-theft alarm,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,higher option content,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,lower option content,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,,"RH A-pillar, bottom",8,A3,,,,,,,,,
EXP,,,in Central Junction Box (CJB),17,C5,,,,,,,,,
EXP,,,in Central Junction Box (CJB),,,,,,,,,,,
EXP,,,in Battery Junction Box (BJB),15,D5,,,,,,,,,
EXP,,with tachometer,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,"without ABS, Data Link Connector, pins 2, 7, 10 and 13","behind dash panel, LH-side",,,,,,,,,,,
EXP,,without ABS,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,without tachometer,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,Turn Signal and Hazard Lamps,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,"with Bosch 5.3 ABS, Data Link Connector, pins 2, 7, 10 and 13","behind dash panel, LH-side",,,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,higher option content,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,Stop Lamps,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,lower option content,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,"Headlamps, higher option content","behind dash panel, LH-side",,,,,,,,,,,
EXP,,"Headlamps, lower option content","behind dash panel, LH-side",,,,,,,,,,,
EXP,,Duratec-VE,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,ZETEC-VCT manual transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,ZETEC-VCT automatic transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,Duratec-VE,cylinder head,32,F5,,,,,,,,,
EXP,,Duratec-VE,cylinder head,31,F4,,,,,,,,,
EXP,,with speed control,in Battery Junction Box (BJB),15,E5,,,,,,,,,
EXP,,Power mirrors,in passenger door,,,,,,,,,,,
EXP,,with variable intermittent wipers,in Central Junction Box (CJB),17,D5,,,,,,,,,
EXP,,without fixed intermittent wipe,in Central Junction Box (CJB),17,D5,,,,,,,,,
EXP,,,in Central Junction Box (CJB),17,D5,,,,,,,,,
EXP,,Power windows,in driver door,25,D5,,,,,,,,,
EXP,,,in driver door,25,D5,,,,,,,,,
EXP,,with power windows,in driver door,25,D5,,,,,,,,,
EXP,,Power windows,in driver door,25,D5,,,,,,,,,
EXP,,,in driver door,25,D5,,,,,,,,,
EXP,,With anti-theft/central locking module,in passenger door,,,,,,,,,,,
EXP,,Without anti-theft/central locking module,in passenger door,,,,,,,,,,,
EXP,,higher option content without anti-theft/central locking module,in passenger door,,,,,,,,,,,
EXP,,lower option content without anti-theft/central locking module,in passenger door,,,,,,,,,,,
EXP,,higher option content with anti-theft/central locking module,in passenger door,,,,,,,,,,,
EXP,,lower option content with anti-theft/central locking module,in passenger door,,,,,,,,,,,
EXP,,,in passenger door,,,,,,,,,,,
EXP,,,in Central Junction Box (CJB),17,D5,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"wheel well, front, LH-side",7,C5,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"wheel well, front, RH-side",7,C5,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"under rear seats, LH-side",13,A2,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"under rear seats, LH-side",10,C4,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"under rear seats, RH-side",13,A2,,,,,,,,,
EXP,,with tachometer,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,without ABS,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,with variable intermittent wipers,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,without tachometer,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,with speed control,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,Overspeed warning automatic transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,speed control automatic transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,without speed control,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,with Bosch 5.3 ABS,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,ZETEC-VCT manual transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,Overspeed warning manual transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,ZETEC-VCT automatic transmission,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,without fixed intermittent wipe,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,,"behind dash panel, LH-side",,,,,,,,,,,
EXP,,Duratec-VE,"engine, top",32,B5,,,,,,,,,
EXP,,Duratec-VE,"engine, top",31,B5,,,,,,,,,
EXP,,With anti-theft/central locking module,in RH rear door,26,E3,,,,,,,,,
EXP,,Without anti-theft/central locking module,in RH rear door,26,E3,,,,,,,,,
EXP,,higher option content without anti-theft/central locking module,in RH rear door,26,E3,,,,,,,,,
EXP,,lower option content without anti-theft/central locking module,in RH rear door,26,E3,,,,,,,,,
EXP,,higher option content with anti-theft/central locking module,in RH rear door,26,E3,,,,,,,,,
EXP,,lower option content with anti-theft/central locking module,in RH rear door,26,E3,,,,,,,,,
EXP,,,in RH rear door,26,E3,,,,,,,,,
EXP,,With anti-theft/central locking module,in LH rear door,26,E3,,,,,,,,,
EXP,,Without anti-theft/central locking module,in LH rear door,26,E3,,,,,,,,,
EXP,,higher option content without anti-theft/central locking module,in LH rear door,26,E3,,,,,,,,,
EXP,,lower option content without anti-theft/central locking module,in LH rear door,26,E3,,,,,,,,,
