EVTM,Name,Qualifier,Location,Locpage,zone
,F1,,in Battery Junction Box (BJB),B5,EXP
,F2,ZETEC-VCT without air conditioning,in Battery Junction Box (BJB),B5,EXP
,F2,Duratec-VE without air conditioning,in Battery Junction Box (BJB),B5,EXP
,F2,Duratec-VE with air conditioning,in Battery Junction Box (BJB),B5,EXP
,F2,ZETEC-VCT with air conditioning,in Battery Junction Box (BJB),B5,EXP
,F2,,in Battery Junction Box (BJB),B5,EXP
,F3,with Bosch 5.3 ABS,in Battery Junction Box (BJB),B5,EXP
,F3,,in Battery Junction Box (BJB),B5,EXP
,F4,Duratec-VE,in Battery Junction Box (BJB),A3,EXP
,F4,ZETEC-VCT,in Battery Junction Box (BJB),A3,EXP
,F4,,in Battery Junction Box (BJB),A3,EXP
,F5,higher option content,in Battery Junction Box (BJB),A3,EXP
,F5,Fog lamps,in Battery Junction Box (BJB),A3,EXP
,F5,lower option content,in Battery Junction Box (BJB),A3,EXP
,F5,Duratec-VE,in Battery Junction Box (BJB),A3,EXP
,F5,ZETEC-VCT,in Battery Junction Box (BJB),A3,EXP
,F5,,in Battery Junction Box (BJB),A3,EXP
,F7,with Bosch 5.3 ABS,in Battery Junction Box (BJB),A2,EXP
,F7,,in Battery Junction Box (BJB),A2,EXP
,F9,Duratec-VE,in Battery Junction Box (BJB),D1,EXP
,F9,ZETEC-VCT,in Battery Junction Box (BJB),D1,EXP
,F9,,in Battery Junction Box (BJB),D1,EXP
,F10,Lights-ON-warning,in Battery Junction Box (BJB),D1,EXP
,F10,Licence plate lamps,in Battery Junction Box (BJB),D1,EXP
,F10,Parking Lamps,in Battery Junction Box (BJB),D1,EXP
,F10,,in Battery Junction Box (BJB),D1,EXP
,F10,,"engine compartment, front, LH-side, in Battery Junction Box (BJB)",B5,EXP
,F11,Duratec-VE,in Battery Junction Box (BJB),D5,EXP
,F11,ZETEC-VCT,in Battery Junction Box (BJB),D5,EXP
,F11,,in Battery Junction Box (BJB),D5,EXP
,F12,with speed control,in Battery Junction Box (BJB),D5,EXP
,F12,Turn Signal and Hazard Lamps,in Battery Junction Box (BJB),D5,EXP
