EVTM,NAME,QUALIFIER,LOCATION,LOCPAGE,ZONE,SORT,FREQUENCY
EXP,G1,without PATS,"engine compartment, front, LH-side",2,D2,,
EXP,G1,without ABS,"engine compartment, front, LH-side",2,D2,,
EXP,G1,with speed control,"engine compartment, front, LH-side",2,D2,,
EXP,G1,Overspeed warning automatic transmission,"engine compartment, front, LH-side",2,D2,,
EXP,G1,speed control automatic transmission,"engine compartment, front, LH-side",2,D2,,
EXP,G1,without speed control,"engine compartment, front, LH-side",2,D2,,
EXP,G1,with Bosch 5.3 ABS,"engine compartment, front, LH-side",2,D2,,
EXP,G1,"Headlamps, higher option content","engine compartment, front, LH-side",2,D2,,
EXP,G1,"Headlamps, lower option content","engine compartment, front, LH-side",2,D2,,
EXP,G1,Duratec-VE,"engine compartment, front, LH-side",2,D2,,
EXP,G1,"Data Link Connector, pins 4, 5 and 16","engine compartment, front, LH-side",2,D2,,
EXP,G1,ZETEC-VCT manual transmission,"engine compartment, front, LH-side",2,D2,,
EXP,G1,Overspeed warning manual transmission,"engine compartment, front, LH-side",2,D2,,
EXP,G1,ZETEC-VCT automatic transmission,"engine compartment, front, LH-side",2,D2,,
EXP,G1,ZETEC-VCT,"engine compartment, front, LH-side",2,D2,,
EXP,G1,,"engine compartment, front, LH-side",2,D2,,
EXP,G2,with tachometer,"LH rocker panel, front",10,F3,,
EXP,G2,6-way power seat,"LH rocker panel, front",10,F3,,
EXP,G2,With anti-theft/central locking module,"LH rocker panel, front",10,F3,,
EXP,G2,without tachometer,"LH rocker panel, front",10,F3,,
EXP,G2,10-way power seat,"LH rocker panel, front",10,F3,,
EXP,G2,Without anti-theft/central locking module,"LH rocker panel, front",10,F3,,
EXP,G2,Power windows,"LH rocker panel, front",10,F3,,
EXP,G2,"Data Link Connector, pins 4, 5 and 16","LH rocker panel, front",10,F3,,
EXP,G2,,"LH rocker panel, front",10,F3,,
EXP,G10,With anti-theft/central locking module,RH A-pillar,8,A3,,
EXP,G10,Without anti-theft/central locking module,RH A-pillar,8,A3,,
EXP,G10,Power windows,RH A-pillar,8,A3,,
EXP,G10,with anti-theft alarm,RH A-pillar,8,A3,,
EXP,G10,,RH A-pillar,8,A3,,
EXP,G16,"manual transmission, Backup Lamps","vehicle rear end, in luggage compartment, LH-side",12,B4,,
EXP,G16,manual transmission,"vehicle rear end, in luggage compartment, LH-side",12,B4,,
EXP,G16,"automatic transmission, Backup Lamps","vehicle rear end, in luggage compartment, LH-side",12,B4,,
EXP,G16,automatic transmission,"vehicle rear end, in luggage compartment, LH-side",12,B4,,
