EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXP,,001,G21,with Bosch 5.3 ABS,,
EXP,,001,G17,with Bosch 5.3 ABS,,
EXP,,001,G1,with Bosch 5.3 ABS,,
EXP,,001,G21,with Bosch 5.3 ABS,,
EXP,,001,G17,with Bosch 5.3 ABS,,
EXP,,001,G1,with Bosch 5.3 ABS,,
EXP,,002,G20,with Bosch 5.3 ABS,,
EXP,,001,G18,ZETEC-VCT with air conditioning,,
EXP,,002,G18,ZETEC-VCT without air conditioning,,
EXP,,001,G18,Duratec-VE with air conditioning,,
EXP,,002,G18,Duratec-VE without air conditioning,,
EXP,,001,G18,ZETEC-VCT,,
EXP,,002,G1,Duratec-VE,,
EXP,,001,G1,,,
EXP,,003,G1,without PATS,,
EXP,,001,G18,ZETEC-VCT,,
EXP,,002,G1,ZETEC-VCT manual transmission,,
EXP,,002,G19,ZETEC-VCT manual transmission,,
EXP,,003,G1,ZETEC-VCT automatic transmission,,
EXP,,003,G19,ZETEC-VCT automatic transmission,,
EXP,,006,G21,ZETEC-VCT,,
EXP,,006,G16,ZETEC-VCT,,
EXP,,009,G19,ZETEC-VCT manual transmission,,
EXP,,009,G20,ZETEC-VCT manual transmission,,
EXP,,010,G19,ZETEC-VCT automatic transmission,,
EXP,,010,G20,ZETEC-VCT automatic transmission,,
EXP,,001,G1,Duratec-VE,,
EXP,,001,G18,Duratec-VE,,
EXP,,002,G1,Duratec-VE,,
EXP,,002,G19,Duratec-VE,,
EXP,,007,G19,Duratec-VE,,
EXP,,007,G20,Duratec-VE,,
EXP,,013,G21,Duratec-VE,,
EXP,,013,G16,Duratec-VE,,
EXP,,015,G1,Duratec-VE,,
EXP,,001,G1,,,
EXP,,001,G18,,,
EXP,,002,G21,speed control automatic transmission,,
EXP,,002,G1,speed control automatic transmission,,
EXP,,003,G21,speed control automatic transmission,,
EXP,,003,G1,speed control automatic transmission,,
EXP,,005,G21,Overspeed warning manual transmission,,
EXP,,005,G18,Overspeed warning manual transmission,,
EXP,,005,G1,Overspeed warning manual transmission,,
EXP,,006,G21,Overspeed warning automatic transmission,,
EXP,,006,G18,Overspeed warning automatic transmission,,
EXP,,006,G1,Overspeed warning automatic transmission,,
EXP,,001,G20,,,
EXP,,001,G20,,,
EXP,,002,G18,,,
EXP,,003,G18,,,
EXP,,001,G20,,,
EXP,,002,G23,,,
EXP,,002,G20,,,
EXP,,002,G21,,,
EXP,,003,G10,,,
EXP,,003,G2,,,
EXP,,004,G10,,,
EXP,,004,G2,,,
EXP,,001,G20,with Bosch 5.3 ABS,,
EXP,,001,G18,with Bosch 5.3 ABS,,
EXP,,002,G22,without ABS,,
EXP,,002,G20,without ABS,,
EXP,,002,G18,without ABS,,
EXP,,003,G2,with tachometer,,
EXP,,004,G2,without tachometer,,
EXP,,005,G21,automatic transmission,,
EXP,,005,G16,automatic transmission,,
EXP,,006,G21,manual transmission,,
EXP,,006,G16,manual transmission,,
EXP,,007,G1,,,
EXP,,008,G21,,,
EXP,,008,G20,,,
EXP,,001,G1,without speed control,,
EXP,,002,G1,with speed control,,
EXP,,001,G1,ZETEC-VCT,,
EXP,,002,G1,Duratec-VE,,
EXP,,001,G23,,,
EXP,,001,G23,,,
EXP,,001,G16,Power Operated Antenna,,
EXP,,001,G18,"Headlamps, lower option content",,
EXP,,001,G22,"Headlamps, lower option content",,
EXP,,001,G1,"Headlamps, lower option content",,
EXP,,001,G20,"Headlamps, lower option content",,
EXP,,002,G20,"Headlamps, higher option content",,
EXP,,002,G22,"Headlamps, higher option content",,
EXP,,003,G1,"Headlamps, higher option content",,
EXP,,003,G18,"Headlamps, higher option content",,
EXP,,004,G18,Turn Signal and Hazard Lamps,,
EXP,,004,G20,Turn Signal and Hazard Lamps,,
EXP,,005,G16,Turn Signal and Hazard Lamps,,
EXP,,006,G16,Parking Lamps,,
EXP,,006,G18,Parking Lamps,,
EXP,,007,G16,Stop Lamps,,
EXP,,008,G16,"Stop Lamps, lower option content with PATS",,
EXP,,009,G16,"Stop Lamps, lower option content without PATS",,
EXP,,010,G16,"Stop Lamps, higher option content, with high mounted stop lamp in rear spoiler",,
EXP,,011,G16,"Stop Lamps, higher option content with high mounted stop lamp on parcel shelf",,
EXP,,012,G16,Licence plate lamps,,
EXP,,013,G16,"manual transmission, Backup Lamps",,
EXP,,014,G16,"automatic transmission, Backup Lamps",,
EXP,,015,G18,Fog lamps,,
EXP,,015,G22,Fog lamps,,
EXP,,015,G21,Fog lamps,,
EXP,,015,G20,Fog lamps,,
EXP,,001,G20,,,
EXP,,001,G2,,,
EXP,,005,G2,,,
EXP,,005,G16,,,
EXP,,001,G22,,,
EXP,,001,G20,,,
EXP,,002,G1,,,
EXP,,002,G18,,,
EXP,,001,G21,,,
EXP,,001,G18,,,
EXP,,003,G20,automatic transmission,,
EXP,,001,G1,"Data Link Connector, pins 4, 5 and 16",,
EXP,,001,G2,"Data Link Connector, pins 4, 5 and 16",,
EXP,,001,G16,,,
EXP,,001,G10,,,
EXP,,003,G10,,,
EXP,,004,G10,,,
EXP,,006,G1,,,
EXP,,008,G1,without PATS,,
EXP,,001,G21,,,
EXP,,001,G20,Power mirrors,,
EXP,,001,G2,10-way power seat,,
EXP,,003,G2,6-way power seat,,
EXP,,001,G10,Power windows,,
EXP,,001,G2,Power windows,,
EXP,,002,G2,Power windows,,
EXP,,003,G10,Power windows,,
EXP,,004,G20,,,
EXP,,004,G27,,,
EXP,,001,G20,,,
EXP,,001,G10,Without anti-theft/central locking module,,
EXP,,002,G10,Without anti-theft/central locking module,,
EXP,,003,G2,Without anti-theft/central locking module,,
EXP,,005,G2,With anti-theft/central locking module,,
EXP,,006,G10,With anti-theft/central locking module,,
EXP,,007,G10,,,
EXP,,008,G16,,,
EXP,,001,G18,without fixed intermittent wipe,,
EXP,,002,G20,without fixed intermittent wipe,,
