EVTM,CELL,PAGE,NAME,QUALIFIER,REFCELL,REFPAGE,CARROT,PAGEID1,PAGEID2,ITEMID_,CELLID2
EXP,,001,303-04B-00-002,Duratec-VE,,002,,,,,
EXP,,002,303-04B-00-001,Duratec-VE,,001,,,,,
EXP,,001,303-06-00-003,,,003,,,,,
EXP,,001,414-02-00-002,,,002,,,,,
EXP,,001,414-02-00-001,,,001,,,,,
EXP,,001,303-06-00-002,,,002,,,,,
EXP,,002,303-06-00-001,with PATS,,001,,,,,
EXP,,002,303-06-00-001,with PATS,,001,,,,,
EXP,,003,303-06-00-001,without PATS,,001,,,,,
EXP,,003,303-06-00-001,without PATS,,001,,,,,
EXP,,004,303-14A-00-008,ZETEC-VCT,,008,,,,,
EXP,,004,303-14A-00-007,ZETEC-VCT,,007,,,,,
EXP,,004,303-14A-00-005,ZETEC-VCT,,005,,,,,
EXP,,005,303-14A-00-008,ZETEC-VCT,,008,,,,,
EXP,,005,303-14A-00-007,ZETEC-VCT,,007,,,,,
EXP,,005,303-14A-00-004,ZETEC-VCT,,004,,,,,
EXP,,006,700-02-00-003,ZETEC-VCT,,003,,,,,
EXP,,007,310-03-00-003,ZETEC-VCT manual transmission,,003,,,,,
EXP,,007,310-03-00-003,ZETEC-VCT manual transmission,,003,,,,,
EXP,,007,303-14A-00-005,ZETEC-VCT manual transmission,,005,,,,,
EXP,,007,303-14A-00-004,ZETEC-VCT manual transmission,,004,,,,,
EXP,,008,303-14A-00-012,ZETEC-VCT automatic transmission,,012,,,,,
EXP,,008,303-14A-00-004,ZETEC-VCT automatic transmission,,004,,,,,
EXP,,008,303-14A-00-005,ZETEC-VCT automatic transmission,,005,,,,,
EXP,,011,412-03-00-002,ZETEC-VCT,,002,,,,,
EXP,,011,412-03-00-002,ZETEC-VCT,,002,,,,,
EXP,,012,303-14A-00-008,ZETEC-VCT automatic transmission,,008,,,,,
EXP,,003,303-14B-00-010,Duratec-VE,,010,,,,,
EXP,,003,303-14B-00-004,Duratec-VE,,004,,,,,
EXP,,003,303-14B-00-008,Duratec-VE,,008,,,,,
EXP,,004,303-14B-00-009,Duratec-VE,,009,,,,,
EXP,,004,303-14B-00-008,Duratec-VE,,008,,,,,
EXP,,004,303-14B-00-003,Duratec-VE,,003,,,,,
EXP,,004,303-14B-00-015,Duratec-VE,,015,,,,,
EXP,,005,310-03-00-003,Duratec-VE manual transmission,,003,,,,,
EXP,,005,310-03-00-003,Duratec-VE manual transmission,,003,,,,,
EXP,,005,303-14B-00-008,Duratec-VE manual transmission,,008,,,,,
EXP,,005,303-14B-00-008,Duratec-VE manual transmission,,008,,,,,
EXP,,006,303-14B-00-012,Duratec-VE automatic transmission,,012,,,,,
EXP,,006,303-14B-00-010,Duratec-VE automatic transmission,,010,,,,,
EXP,,006,303-14B-00-009,Duratec-VE automatic transmission,,009,,,,,
EXP,,007,303-14B-00-010,Duratec-VE,,010,,,,,
EXP,,007,303-14B-00-008,Duratec-VE,,008,,,,,
EXP,,008,303-14B-00-007,Duratec-VE manual transmission,,007,,,,,
EXP,,008,303-14B-00-003,Duratec-VE manual transmission,,003,,,,,
EXP,,008,303-14B-00-005,Duratec-VE manual transmission,,005,,,,,
EXP,,008,303-14B-00-005,Duratec-VE manual transmission,,005,,,,,
EXP,,008,303-14B-00-004,Duratec-VE manual transmission,,004,,,,,
EXP,,009,303-14B-00-010,Duratec-VE automatic transmission,,010,,,,,
EXP,,009,303-14B-00-006,Duratec-VE automatic transmission,,006,,,,,
EXP,,009,303-14B-00-004,Duratec-VE automatic transmission,,004,,,,,
EXP,,010,303-14B-00-003,Duratec-VE automatic transmission,,003,,,,,
EXP,,010,303-14B-00-009,Duratec-VE automatic transmission,,009,,,,,
EXP,,010,303-14B-00-006,Duratec-VE automatic transmission,,006,,,,,
EXP,,010,303-14B-00-007,Duratec-VE automatic transmission,,007,,,,,
EXP,,012,303-14B-00-006,Duratec-VE automatic transmission,,006,,,,,
EXP,,013,700-02-00-004,Duratec-VE,,004,,,,,
EXP,,015,303-14B-00-004,Duratec-VE,,004,,,,,
EXP,,016,412-03-00-002,Duratec-VE,,002,,,,,
EXP,,016,412-03-00-002,Duratec-VE,,002,,,,,
EXP,,002,310-03-00-001,speed control automatic transmission,,001,,,,,
EXP,,002,417-01-00-007,speed control automatic transmission,,007,,,,,
EXP,,003,310-03-00-001,speed control automatic transmission,,001,,,,,
EXP,,003,417-01-00-007,speed control automatic transmission,,007,,,,,
EXP,,004,413-06-00-002,speed control,,002,,,,,
EXP,,005,310-03-00-001,Overspeed warning manual transmission,,001,,,,,
EXP,,006,310-03-00-001,Overspeed warning automatic transmission,,001,,,,,
EXP,,001,412-03-00-002,,,002,,,,,
EXP,,002,412-03-00-001,,,001,,,,,
EXP,,001,417-02-00-001,,,001,,,,,
EXP,,001,413-00-00-002,,,002,,,,,
EXP,,002,413-00-00-001,,,001,,,,,
EXP,,003,413-00-00-004,,,004,,,,,
EXP,,004,413-00-00-003,,,003,,,,,
EXP,,001,414-02-00-002,with Bosch 5.3 ABS,,002,,,,,
EXP,,001,413-01-00-008,with Bosch 5.3 ABS,,008,,,,,
EXP,,001,414-02-00-001,with Bosch 5.3 ABS,,001,,,,,
EXP,,001,413-01-00-004,with Bosch 5.3 ABS,,004,,,,,
EXP,,001,413-01-00-003,with Bosch 5.3 ABS,,003,,,,,
EXP,,002,414-02-00-002,without ABS,,002,,,,,
EXP,,002,413-01-00-008,without ABS,,008,,,,,
EXP,,002,414-02-00-001,without ABS,,001,,,,,
EXP,,002,413-01-00-004,without ABS,,004,,,,,
EXP,,002,413-01-00-003,without ABS,,003,,,,,
EXP,,003,413-01-00-006,with tachometer,,006,,,,,
EXP,,003,413-01-00-008,with tachometer,,008,,,,,
EXP,,003,413-01-00-002,with tachometer,,002,,,,,
EXP,,003,413-01-00-001,with tachometer,,001,,,,,
EXP,,003,413-01-00-005,with tachometer,,005,,,,,
EXP,,004,413-01-00-006,without tachometer,,006,,,,,
EXP,,004,413-01-00-002,without tachometer,,002,,,,,
EXP,,004,413-01-00-001,without tachometer,,001,,,,,
EXP,,004,413-01-00-005,without tachometer,,005,,,,,
EXP,,005,413-01-00-004,automatic transmission,,004,,,,,
EXP,,005,413-01-00-008,automatic transmission,,008,,,,,
EXP,,005,413-01-00-003,automatic transmission,,003,,,,,
EXP,,005,413-01-00-007,automatic transmission,,007,,,,,
EXP,,005,303-14B-00-013,automatic transmission,,013,,,,,
EXP,,005,310-03-00-001,automatic transmission,,001,,,,,
EXP,,005,303-14A-00-006,automatic transmission,,006,,,,,
EXP,,005,310-03-00-006,automatic transmission,,006,,,,,
EXP,,005,310-03-00-002,automatic transmission,,002,,,,,
EXP,,006,310-03-00-005,manual transmission,,005,,,,,
EXP,,006,413-01-00-008,manual transmission,,008,,,,,
EXP,,006,413-01-00-004,manual transmission,,004,,,,,
EXP,,006,413-01-00-003,manual transmission,,003,,,,,
EXP,,006,413-01-00-007,manual transmission,,007,,,,,
EXP,,006,303-14B-00-013,manual transmission,,013,,,,,
EXP,,006,310-03-00-003,manual transmission,,003,,,,,
EXP,,006,303-14A-00-006,manual transmission,,006,,,,,
EXP,,006,310-03-00-001,manual transmission,,001,,,,,
EXP,,007,413-01-00-006,,,006,,,,,
