EVTM,CELL,PAGE,NAME,QUALIFIER,ITEMID_,SORT
EXP,,001,S282,with Bosch 5.3 ABS,,
EXP,,001,S283,with Bosch 5.3 ABS,,
EXP,,001,S130,with Bosch 5.3 ABS,,
EXP,,001,S281,with Bosch 5.3 ABS,,
EXP,,001,S249,with Bosch 5.3 ABS,,
EXP,,001,S1002,with Bosch 5.3 ABS,,
EXP,,001,S308,with Bosch 5.3 ABS,,
EXP,,001,S282,with Bosch 5.3 ABS,,
EXP,,001,S283,with Bosch 5.3 ABS,,
EXP,,001,S281,with Bosch 5.3 ABS,,
EXP,,001,S249,with Bosch 5.3 ABS,,
EXP,,001,S1002,with Bosch 5.3 ABS,,
EXP,,001,S308,with Bosch 5.3 ABS,,
EXP,,002,S130,with Bosch 5.3 ABS,,
EXP,,001,S44,ZETEC-VCT with air conditioning,,
EXP,,001,S147,ZETEC-VCT with air conditioning,,
EXP,,002,S44,ZETEC-VCT without air conditioning,,
EXP,,002,S147,ZETEC-VCT without air conditioning,,
EXP,,001,S44,Duratec-VE with air conditioning,,
EXP,,001,S147,Duratec-VE with air conditioning,,
EXP,,002,S44,Duratec-VE without air conditioning,,
EXP,,002,S147,Duratec-VE without air conditioning,,
EXP,,001,S3003,ZETEC-VCT,,
EXP,,001,S47,ZETEC-VCT,,
EXP,,001,S51,Duratec-VE,,
EXP,,001,S50,Duratec-VE,,
EXP,,001,S59,Duratec-VE,,
EXP,,002,S53,Duratec-VE,,
EXP,,002,S48,Duratec-VE,,
EXP,,002,S62,Duratec-VE,,
EXP,,003,S62,without PATS,,
EXP,,001,S285,ZETEC-VCT,,
EXP,,001,S414,ZETEC-VCT,,
EXP,,001,S285,Duratec-VE,,
EXP,,001,S414,Duratec-VE,,
EXP,,001,S47,ZETEC-VCT,,
EXP,,001,S59,ZETEC-VCT,,
EXP,,001,S3003,ZETEC-VCT,,
EXP,,002,S59,ZETEC-VCT manual transmission,,
EXP,,002,S62,ZETEC-VCT manual transmission,,
EXP,,002,S60,ZETEC-VCT manual transmission,,
EXP,,002,S147,ZETEC-VCT manual transmission,,
EXP,,003,S59,ZETEC-VCT automatic transmission,,
EXP,,003,S62,ZETEC-VCT automatic transmission,,
EXP,,003,S60,ZETEC-VCT automatic transmission,,
EXP,,003,S147,ZETEC-VCT automatic transmission,,
EXP,,004,S53,ZETEC-VCT,,
EXP,,004,S3005,ZETEC-VCT,,
EXP,,004,S3053,ZETEC-VCT,,
EXP,,005,S48,ZETEC-VCT,,
EXP,,005,S54,ZETEC-VCT,,
EXP,,005,S3053,ZETEC-VCT,,
EXP,,006,S409,ZETEC-VCT,,
EXP,,007,S407,ZETEC-VCT manual transmission,,
EXP,,008,S407,ZETEC-VCT automatic transmission,,
EXP,,010,S285,ZETEC-VCT automatic transmission,,
EXP,,011,S408,ZETEC-VCT,,
EXP,,011,S123,ZETEC-VCT,,
EXP,,012,S66,ZETEC-VCT automatic transmission,,
EXP,,014,S130,ZETEC-VCT,,
EXP,,001,S66,Duratec-VE,,
EXP,,001,S60,Duratec-VE,,
EXP,,001,S59,Duratec-VE,,
EXP,,001,S3003,Duratec-VE,,
EXP,,002,S59,Duratec-VE,,
EXP,,002,S62,Duratec-VE,,
EXP,,002,S130,Duratec-VE,,
EXP,,002,S147,Duratec-VE,,
EXP,,003,S3005,Duratec-VE,,
EXP,,003,S53,Duratec-VE,,
EXP,,004,S48,Duratec-VE,,
EXP,,004,S3005,Duratec-VE,,
EXP,,005,S53,Duratec-VE manual transmission,,
EXP,,007,S50,Duratec-VE,,
EXP,,007,S116,Duratec-VE,,
EXP,,007,S59,Duratec-VE,,
EXP,,008,S53,Duratec-VE manual transmission,,
EXP,,008,S54,Duratec-VE manual transmission,,
EXP,,008,S48,Duratec-VE manual transmission,,
EXP,,009,S53,Duratec-VE automatic transmission,,
EXP,,009,S54,Duratec-VE automatic transmission,,
EXP,,009,S48,Duratec-VE automatic transmission,,
EXP,,010,S285,Duratec-VE automatic transmission,,
EXP,,010,S53,Duratec-VE automatic transmission,,
EXP,,012,S66,Duratec-VE automatic transmission,,
EXP,,013,S409,Duratec-VE,,
EXP,,015,S62,Duratec-VE,,
EXP,,015,S51,Duratec-VE,,
EXP,,016,S123,Duratec-VE,,
EXP,,016,S408,Duratec-VE,,
EXP,,001,S60,,,
EXP,,001,S62,,,
EXP,,001,S3003,,,
EXP,,001,S66,,,
EXP,,001,S59,,,
EXP,,002,S250,speed control automatic transmission,,
EXP,,003,S250,speed control automatic transmission,,
EXP,,005,S3003,Overspeed warning manual transmission,,
EXP,,005,S250,Overspeed warning manual transmission,,
EXP,,005,S136,Overspeed warning manual transmission,,
EXP,,006,S3003,Overspeed warning automatic transmission,,
EXP,,006,S250,Overspeed warning automatic transmission,,
EXP,,006,S136,Overspeed warning automatic transmission,,
EXP,,001,S167,,,
EXP,,001,S244,,,
EXP,,001,S166,,,
EXP,,001,S104,,,
EXP,,001,S274,,,
EXP,,001,S244,,,
EXP,,001,S166,,,
EXP,,001,S104,,,
EXP,,001,S274,,,
EXP,,002,S408,,,
EXP,,002,S412,,,
EXP,,002,S271,,,
EXP,,002,S46,,,
EXP,,002,S123,,,
EXP,,002,S167,,,
EXP,,003,S133,,,
EXP,,003,S44,,,
EXP,,003,S147,,,
EXP,,001,S244,,,
EXP,,001,S333,,,
EXP,,002,S333,,,
EXP,,003,S314,,,
EXP,,004,S86,,,
EXP,,004,S258,,,
EXP,,004,S2,,,
EXP,,004,S259,,,
EXP,,004,S269,,,
EXP,,004,S20,,,
EXP,,004,S257,,,
