EVTM,NAME,QUALIFIER,LOCATION,ITEMID_,SORT
EXP,S1,With anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S1,Without anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S1,higher option content without anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S1,lower option content without anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S1,higher option content with anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S1,lower option content with anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S2,Power windows,"under RH front seat, vehicle floor",,
EXP,S2,,"under RH front seat, vehicle floor",,
EXP,S3,Power mirrors,"vehicle floor, RH A-pillar, bottom",,
EXP,S4,Without anti-theft/central locking module,"vehicle floor, RH A-pillar, bottom",,
EXP,S4,,"vehicle floor, RH A-pillar, bottom",,
EXP,S6,With anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S6,Without anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S7,With anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S7,Without anti-theft/central locking module,"under RH front seat, vehicle floor",,
EXP,S8,with tachometer,"vehicle floor, LH A-pillar, bottom",,
EXP,S8,without tachometer,"vehicle floor, LH A-pillar, bottom",,
EXP,S8,,"vehicle floor, LH A-pillar, bottom",,
EXP,S14,with anti-theft alarm,"vehicle floor, RH B-pillar, bottom",,
EXP,S14,,"vehicle floor, RH B-pillar, bottom",,
EXP,S20,Power windows,center console,,
EXP,S20,,center console,,
EXP,S34,,"in roof panel, front",,
EXP,S36,without illuminated vanity mirrors,"under dash panel, LH-side",,
EXP,S36,with illuminated vanity mirrors,"under dash panel, LH-side",,
EXP,S36,,"under dash panel, LH-side",,
EXP,S44,ZETEC-VCT without air conditioning,"engine compartment, front, center",,
EXP,S44,Duratec-VE without air conditioning,"engine compartment, front, center",,
EXP,S44,Duratec-VE with air conditioning,"engine compartment, front, center",,
EXP,S44,ZETEC-VCT with air conditioning,"engine compartment, front, center",,
EXP,S44,,"engine compartment, front, center",,
EXP,S46,,"engine compartment, front, RH-side",,
EXP,S47,ZETEC-VCT manual transmission,cylinder head,,
EXP,S47,ZETEC-VCT automatic transmission,cylinder head,,
EXP,S47,ZETEC-VCT,cylinder head,,
EXP,S48,Duratec-VE,engine,,
EXP,S48,Duratec-VE manual transmission,engine,,
EXP,S48,Duratec-VE automatic transmission,engine,,
EXP,S48,ZETEC-VCT,engine,,
EXP,S50,Duratec-VE,engine,,
EXP,S51,Duratec-VE,cylinder head,,
EXP,S53,Duratec-VE,engine,,
EXP,S53,Duratec-VE manual transmission,engine,,
EXP,S53,Duratec-VE automatic transmission,engine,,
EXP,S53,ZETEC-VCT,engine,,
EXP,S54,Duratec-VE manual transmission,engine bulkhead,,
EXP,S54,Duratec-VE automatic transmission,engine bulkhead,,
EXP,S54,ZETEC-VCT,engine bulkhead,,
EXP,S59,Duratec-VE,"engine compartment, center",,
EXP,S59,Duratec-VE manual transmission,"engine compartment, center",,
EXP,S59,ZETEC-VCT manual transmission,"engine compartment, center",,
EXP,S59,Duratec-VE automatic transmission,"engine compartment, center",,
EXP,S59,ZETEC-VCT automatic transmission,"engine compartment, center",,
EXP,S59,ZETEC-VCT,"engine compartment, center",,
EXP,S59,,"engine compartment, center",,
EXP,S60,Duratec-VE,"engine compartment, center",,
EXP,S60,ZETEC-VCT manual transmission,"engine compartment, center",,
EXP,S60,ZETEC-VCT automatic transmission,"engine compartment, center",,
EXP,S60,,"engine compartment, center",,
EXP,S62,without PATS,cylinder head,,
EXP,S62,Duratec-VE,cylinder head,,
EXP,S62,ZETEC-VCT manual transmission,cylinder head,,
EXP,S62,ZETEC-VCT automatic transmission,cylinder head,,
EXP,S62,,cylinder head,,
