EVTM,NAME,QUALIFIER,PARTNO,LOCATION,CONN_NAME,LOCPAGE,ZONE,CONN_CELL,CONN_PAGE,HCCF_CELL,HCCF_PAGE,ITEMID_,FREQUENCY
EXU,ABS control module,Duratec-VE,,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,ABS control module,without auxiliary warning,,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,ABS control module,with auxiliary warning,,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,ABS control module,"Data Link Connector, pin 7",,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,ABS control module,"Data Link Connector, pins 2, 10 and 13",,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,ABS control module,ZETEC-VCT,,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,ABS control module,,,"engine compartment, LH-side, rear, bottom",,,,,,,,,
EXU,Radio,lower option content,,"dash panel, center",,13,B2,,,,,,
EXU,Radio,speed control,,"dash panel, center",,13,B2,,,,,,
EXU,Radio,higher option content,,"dash panel, center",,13,B2,,,,,,
EXU,Radio,,,"dash panel, center",,13,B2,,,,,,
EXU,Radio,,,"dash panel, center",,13,B2,,,,,,
EXU,Radio,,,"dash panel, center",,13,B2,,,,,,
EXU,Radio,,,"dash panel, center",,13,B2,,,,,,
EXU,Speed control module,"speed control, manual transmission",,"engine compartment, rear, LH-side",,4,B5,,,,,,
EXU,Speed control module,"speed control, automatic transmission",,"engine compartment, rear, LH-side",,4,B5,,,,,,
EXU,Speed control module,speed control,,"engine compartment, rear, LH-side",,4,B5,,,,,,
EXU,Speed control module,with speed control,,"engine compartment, rear, LH-side",,4,B5,,,,,,
EXU,Speed control module,,,"engine compartment, rear, LH-side",,4,B5,,,,,,
EXU,Speed control module,,,"engine compartment, rear, LH-side",,4,B5,,,,,,
EXU,Air bag diagnostic monitor,with side air bags,,"behind dash panel, LH-side, on steering column",,,,,,,,,
EXU,Air bag diagnostic monitor,lower option content,,"behind dash panel, LH-side, on steering column",,,,,,,,,
EXU,Air bag diagnostic monitor,higher option content,,"behind dash panel, LH-side, on steering column",,,,,,,,,
EXU,Air bag diagnostic monitor,"Data Link Connector, pin 7",,"behind dash panel, LH-side, on steering column",,,,,,,,,
EXU,Air bag diagnostic monitor,,,"behind dash panel, LH-side, on steering column",,,,,,,,,
EXU,Instrument cluster,"lower option content, without daytime running lamps",,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,lower option content,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,lower option content,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,with bulb outage warning,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,speed control,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,"Duratec-VE, automatic transmission",,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,Duratec-VE,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,Duratec-VE,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,higher option content,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,higher option content,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,without auxiliary warning,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,with auxiliary warning,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,"Data Link Connector, pin 7",,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,Auxiliary warning,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,Auxiliary warning,,"dash panel, LH-side",,13,D5,,,,,,
EXU,Instrument cluster,"ZETEC-VCT, manual transmission",,"dash panel, LH-side",,13,D5,,,,,,
